Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Division Number/Numéro de section de vote,Polling Division Name/Nom de section de vote,Michelle Foxton,Jesse Pauley,Danielle Rae,Scott Reid,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35051,"Lanark--Frontenac/Lanark--Frontenac"," 158","Brooke",50,1,7,70,0,128,436
35051,"Lanark--Frontenac/Lanark--Frontenac"," 159","Fallbrook",30,3,4,57,0,94,285
35051,"Lanark--Frontenac/Lanark--Frontenac"," 160","Maberly",77,3,9,152,0,241,443
35051,"Lanark--Frontenac/Lanark--Frontenac"," 161","Althorpe",79,4,1,106,1,191,374
35051,"Lanark--Frontenac/Lanark--Frontenac"," 162","Tay Valley",51,0,2,91,1,145,278
35051,"Lanark--Frontenac/Lanark--Frontenac"," 163","Scotch Line",48,5,9,116,0,178,363
35051,"Lanark--Frontenac/Lanark--Frontenac"," 164","Stanleyville",68,4,5,102,0,179,358
35051,"Lanark--Frontenac/Lanark--Frontenac"," 165","Elmgrove",45,0,1,47,0,93,234
35051,"Lanark--Frontenac/Lanark--Frontenac"," 166","North Frontenac",92,1,4,137,5,239,380
35051,"Lanark--Frontenac/Lanark--Frontenac"," 167","North Frontenac",79,2,4,192,0,277,406
35051,"Lanark--Frontenac/Lanark--Frontenac"," 168","Oso",29,1,5,57,0,92,304
35051,"Lanark--Frontenac/Lanark--Frontenac"," 169","Clarendon Station",34,4,6,54,1,99,314
35051,"Lanark--Frontenac/Lanark--Frontenac"," 170","Crow Lake",57,3,4,50,0,114,470
35051,"Lanark--Frontenac/Lanark--Frontenac"," 171","Sharbot Lake",57,3,3,77,0,140,441
35051,"Lanark--Frontenac/Lanark--Frontenac"," 172","Frontenac",29,1,3,50,0,83,333
35051,"Lanark--Frontenac/Lanark--Frontenac"," 173","Kennebec",72,1,3,106,0,182,347
35051,"Lanark--Frontenac/Lanark--Frontenac"," 174","Bedford",76,2,5,109,2,194,453
35051,"Lanark--Frontenac/Lanark--Frontenac"," 175","Arden",52,1,10,80,1,144,275
35051,"Lanark--Frontenac/Lanark--Frontenac"," 176","Mountain Grove",35,1,5,84,0,125,371
35051,"Lanark--Frontenac/Lanark--Frontenac"," 177","Arden",50,1,3,64,1,119,219
35051,"Lanark--Frontenac/Lanark--Frontenac"," 178","Bradshaw",31,0,5,46,0,82,236
35051,"Lanark--Frontenac/Lanark--Frontenac"," 179","Parham",70,7,10,128,0,215,438
35051,"Lanark--Frontenac/Lanark--Frontenac"," 180","Wagarville",75,2,6,88,1,172,335
35051,"Lanark--Frontenac/Lanark--Frontenac"," 181","Lake Opinicon",109,3,5,67,1,185,428
35051,"Lanark--Frontenac/Lanark--Frontenac"," 182","Lake Opinicon",57,0,2,96,1,156,322
35051,"Lanark--Frontenac/Lanark--Frontenac"," 183","Loughborough",74,1,9,79,0,163,242
35051,"Lanark--Frontenac/Lanark--Frontenac"," 184","Perth Road",31,0,5,65,0,101,192
35051,"Lanark--Frontenac/Lanark--Frontenac"," 185","Loughborough",39,2,4,59,1,105,221
35051,"Lanark--Frontenac/Lanark--Frontenac"," 186","Missouri",65,0,2,69,0,136,360
35051,"Lanark--Frontenac/Lanark--Frontenac"," 187","Glendower",65,3,5,90,1,164,433
35051,"Lanark--Frontenac/Lanark--Frontenac"," 188","Desert Lake",26,2,3,27,0,58,278
35051,"Lanark--Frontenac/Lanark--Frontenac"," 189","Godfrey",52,3,8,104,0,167,410
35051,"Lanark--Frontenac/Lanark--Frontenac"," 190","Hinchinbrooke",36,2,4,79,1,122,260
35051,"Lanark--Frontenac/Lanark--Frontenac"," 191","Piccadilly",36,1,3,55,0,95,277
35051,"Lanark--Frontenac/Lanark--Frontenac"," 192","Keelerville",40,2,4,78,0,124,281
35051,"Lanark--Frontenac/Lanark--Frontenac"," 193","Burnt Hills",97,2,5,59,1,164,464
35051,"Lanark--Frontenac/Lanark--Frontenac"," 194","Battersea",50,1,5,58,0,114,317
35051,"Lanark--Frontenac/Lanark--Frontenac"," 195","South Frontenac",67,2,7,60,0,136,356
