Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Division Number/Numéro de section de vote,Polling Division Name/Nom de section de vote,Patrick Agbokou,Tchad Deschenes,Danielle Dubuc,Marie Louis-Seize,Christine Normandin,Vincent Piette,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24067,"Saint-Jean/Saint-Jean"," 150","Saint-Jean-sur-Richelieu",47,6,12,28,84,2,6,185,442
24067,"Saint-Jean/Saint-Jean"," 151","Saint-Jean-sur-Richelieu",47,1,5,15,89,2,2,161,366
24067,"Saint-Jean/Saint-Jean"," 152","Saint-Jean-sur-Richelieu",35,1,2,33,90,3,3,167,372
24067,"Saint-Jean/Saint-Jean"," 153","Saint-Jean-sur-Richelieu",43,1,5,25,54,2,2,132,387
24067,"Saint-Jean/Saint-Jean"," 154","Saint-Jean-sur-Richelieu",68,2,8,25,70,4,6,183,474
24067,"Saint-Jean/Saint-Jean"," 155","Saint-Jean-sur-Richelieu",55,1,2,18,98,1,0,175,409
24067,"Saint-Jean/Saint-Jean"," 156","Saint-Jean-sur-Richelieu",38,5,5,45,101,5,4,203,411
24067,"Saint-Jean/Saint-Jean"," 157","Saint-Jean-sur-Richelieu",62,7,4,52,116,1,2,244,501
24067,"Saint-Jean/Saint-Jean"," 158","Saint-Jean-sur-Richelieu",43,1,6,33,111,2,0,196,428
24067,"Saint-Jean/Saint-Jean"," 159","Saint-Jean-sur-Richelieu",55,0,6,62,101,4,2,230,537
24067,"Saint-Jean/Saint-Jean"," 160","Saint-Jean-sur-Richelieu",26,1,2,23,50,6,1,109,325
24067,"Saint-Jean/Saint-Jean"," 161","Saint-Jean-sur-Richelieu",31,3,9,31,83,3,4,164,382
24067,"Saint-Jean/Saint-Jean"," 162","Saint-Jean-sur-Richelieu",31,1,8,22,77,4,1,144,414
24067,"Saint-Jean/Saint-Jean"," 163","Saint-Jean-sur-Richelieu",31,1,7,38,45,8,3,133,386
24067,"Saint-Jean/Saint-Jean"," 164","Saint-Jean-sur-Richelieu",77,0,7,47,96,3,3,233,601
24067,"Saint-Jean/Saint-Jean"," 165","Saint-Jean-sur-Richelieu",44,1,2,30,50,0,1,128,377
24067,"Saint-Jean/Saint-Jean"," 166","Saint-Jean-sur-Richelieu",45,0,2,26,76,3,1,153,368
24067,"Saint-Jean/Saint-Jean"," 167","Saint-Jean-sur-Richelieu",71,1,4,34,79,3,4,196,501
24067,"Saint-Jean/Saint-Jean"," 168","Saint-Jean-sur-Richelieu",53,1,4,27,60,4,9,158,411
24067,"Saint-Jean/Saint-Jean"," 169","Saint-Jean-sur-Richelieu",56,3,5,34,90,4,3,195,431
24067,"Saint-Jean/Saint-Jean"," 170","Saint-Jean-sur-Richelieu",47,0,5,25,79,9,2,167,458
24067,"Saint-Jean/Saint-Jean"," 171","Saint-Jean-sur-Richelieu",40,2,6,32,89,4,5,178,420
24067,"Saint-Jean/Saint-Jean"," 172","Saint-Jean-sur-Richelieu",49,0,2,36,92,1,2,182,448
24067,"Saint-Jean/Saint-Jean"," 173","Saint-Jean-sur-Richelieu",54,0,3,42,86,4,1,190,395
24067,"Saint-Jean/Saint-Jean"," 174","Saint-Jean-sur-Richelieu",36,1,3,29,94,3,4,170,376
24067,"Saint-Jean/Saint-Jean"," 175","Saint-Jean-sur-Richelieu",34,3,8,21,56,6,2,130,381
24067,"Saint-Jean/Saint-Jean"," 176","Saint-Jean-sur-Richelieu",19,4,5,22,63,3,1,117,367
24067,"Saint-Jean/Saint-Jean"," 177","Saint-Jean-sur-Richelieu",49,0,6,15,47,8,1,126,436
24067,"Saint-Jean/Saint-Jean"," 178A","Saint-Jean-sur-Richelieu",29,5,5,15,53,6,4,117,397
24067,"Saint-Jean/Saint-Jean"," 178B","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°509,,,,,,,,111
24067,"Saint-Jean/Saint-Jean"," 179","Saint-Jean-sur-Richelieu",22,1,9,8,51,5,2,98,362
24067,"Saint-Jean/Saint-Jean"," 180","Saint-Jean-sur-Richelieu",24,1,2,35,44,4,0,110,445
24067,"Saint-Jean/Saint-Jean"," 181","Saint-Jean-sur-Richelieu",30,1,5,28,87,3,6,160,461
24067,"Saint-Jean/Saint-Jean"," 182","Saint-Jean-sur-Richelieu",36,1,6,28,58,6,3,138,399
24067,"Saint-Jean/Saint-Jean"," 183","Saint-Jean-sur-Richelieu",20,2,8,15,50,2,2,99,354
24067,"Saint-Jean/Saint-Jean"," 184","Saint-Jean-sur-Richelieu",29,3,3,18,81,5,3,142,368
24067,"Saint-Jean/Saint-Jean"," 185","Saint-Jean-sur-Richelieu",48,3,9,24,75,5,6,170,457
24067,"Saint-Jean/Saint-Jean"," 186","Saint-Jean-sur-Richelieu",83,6,9,43,86,2,7,236,567
24067,"Saint-Jean/Saint-Jean"," 187","Saint-Jean-sur-Richelieu",54,1,9,47,91,2,1,205,455
24067,"Saint-Jean/Saint-Jean"," 188","Saint-Jean-sur-Richelieu",49,0,0,47,94,2,2,194,422
24067,"Saint-Jean/Saint-Jean"," 189","Saint-Jean-sur-Richelieu",44,2,4,23,70,5,4,152,372
24067,"Saint-Jean/Saint-Jean"," 190","Saint-Jean-sur-Richelieu",42,2,6,51,72,3,3,179,506
24067,"Saint-Jean/Saint-Jean"," 191","Saint-Jean-sur-Richelieu",46,2,8,32,94,3,4,189,421
24067,"Saint-Jean/Saint-Jean"," 192","Saint-Alexandre",50,3,9,24,97,3,0,186,360
24067,"Saint-Jean/Saint-Jean"," 193","Saint-Alexandre",36,10,8,49,95,7,2,207,376
24067,"Saint-Jean/Saint-Jean"," 194","Saint-Alexandre",58,1,9,73,129,5,5,280,547
24067,"Saint-Jean/Saint-Jean"," 195","Saint-Alexandre",40,0,2,60,93,5,3,203,378
24067,"Saint-Jean/Saint-Jean"," 196","Saint-Alexandre",45,1,8,47,110,3,3,217,390
24067,"Saint-Jean/Saint-Jean"," 197","Sabrevois",52,2,4,37,78,5,10,188,370
24067,"Saint-Jean/Saint-Jean"," 198","Sabrevois",29,1,3,42,66,1,2,144,301
24067,"Saint-Jean/Saint-Jean"," 199","Sabrevois",22,3,6,44,82,3,5,165,320
24067,"Saint-Jean/Saint-Jean"," 200","Sabrevois",47,5,6,69,130,2,6,265,407
24067,"Saint-Jean/Saint-Jean"," 201","Sabrevois",59,3,4,32,80,1,7,186,347
24067,"Saint-Jean/Saint-Jean"," 202","Saint-Blaise-sur-Richelieu",42,2,14,36,77,4,4,179,363
24067,"Saint-Jean/Saint-Jean"," 203","Saint-Blaise-sur-Richelieu",55,2,1,34,94,5,0,191,394
24067,"Saint-Jean/Saint-Jean"," 204","Saint-Blaise-sur-Richelieu",59,6,3,48,85,5,3,209,474
24067,"Saint-Jean/Saint-Jean"," 205","Saint-Blaise-sur-Richelieu",34,1,3,36,93,6,3,176,480
24067,"Saint-Jean/Saint-Jean"," 206","Saint-Paul-de-l'Île-aux-Noix",49,4,5,49,69,3,3,182,450
24067,"Saint-Jean/Saint-Jean"," 207","Saint-Paul-de-l'Île-aux-Noix",27,0,6,23,50,1,2,109,219
24067,"Saint-Jean/Saint-Jean"," 208","Saint-Valentin",52,2,4,24,78,4,6,170,251
24067,"Saint-Jean/Saint-Jean"," 209","Saint-Paul-de-l'Île-aux-Noix",53,3,2,24,86,2,4,174,398
24067,"Saint-Jean/Saint-Jean"," 210","Saint-Paul-de-l'Île-aux-Noix",35,3,0,42,58,2,4,144,258
24067,"Saint-Jean/Saint-Jean"," 211","Saint-Valentin",41,2,2,34,51,4,4,138,363
24067,"Saint-Jean/Saint-Jean"," 212","Lacolle",50,4,3,46,68,8,3,182,435
24067,"Saint-Jean/Saint-Jean"," 213","Lacolle",57,1,4,19,53,0,4,138,343
24067,"Saint-Jean/Saint-Jean"," 214","Saint-Paul-de-l'Île-aux-Noix",20,0,1,53,46,1,2,123,366
24067,"Saint-Jean/Saint-Jean"," 215","Lacolle",37,2,4,28,51,3,5,130,344
24067,"Saint-Jean/Saint-Jean"," 216","Lacolle",49,1,5,48,82,3,2,190,447
24067,"Saint-Jean/Saint-Jean"," 217","Lacolle",38,4,7,50,54,4,8,165,409
