Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Division Number/Numéro de section de vote,Polling Division Name/Nom de section de vote,Susan Cake,Dwayne Dudiak,Matt Jeneroux,Mark Minenko,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
48020,"Edmonton Riverbend/Edmonton Riverbend"," 149","Edmonton",15,1,223,96,4,339,718
48020,"Edmonton Riverbend/Edmonton Riverbend"," 150","Edmonton",10,5,141,87,1,244,556
48020,"Edmonton Riverbend/Edmonton Riverbend"," 151","Edmonton",8,1,133,96,1,239,694
48020,"Edmonton Riverbend/Edmonton Riverbend"," 152","Edmonton",24,1,229,135,4,393,719
48020,"Edmonton Riverbend/Edmonton Riverbend"," 153","Edmonton",19,1,148,119,9,296,636
48020,"Edmonton Riverbend/Edmonton Riverbend"," 154","Edmonton",12,5,182,130,6,335,807
48020,"Edmonton Riverbend/Edmonton Riverbend"," 155","Edmonton",16,3,188,139,2,348,772
48020,"Edmonton Riverbend/Edmonton Riverbend"," 156","Edmonton",9,2,102,56,4,173,414
48020,"Edmonton Riverbend/Edmonton Riverbend"," 157","Edmonton",16,1,209,147,2,375,950
48020,"Edmonton Riverbend/Edmonton Riverbend"," 158","Edmonton",18,0,150,113,1,282,719
48020,"Edmonton Riverbend/Edmonton Riverbend"," 159A","Edmonton",Combined with No./Résultats combinés à ceux du n°149,,,,,,129
48020,"Edmonton Riverbend/Edmonton Riverbend"," 159B","Edmonton",Combined with No./Résultats combinés à ceux du n°152,,,,,,130
48020,"Edmonton Riverbend/Edmonton Riverbend"," 400","Edmonton",Combined with No./Résultats combinés à ceux du n°45,,,,,,221
48020,"Edmonton Riverbend/Edmonton Riverbend"," 401","Edmonton",Combined with No./Résultats combinés à ceux du n°97,,,,,,214
48020,"Edmonton Riverbend/Edmonton Riverbend"," 402","Edmonton",Combined with No./Résultats combinés à ceux du n°108,,,,,,268
48020,"Edmonton Riverbend/Edmonton Riverbend"," 500","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°501,,,,,,70
48020,"Edmonton Riverbend/Edmonton Riverbend"," 501","Mobile poll/Bureau itinérant",6,0,66,57,3,132,136
48020,"Edmonton Riverbend/Edmonton Riverbend"," 502","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°508,,,,,,46
48020,"Edmonton Riverbend/Edmonton Riverbend"," 503","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°506,,,,,,66
48020,"Edmonton Riverbend/Edmonton Riverbend"," 504","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°506,,,,,,84
48020,"Edmonton Riverbend/Edmonton Riverbend"," 505","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°506,,,,,,78
48020,"Edmonton Riverbend/Edmonton Riverbend"," 506","Mobile poll/Bureau itinérant",17,2,124,78,8,229,119
48020,"Edmonton Riverbend/Edmonton Riverbend"," 507","Mobile poll/Bureau itinérant",5,1,52,42,2,102,90
48020,"Edmonton Riverbend/Edmonton Riverbend"," 508","Mobile poll/Bureau itinérant",4,1,34,55,0,94,116
48020,"Edmonton Riverbend/Edmonton Riverbend"," 600","Edmonton",53,8,518,780,5,1364,
48020,"Edmonton Riverbend/Edmonton Riverbend"," 601","Edmonton",44,6,738,778,16,1582,
48020,"Edmonton Riverbend/Edmonton Riverbend"," 602","Edmonton",39,5,746,746,5,1541,
48020,"Edmonton Riverbend/Edmonton Riverbend"," 603","Edmonton",68,2,507,666,3,1246,
48020,"Edmonton Riverbend/Edmonton Riverbend"," 604","Edmonton",49,7,351,492,7,906,
48020,"Edmonton Riverbend/Edmonton Riverbend"," 605","Edmonton",62,5,720,714,1,1502,
48020,"Edmonton Riverbend/Edmonton Riverbend"," 606","Edmonton",34,12,612,566,3,1227,
48020,"Edmonton Riverbend/Edmonton Riverbend"," 607","Edmonton",65,14,656,726,9,1470,
48020,"Edmonton Riverbend/Edmonton Riverbend"," 608","Edmonton",69,10,685,646,4,1414,
48020,"Edmonton Riverbend/Edmonton Riverbend"," 609","Edmonton",40,6,888,775,2,1711,
48020,"Edmonton Riverbend/Edmonton Riverbend"," 610","Edmonton",57,17,889,972,7,1942,
48020,"Edmonton Riverbend/Edmonton Riverbend"," 611","Edmonton",63,11,543,475,12,1104,
48020,"Edmonton Riverbend/Edmonton Riverbend"," 612","Edmonton",57,8,845,729,10,1649,
48020,"Edmonton Riverbend/Edmonton Riverbend"," 613","Edmonton",50,17,759,601,2,1429,
48020,"Edmonton Riverbend/Edmonton Riverbend"," 614","Edmonton",67,7,1080,758,11,1923,
48020,"Edmonton Riverbend/Edmonton Riverbend"," 615","Leduc County",42,8,940,643,2,1635,
48020,"Edmonton Riverbend/Edmonton Riverbend",,Group 1/Groupe 1, 75,9,729,793,74,1680,434
48020,"Edmonton Riverbend/Edmonton Riverbend",,Group 2/Groupe 2, 56,8,748,829,58,1699,
