Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Division Number/Numéro de section de vote,Polling Division Name/Nom de section de vote,Ehsan Arjmand,Tammy Bentz,Stephen Curran,Oliver King,Andrew Robinson,Jonathan Wilkinson,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
59022,"North Vancouver--Capilano/North Vancouver--Capilano"," 60","North Vancouver",0,4,63,0,2,91,4,164,453
59022,"North Vancouver--Capilano/North Vancouver--Capilano"," 61","North Vancouver",1,6,63,0,4,94,1,169,474
59022,"North Vancouver--Capilano/North Vancouver--Capilano"," 62","North Vancouver",0,7,55,0,3,89,0,154,422
59022,"North Vancouver--Capilano/North Vancouver--Capilano"," 63","North Vancouver",0,12,68,1,8,98,1,188,469
59022,"North Vancouver--Capilano/North Vancouver--Capilano"," 64","North Vancouver",2,11,60,0,2,88,0,163,403
59022,"North Vancouver--Capilano/North Vancouver--Capilano"," 65","North Vancouver",0,3,54,0,2,66,0,125,381
59022,"North Vancouver--Capilano/North Vancouver--Capilano"," 66","North Vancouver",0,7,48,1,1,65,0,122,478
59022,"North Vancouver--Capilano/North Vancouver--Capilano"," 67","North Vancouver",0,4,40,0,1,59,0,104,325
59022,"North Vancouver--Capilano/North Vancouver--Capilano"," 68","North Vancouver",2,13,43,1,0,63,1,123,568
59022,"North Vancouver--Capilano/North Vancouver--Capilano"," 69","North Vancouver",0,13,62,0,4,100,0,179,485
59022,"North Vancouver--Capilano/North Vancouver--Capilano"," 70","North Vancouver",0,9,79,0,0,70,0,158,393
59022,"North Vancouver--Capilano/North Vancouver--Capilano"," 71","North Vancouver",0,16,98,1,5,155,0,275,574
59022,"North Vancouver--Capilano/North Vancouver--Capilano"," 72","North Vancouver",0,8,38,1,6,69,1,123,355
59022,"North Vancouver--Capilano/North Vancouver--Capilano"," 73","North Vancouver",2,10,65,0,6,129,1,213,567
59022,"North Vancouver--Capilano/North Vancouver--Capilano"," 74","North Vancouver",3,6,48,0,2,96,1,156,416
59022,"North Vancouver--Capilano/North Vancouver--Capilano"," 75","North Vancouver",3,3,70,1,3,101,0,181,431
59022,"North Vancouver--Capilano/North Vancouver--Capilano"," 76","North Vancouver",1,4,41,0,5,52,2,105,449
59022,"North Vancouver--Capilano/North Vancouver--Capilano"," 77","North Vancouver",0,4,62,1,1,89,1,158,439
59022,"North Vancouver--Capilano/North Vancouver--Capilano"," 78","North Vancouver",0,8,33,0,2,80,1,124,344
59022,"North Vancouver--Capilano/North Vancouver--Capilano"," 79","North Vancouver",1,6,64,0,5,80,0,156,523
59022,"North Vancouver--Capilano/North Vancouver--Capilano"," 80","North Vancouver",0,10,37,0,2,79,0,128,410
59022,"North Vancouver--Capilano/North Vancouver--Capilano"," 81","North Vancouver",2,7,51,0,1,58,0,119,375
59022,"North Vancouver--Capilano/North Vancouver--Capilano"," 82","North Vancouver",1,5,45,0,6,90,0,147,460
59022,"North Vancouver--Capilano/North Vancouver--Capilano"," 83","North Vancouver",0,5,49,0,3,52,0,109,344
59022,"North Vancouver--Capilano/North Vancouver--Capilano"," 84","North Vancouver",1,5,54,0,3,56,2,121,419
59022,"North Vancouver--Capilano/North Vancouver--Capilano"," 85","North Vancouver",0,11,37,0,2,83,0,133,376
59022,"North Vancouver--Capilano/North Vancouver--Capilano"," 86","North Vancouver",0,2,43,0,3,83,0,131,476
59022,"North Vancouver--Capilano/North Vancouver--Capilano"," 87","North Vancouver",0,3,33,0,3,74,0,113,429
59022,"North Vancouver--Capilano/North Vancouver--Capilano"," 88","North Vancouver",1,6,40,0,3,91,0,141,549
59022,"North Vancouver--Capilano/North Vancouver--Capilano"," 89","North Vancouver",2,6,41,0,5,87,1,142,399
59022,"North Vancouver--Capilano/North Vancouver--Capilano"," 90A","North Vancouver",0,2,49,0,2,68,0,121,347
59022,"North Vancouver--Capilano/North Vancouver--Capilano"," 90B","North Vancouver",3,3,48,0,1,68,0,123,358
59022,"North Vancouver--Capilano/North Vancouver--Capilano"," 91","North Vancouver",0,5,64,0,3,74,0,146,410
59022,"North Vancouver--Capilano/North Vancouver--Capilano"," 92","North Vancouver",2,5,60,0,5,116,1,189,477
59022,"North Vancouver--Capilano/North Vancouver--Capilano"," 93","North Vancouver",0,2,42,0,2,71,0,117,443
59022,"North Vancouver--Capilano/North Vancouver--Capilano"," 94","North Vancouver",0,2,67,0,1,72,0,142,513
59022,"North Vancouver--Capilano/North Vancouver--Capilano"," 95","North Vancouver",1,8,84,0,4,94,0,191,536
59022,"North Vancouver--Capilano/North Vancouver--Capilano"," 96","North Vancouver",0,4,64,0,6,115,0,189,590
59022,"North Vancouver--Capilano/North Vancouver--Capilano"," 97","North Vancouver",2,6,124,0,3,104,0,239,575
59022,"North Vancouver--Capilano/North Vancouver--Capilano"," 98","North Vancouver",0,5,52,0,2,84,0,143,348
59022,"North Vancouver--Capilano/North Vancouver--Capilano"," 99","North Vancouver",0,3,63,0,8,85,0,159,413
59022,"North Vancouver--Capilano/North Vancouver--Capilano"," 100","North Vancouver",0,10,64,1,4,79,0,158,441
59022,"North Vancouver--Capilano/North Vancouver--Capilano"," 101","North Vancouver",0,13,56,0,0,46,0,115,354
59022,"North Vancouver--Capilano/North Vancouver--Capilano"," 102","North Vancouver",0,5,75,0,2,92,0,174,492
59022,"North Vancouver--Capilano/North Vancouver--Capilano"," 103","North Vancouver",0,5,53,0,2,67,0,127,441
59022,"North Vancouver--Capilano/North Vancouver--Capilano"," 104","North Vancouver",1,3,43,0,0,57,0,104,337
59022,"North Vancouver--Capilano/North Vancouver--Capilano"," 105","North Vancouver",0,5,34,0,2,76,0,117,405
59022,"North Vancouver--Capilano/North Vancouver--Capilano"," 106","North Vancouver",0,8,49,0,2,87,1,147,510
59022,"North Vancouver--Capilano/North Vancouver--Capilano"," 107","North Vancouver",1,6,78,1,8,129,1,224,419
59022,"North Vancouver--Capilano/North Vancouver--Capilano"," 108","North Vancouver",Combined with No./Résultats combinés à ceux du n°107,,,,,,,,340
59022,"North Vancouver--Capilano/North Vancouver--Capilano"," 109","North Vancouver",2,8,58,1,1,79,1,150,432
59022,"North Vancouver--Capilano/North Vancouver--Capilano"," 110","North Vancouver",1,14,60,0,1,70,1,147,414
59022,"North Vancouver--Capilano/North Vancouver--Capilano"," 111","North Vancouver",2,7,43,0,2,92,1,147,480
59022,"North Vancouver--Capilano/North Vancouver--Capilano"," 112","North Vancouver",1,2,64,0,4,68,0,139,536
59022,"North Vancouver--Capilano/North Vancouver--Capilano"," 113","North Vancouver",3,15,58,1,2,85,2,166,566
59022,"North Vancouver--Capilano/North Vancouver--Capilano"," 114","North Vancouver",0,8,55,0,6,80,0,149,575
59022,"North Vancouver--Capilano/North Vancouver--Capilano"," 115A","North Vancouver",0,7,21,0,1,35,2,66,307
59022,"North Vancouver--Capilano/North Vancouver--Capilano"," 115B","North Vancouver",1,3,29,0,2,35,0,70,316
59022,"North Vancouver--Capilano/North Vancouver--Capilano"," 116A","North Vancouver",0,5,28,1,0,52,2,88,320
59022,"North Vancouver--Capilano/North Vancouver--Capilano"," 116B","North Vancouver",0,5,46,0,1,49,0,101,365
59022,"North Vancouver--Capilano/North Vancouver--Capilano"," 117","North Vancouver",2,9,54,0,2,78,1,146,588
59022,"North Vancouver--Capilano/North Vancouver--Capilano"," 118","North Vancouver",0,10,24,0,5,49,0,88,476
59022,"North Vancouver--Capilano/North Vancouver--Capilano"," 119","North Vancouver",1,19,89,1,1,107,0,218,537
