Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Division Number/Numéro de section de vote,Polling Division Name/Nom de section de vote,Chris d'Entremont,Ingrid Deon,Ronnie LeBlanc,Matthew Piggott,James Strange,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
12001,"Acadie--Annapolis/Acadie--Annapolis"," 139","Pembroke",87,9,61,0,2,0,159,354
12001,"Acadie--Annapolis/Acadie--Annapolis"," 140","Wellington",68,2,32,2,2,0,106,317
12001,"Acadie--Annapolis/Acadie--Annapolis"," 141","Hebron",67,8,53,1,0,0,129,343
12001,"Acadie--Annapolis/Acadie--Annapolis"," 142","Greenville",99,7,62,4,1,0,173,368
12001,"Acadie--Annapolis/Acadie--Annapolis"," 143","North Chegoggin",113,9,93,1,3,0,219,448
12001,"Acadie--Annapolis/Acadie--Annapolis"," 144","Dayton",101,4,109,0,0,0,214,459
12001,"Acadie--Annapolis/Acadie--Annapolis"," 145","Brooklyn",55,6,76,0,0,2,139,289
12001,"Acadie--Annapolis/Acadie--Annapolis"," 145-1","Yarmouth 33",Combined with No./Résultats combinés à ceux du n°145,,,,,,,127
12001,"Acadie--Annapolis/Acadie--Annapolis"," 146","South Chegoggin",90,13,63,1,1,1,169,388
12001,"Acadie--Annapolis/Acadie--Annapolis"," 147A","Overton",109,6,64,1,3,1,184,316
12001,"Acadie--Annapolis/Acadie--Annapolis"," 147B","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°513,,,,,,,47
12001,"Acadie--Annapolis/Acadie--Annapolis"," 148","Yarmouth",76,9,58,3,1,3,150,409
12001,"Acadie--Annapolis/Acadie--Annapolis"," 149","Yarmouth",56,5,76,1,1,5,144,376
12001,"Acadie--Annapolis/Acadie--Annapolis"," 150","Yarmouth",57,4,93,0,1,8,163,427
12001,"Acadie--Annapolis/Acadie--Annapolis"," 151","Yarmouth",56,2,59,0,0,0,117,368
12001,"Acadie--Annapolis/Acadie--Annapolis"," 152","Yarmouth",60,7,59,2,2,1,131,431
12001,"Acadie--Annapolis/Acadie--Annapolis"," 153","Yarmouth",43,10,58,2,0,0,113,504
12001,"Acadie--Annapolis/Acadie--Annapolis"," 154","Yarmouth",39,1,42,2,0,0,84,345
12001,"Acadie--Annapolis/Acadie--Annapolis"," 155","Yarmouth",36,4,50,1,1,0,92,409
12001,"Acadie--Annapolis/Acadie--Annapolis"," 156","Yarmouth",48,6,26,0,2,2,84,350
12001,"Acadie--Annapolis/Acadie--Annapolis"," 157","Yarmouth",69,4,65,2,3,0,143,429
12001,"Acadie--Annapolis/Acadie--Annapolis"," 158","Yarmouth",39,6,26,3,0,0,74,322
