Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Division Number/Numéro de section de vote,Polling Division Name/Nom de section de vote,Khalis Ahmed,Paul Godard,David GL McKenzie,Grant Strem,Bryndis Whitson,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
48013,"Calgary Signal Hill/Calgary Signal Hill"," 161","Calgary",3,0,78,0,46,0,127,410
48013,"Calgary Signal Hill/Calgary Signal Hill"," 162","Calgary",3,2,73,1,41,0,120,335
48013,"Calgary Signal Hill/Calgary Signal Hill"," 163","Calgary",5,0,90,3,82,0,180,458
48013,"Calgary Signal Hill/Calgary Signal Hill"," 164","Calgary",6,1,135,2,92,0,236,404
48013,"Calgary Signal Hill/Calgary Signal Hill"," 165","Calgary",4,0,61,4,52,0,121,420
48013,"Calgary Signal Hill/Calgary Signal Hill"," 166","Calgary",1,0,131,2,63,0,197,457
48013,"Calgary Signal Hill/Calgary Signal Hill"," 167","Calgary",1,0,77,0,61,0,139,371
48013,"Calgary Signal Hill/Calgary Signal Hill"," 168","Calgary",4,1,128,0,63,3,199,454
48013,"Calgary Signal Hill/Calgary Signal Hill"," 169","Calgary",3,0,82,1,68,0,154,442
48013,"Calgary Signal Hill/Calgary Signal Hill"," 170","Calgary",8,1,100,2,65,0,176,373
48013,"Calgary Signal Hill/Calgary Signal Hill"," 171","Calgary",3,1,101,1,67,0,173,381
48013,"Calgary Signal Hill/Calgary Signal Hill"," 172","Calgary",5,2,142,1,86,2,238,491
48013,"Calgary Signal Hill/Calgary Signal Hill"," 173","Calgary",9,1,89,1,52,0,152,343
48013,"Calgary Signal Hill/Calgary Signal Hill"," 174","Calgary",1,0,99,1,51,0,152,398
48013,"Calgary Signal Hill/Calgary Signal Hill"," 175","Calgary",6,2,159,3,66,3,239,515
48013,"Calgary Signal Hill/Calgary Signal Hill"," 176","Calgary",4,1,109,6,93,0,213,488
48013,"Calgary Signal Hill/Calgary Signal Hill"," 177A","Calgary",4,0,55,1,44,0,104,308
48013,"Calgary Signal Hill/Calgary Signal Hill"," 177B","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°193B,,,,,,,24
48013,"Calgary Signal Hill/Calgary Signal Hill"," 178A","Calgary",17,1,93,3,78,2,194,477
48013,"Calgary Signal Hill/Calgary Signal Hill"," 178B","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°503,,,,,,,32
48013,"Calgary Signal Hill/Calgary Signal Hill"," 179","Calgary",16,0,130,3,84,0,233,561
48013,"Calgary Signal Hill/Calgary Signal Hill"," 180","Calgary",7,1,156,1,86,1,252,677
48013,"Calgary Signal Hill/Calgary Signal Hill"," 181","Calgary",8,0,55,3,63,2,131,399
48013,"Calgary Signal Hill/Calgary Signal Hill"," 182","Calgary",9,2,72,3,81,0,167,431
48013,"Calgary Signal Hill/Calgary Signal Hill"," 183","Calgary",8,1,74,0,68,0,151,439
48013,"Calgary Signal Hill/Calgary Signal Hill"," 184","Calgary",7,0,62,2,90,2,163,405
48013,"Calgary Signal Hill/Calgary Signal Hill"," 185","Calgary",14,1,94,2,53,1,165,444
48013,"Calgary Signal Hill/Calgary Signal Hill"," 186A","Calgary",18,0,143,2,112,3,278,661
48013,"Calgary Signal Hill/Calgary Signal Hill"," 186B","Mobile poll/Bureau itinérant",9,1,31,0,21,1,63,81
48013,"Calgary Signal Hill/Calgary Signal Hill"," 187","Calgary",6,2,66,0,50,0,124,376
48013,"Calgary Signal Hill/Calgary Signal Hill"," 188","Calgary",Combined with No./Résultats combinés à ceux du n°164,,,,,,,332
48013,"Calgary Signal Hill/Calgary Signal Hill"," 189","Calgary",7,1,106,0,75,0,189,400
48013,"Calgary Signal Hill/Calgary Signal Hill"," 190","Calgary",2,0,98,3,36,0,139,359
48013,"Calgary Signal Hill/Calgary Signal Hill"," 191","Calgary",3,2,91,5,54,0,155,363
48013,"Calgary Signal Hill/Calgary Signal Hill"," 192","Calgary",8,2,75,0,60,0,145,394
48013,"Calgary Signal Hill/Calgary Signal Hill"," 193A","Calgary",4,0,115,0,77,2,198,568
48013,"Calgary Signal Hill/Calgary Signal Hill"," 193B","Mobile poll/Bureau itinérant",0,0,51,0,29,0,80,88
48013,"Calgary Signal Hill/Calgary Signal Hill"," 194","Calgary",17,1,101,2,90,0,211,576
48013,"Calgary Signal Hill/Calgary Signal Hill"," 195","Calgary",14,1,79,0,72,2,168,578
48013,"Calgary Signal Hill/Calgary Signal Hill"," 196","Calgary",6,1,89,0,66,1,163,410
48013,"Calgary Signal Hill/Calgary Signal Hill"," 197","Calgary",3,0,90,0,57,0,150,407
48013,"Calgary Signal Hill/Calgary Signal Hill"," 198","Calgary",2,0,113,1,49,1,166,390
48013,"Calgary Signal Hill/Calgary Signal Hill"," 500","Mobile poll/Bureau itinérant",6,1,96,0,45,1,149,145
48013,"Calgary Signal Hill/Calgary Signal Hill"," 501","Mobile poll/Bureau itinérant",13,1,103,4,51,7,179,162
48013,"Calgary Signal Hill/Calgary Signal Hill"," 502","Mobile poll/Bureau itinérant",5,0,123,0,77,6,211,134
48013,"Calgary Signal Hill/Calgary Signal Hill"," 503","Mobile poll/Bureau itinérant",5,0,34,0,17,2,58,70
48013,"Calgary Signal Hill/Calgary Signal Hill"," 504","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°506,,,,,,,53
48013,"Calgary Signal Hill/Calgary Signal Hill"," 505","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°501,,,,,,,168
48013,"Calgary Signal Hill/Calgary Signal Hill"," 506","Mobile poll/Bureau itinérant",6,1,75,0,38,3,123,102
48013,"Calgary Signal Hill/Calgary Signal Hill"," 507","Mobile poll/Bureau itinérant",3,1,70,2,18,4,98,68
48013,"Calgary Signal Hill/Calgary Signal Hill"," 508","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°507,,,,,,,39
48013,"Calgary Signal Hill/Calgary Signal Hill"," 509","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°507,,,,,,,58
48013,"Calgary Signal Hill/Calgary Signal Hill"," 510","Mobile poll/Bureau itinérant",6,2,31,0,20,3,62,59
48013,"Calgary Signal Hill/Calgary Signal Hill"," 511","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°513,,,,,,,59
48013,"Calgary Signal Hill/Calgary Signal Hill"," 512","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°510,,,,,,,32
48013,"Calgary Signal Hill/Calgary Signal Hill"," 513","Mobile poll/Bureau itinérant",3,0,49,4,31,4,91,83
48013,"Calgary Signal Hill/Calgary Signal Hill"," 514","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°515,,,,,,,76
48013,"Calgary Signal Hill/Calgary Signal Hill"," 515","Mobile poll/Bureau itinérant",5,3,69,2,38,2,119,100
48013,"Calgary Signal Hill/Calgary Signal Hill"," 516","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°507,,,,,,,50
48013,"Calgary Signal Hill/Calgary Signal Hill"," 517","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°518,,,,,,,83
48013,"Calgary Signal Hill/Calgary Signal Hill"," 518","Mobile poll/Bureau itinérant",11,4,58,4,44,6,127,107
48013,"Calgary Signal Hill/Calgary Signal Hill"," 600","Calgary",6,3,307,1,201,0,518,
48013,"Calgary Signal Hill/Calgary Signal Hill"," 601","Calgary",5,0,303,2,195,0,505,
48013,"Calgary Signal Hill/Calgary Signal Hill"," 602","Calgary",7,5,324,3,182,0,521,
48013,"Calgary Signal Hill/Calgary Signal Hill"," 603","Calgary",14,1,603,2,319,1,940,
48013,"Calgary Signal Hill/Calgary Signal Hill"," 604","Calgary",17,2,662,6,456,2,1145,
48013,"Calgary Signal Hill/Calgary Signal Hill"," 605","Calgary",19,3,684,1,407,0,1114,
48013,"Calgary Signal Hill/Calgary Signal Hill"," 606","Calgary",9,0,384,2,232,0,627,
48013,"Calgary Signal Hill/Calgary Signal Hill"," 607","Calgary",14,3,459,11,364,1,852,
48013,"Calgary Signal Hill/Calgary Signal Hill"," 608","Calgary",12,5,358,8,294,0,677,
48013,"Calgary Signal Hill/Calgary Signal Hill"," 609","Calgary",11,2,436,1,278,0,728,
48013,"Calgary Signal Hill/Calgary Signal Hill"," 610","Calgary",9,2,569,4,284,0,868,
48013,"Calgary Signal Hill/Calgary Signal Hill"," 611","Calgary",11,2,513,3,252,0,781,
48013,"Calgary Signal Hill/Calgary Signal Hill"," 612","Calgary",10,0,259,1,161,1,432,
48013,"Calgary Signal Hill/Calgary Signal Hill"," 613","Calgary",12,3,733,3,318,4,1073,
48013,"Calgary Signal Hill/Calgary Signal Hill"," 614","Calgary",12,3,682,1,387,1,1086,
48013,"Calgary Signal Hill/Calgary Signal Hill"," 615","Calgary",9,2,456,0,378,0,845,
48013,"Calgary Signal Hill/Calgary Signal Hill"," 616","Calgary",28,3,566,8,481,2,1088,
48013,"Calgary Signal Hill/Calgary Signal Hill"," 617","Calgary",24,9,476,4,398,0,911,
48013,"Calgary Signal Hill/Calgary Signal Hill"," 618","Calgary",18,4,260,1,295,0,578,
48013,"Calgary Signal Hill/Calgary Signal Hill"," 619","Calgary",29,4,516,6,436,2,993,
48013,"Calgary Signal Hill/Calgary Signal Hill"," 620","Calgary",30,1,706,1,455,3,1196,
48013,"Calgary Signal Hill/Calgary Signal Hill"," 621","Calgary",18,1,449,2,274,0,744,
48013,"Calgary Signal Hill/Calgary Signal Hill"," 622","Calgary",19,2,504,4,231,0,760,
48013,"Calgary Signal Hill/Calgary Signal Hill"," 623","Calgary",13,5,712,2,346,1,1079,
