Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Division Number/Numéro de section de vote,Polling Division Name/Nom de section de vote,Kulbir Chawla,You-Ju Choi,Alan Clarke,Brian Deheer,Laila Goodridge,Kaitlyn Staines,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
48025,"Fort McMurray--Cold Lake/Fort McMurray--Cold Lake"," 113","Wood Buffalo",Combined with No./Résultats combinés à ceux du n°124,,,,,,,,251
48025,"Fort McMurray--Cold Lake/Fort McMurray--Cold Lake"," 114A","Wood Buffalo",Combined with No./Résultats combinés à ceux du n°119,,,,,,,,238
48025,"Fort McMurray--Cold Lake/Fort McMurray--Cold Lake"," 114B","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°501,,,,,,,,20
48025,"Fort McMurray--Cold Lake/Fort McMurray--Cold Lake"," 115","Wood Buffalo",Combined with No./Résultats combinés à ceux du n°116,,,,,,,,216
48025,"Fort McMurray--Cold Lake/Fort McMurray--Cold Lake"," 116","Wood Buffalo",1,9,3,0,71,34,2,120,318
48025,"Fort McMurray--Cold Lake/Fort McMurray--Cold Lake"," 117","Wood Buffalo",1,7,1,0,64,41,0,114,297
48025,"Fort McMurray--Cold Lake/Fort McMurray--Cold Lake"," 118","Wood Buffalo",Combined with No./Résultats combinés à ceux du n°117,,,,,,,,234
48025,"Fort McMurray--Cold Lake/Fort McMurray--Cold Lake"," 119","Wood Buffalo",0,5,4,0,96,45,1,151,339
48025,"Fort McMurray--Cold Lake/Fort McMurray--Cold Lake"," 120","Wood Buffalo",0,2,3,1,65,30,1,102,418
48025,"Fort McMurray--Cold Lake/Fort McMurray--Cold Lake"," 121","Wood Buffalo",2,8,3,4,129,27,1,174,316
48025,"Fort McMurray--Cold Lake/Fort McMurray--Cold Lake"," 122","Wood Buffalo",Combined with No./Résultats combinés à ceux du n°121,,,,,,,,303
48025,"Fort McMurray--Cold Lake/Fort McMurray--Cold Lake"," 123","Wood Buffalo",0,4,1,0,198,16,4,223,517
48025,"Fort McMurray--Cold Lake/Fort McMurray--Cold Lake"," 124","Wood Buffalo",0,2,4,0,140,41,3,190,350
48025,"Fort McMurray--Cold Lake/Fort McMurray--Cold Lake"," 125","Wood Buffalo",0,5,3,1,172,13,1,195,494
48025,"Fort McMurray--Cold Lake/Fort McMurray--Cold Lake"," 126","Wood Buffalo",0,4,0,0,109,14,0,127,334
48025,"Fort McMurray--Cold Lake/Fort McMurray--Cold Lake"," 127","Wood Buffalo",0,9,3,0,124,21,1,158,380
48025,"Fort McMurray--Cold Lake/Fort McMurray--Cold Lake"," 128A","Fort McMurray",1,3,0,0,108,27,2,141,448
48025,"Fort McMurray--Cold Lake/Fort McMurray--Cold Lake"," 128B","Fort McMurray",0,3,4,0,105,27,0,139,429
48025,"Fort McMurray--Cold Lake/Fort McMurray--Cold Lake"," 129","Wood Buffalo",Combined with No./Résultats combinés à ceux du n°95,,,,,,,,181
48025,"Fort McMurray--Cold Lake/Fort McMurray--Cold Lake"," 130","Fort McMurray",0,2,3,2,143,13,0,163,376
48025,"Fort McMurray--Cold Lake/Fort McMurray--Cold Lake"," 131","Wood Buffalo",0,3,3,0,172,21,0,199,371
48025,"Fort McMurray--Cold Lake/Fort McMurray--Cold Lake"," 132","Wood Buffalo",0,4,4,0,90,15,0,113,298
48025,"Fort McMurray--Cold Lake/Fort McMurray--Cold Lake"," 133","Fort McMurray",0,2,1,2,100,27,3,135,339
48025,"Fort McMurray--Cold Lake/Fort McMurray--Cold Lake"," 134","Wood Buffalo",1,4,5,0,200,20,8,238,321
48025,"Fort McMurray--Cold Lake/Fort McMurray--Cold Lake"," 135","Wood Buffalo",0,2,1,0,133,13,0,149,403
48025,"Fort McMurray--Cold Lake/Fort McMurray--Cold Lake"," 136","Wood Buffalo",1,0,10,0,156,12,0,179,251
48025,"Fort McMurray--Cold Lake/Fort McMurray--Cold Lake"," 137","Wood Buffalo",Combined with No./Résultats combinés à ceux du n°136,,,,,,,,228
