Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Division Number/Numéro de section de vote,Polling Division Name/Nom de section de vote,Juanita Nathan,Jamie Nye,Zainab Rana,Lisa Robinson,Alicia Vianga,Andrea Wood,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35087,"Pickering--Brooklin/Pickering--Brooklin"," 78","Pickering",82,4,2,2,56,0,3,149,395
35087,"Pickering--Brooklin/Pickering--Brooklin"," 79","Pickering",89,6,0,1,68,2,0,166,432
35087,"Pickering--Brooklin/Pickering--Brooklin"," 80","Pickering",114,10,1,4,89,2,0,220,490
35087,"Pickering--Brooklin/Pickering--Brooklin"," 81","Pickering",81,7,1,4,66,1,0,160,475
35087,"Pickering--Brooklin/Pickering--Brooklin"," 82","Pickering",75,10,2,3,53,4,1,148,392
35087,"Pickering--Brooklin/Pickering--Brooklin"," 83","Pickering",68,5,1,2,37,2,4,119,381
35087,"Pickering--Brooklin/Pickering--Brooklin"," 84","Pickering",82,5,0,1,57,2,0,147,408
35087,"Pickering--Brooklin/Pickering--Brooklin"," 85","Pickering",88,3,1,0,88,1,0,181,415
35087,"Pickering--Brooklin/Pickering--Brooklin"," 86","Pickering",93,4,0,4,80,2,4,187,455
35087,"Pickering--Brooklin/Pickering--Brooklin"," 87","Pickering",100,2,3,4,79,4,2,194,514
35087,"Pickering--Brooklin/Pickering--Brooklin"," 88","Pickering",110,11,1,1,96,2,1,222,587
35087,"Pickering--Brooklin/Pickering--Brooklin"," 89","Pickering",120,10,1,5,89,3,0,228,508
35087,"Pickering--Brooklin/Pickering--Brooklin"," 90","Pickering",63,5,0,3,75,3,0,149,456
35087,"Pickering--Brooklin/Pickering--Brooklin"," 91","Pickering",124,11,0,5,58,3,0,201,489
35087,"Pickering--Brooklin/Pickering--Brooklin"," 92A","Pickering",51,5,0,3,43,0,0,102,314
35087,"Pickering--Brooklin/Pickering--Brooklin"," 92B","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°502,,,,,,,,60
35087,"Pickering--Brooklin/Pickering--Brooklin"," 93","Pickering",135,5,1,3,101,1,2,248,561
35087,"Pickering--Brooklin/Pickering--Brooklin"," 94A","Pickering",70,7,0,1,51,2,1,132,419
35087,"Pickering--Brooklin/Pickering--Brooklin"," 94B","Pickering",42,3,0,1,23,2,2,73,122
35087,"Pickering--Brooklin/Pickering--Brooklin"," 95","Pickering",124,11,0,2,96,4,1,238,550
35087,"Pickering--Brooklin/Pickering--Brooklin"," 96","Pickering",60,2,0,1,46,1,2,112,366
35087,"Pickering--Brooklin/Pickering--Brooklin"," 97","Pickering",107,7,2,2,85,2,0,205,407
35087,"Pickering--Brooklin/Pickering--Brooklin"," 98","Pickering",110,6,0,0,64,0,0,180,385
35087,"Pickering--Brooklin/Pickering--Brooklin"," 99","Pickering",102,7,0,2,78,2,0,191,561
35087,"Pickering--Brooklin/Pickering--Brooklin"," 100","Pickering",94,7,2,3,92,5,0,203,490
35087,"Pickering--Brooklin/Pickering--Brooklin"," 101","Pickering",88,0,0,1,37,1,1,128,347
35087,"Pickering--Brooklin/Pickering--Brooklin"," 102","Pickering",85,1,0,0,96,0,2,184,424
35087,"Pickering--Brooklin/Pickering--Brooklin"," 103","Pickering",66,6,1,3,61,0,0,137,417
35087,"Pickering--Brooklin/Pickering--Brooklin"," 104","Pickering",102,7,0,3,69,4,4,189,511
35087,"Pickering--Brooklin/Pickering--Brooklin"," 105","Pickering",108,4,1,3,105,1,0,222,490
35087,"Pickering--Brooklin/Pickering--Brooklin"," 106","Pickering",70,0,3,2,62,3,0,140,321
35087,"Pickering--Brooklin/Pickering--Brooklin"," 107","Pickering",105,4,1,1,71,1,0,183,458
35087,"Pickering--Brooklin/Pickering--Brooklin"," 108","Pickering",143,5,2,1,114,5,4,274,615
35087,"Pickering--Brooklin/Pickering--Brooklin"," 109","Pickering",112,5,1,5,92,1,1,217,572
35087,"Pickering--Brooklin/Pickering--Brooklin"," 110","Pickering",118,8,2,2,94,1,0,225,517
35087,"Pickering--Brooklin/Pickering--Brooklin"," 111","Pickering",76,2,1,0,72,4,2,157,399
35087,"Pickering--Brooklin/Pickering--Brooklin"," 112","Pickering",89,3,0,2,82,2,0,178,531
35087,"Pickering--Brooklin/Pickering--Brooklin"," 113","Pickering",72,1,0,1,89,1,0,164,441
35087,"Pickering--Brooklin/Pickering--Brooklin"," 114","Pickering",108,4,0,2,95,1,1,211,474
35087,"Pickering--Brooklin/Pickering--Brooklin"," 115","Pickering",57,4,0,1,61,0,0,123,345
35087,"Pickering--Brooklin/Pickering--Brooklin"," 116","Pickering",130,8,0,2,105,0,0,245,559
35087,"Pickering--Brooklin/Pickering--Brooklin"," 117","Pickering",123,9,0,2,79,2,0,215,427
35087,"Pickering--Brooklin/Pickering--Brooklin"," 118","Pickering",70,10,0,0,60,2,1,143,417
35087,"Pickering--Brooklin/Pickering--Brooklin"," 119","Pickering",104,5,0,2,61,1,0,173,452
35087,"Pickering--Brooklin/Pickering--Brooklin"," 120","Pickering",139,6,0,1,139,5,0,290,571
35087,"Pickering--Brooklin/Pickering--Brooklin"," 121","Pickering",132,12,0,4,74,4,1,227,530
35087,"Pickering--Brooklin/Pickering--Brooklin"," 122","Pickering",81,7,1,2,57,4,0,152,360
35087,"Pickering--Brooklin/Pickering--Brooklin"," 123","Pickering",124,7,3,1,82,3,0,220,554
35087,"Pickering--Brooklin/Pickering--Brooklin"," 124","Pickering",98,6,1,1,72,1,2,181,437
35087,"Pickering--Brooklin/Pickering--Brooklin"," 125","Pickering",79,4,0,2,37,1,0,123,377
35087,"Pickering--Brooklin/Pickering--Brooklin"," 126A","Pickering",115,9,2,6,76,0,0,208,628
35087,"Pickering--Brooklin/Pickering--Brooklin"," 126B","Pickering",48,2,0,0,14,0,1,65,142
35087,"Pickering--Brooklin/Pickering--Brooklin"," 127","Pickering",130,15,3,4,84,2,2,240,529
35087,"Pickering--Brooklin/Pickering--Brooklin"," 128","Pickering",69,4,0,1,67,1,0,142,345
35087,"Pickering--Brooklin/Pickering--Brooklin"," 129","Pickering",86,4,0,3,104,0,0,197,444
35087,"Pickering--Brooklin/Pickering--Brooklin"," 130","Pickering",102,9,0,5,94,2,3,215,504
35087,"Pickering--Brooklin/Pickering--Brooklin"," 131","Pickering",79,6,2,1,61,1,0,150,419
35087,"Pickering--Brooklin/Pickering--Brooklin"," 132A","Pickering",64,6,0,2,75,3,0,150,356
35087,"Pickering--Brooklin/Pickering--Brooklin"," 132B","Pickering",62,8,0,0,54,2,0,126,218
35087,"Pickering--Brooklin/Pickering--Brooklin"," 133","Pickering",117,6,0,2,106,2,4,237,487
35087,"Pickering--Brooklin/Pickering--Brooklin"," 134","Pickering",89,4,0,3,48,2,0,146,389
35087,"Pickering--Brooklin/Pickering--Brooklin"," 135","Pickering",111,10,0,9,108,1,0,239,520
35087,"Pickering--Brooklin/Pickering--Brooklin"," 136","Pickering",94,6,1,0,53,0,1,155,381
35087,"Pickering--Brooklin/Pickering--Brooklin"," 137","Pickering",112,5,2,0,67,1,0,187,470
35087,"Pickering--Brooklin/Pickering--Brooklin"," 138","Pickering",112,4,0,2,106,1,1,226,583
35087,"Pickering--Brooklin/Pickering--Brooklin"," 139","Pickering",113,1,1,3,79,1,0,198,504
35087,"Pickering--Brooklin/Pickering--Brooklin"," 140","Pickering",88,3,1,1,76,2,0,171,364
35087,"Pickering--Brooklin/Pickering--Brooklin"," 141","Pickering",67,5,3,5,84,4,0,168,372
35087,"Pickering--Brooklin/Pickering--Brooklin"," 142","Pickering",80,6,0,3,48,3,0,140,377
35087,"Pickering--Brooklin/Pickering--Brooklin"," 143","Pickering",70,5,1,4,78,0,3,161,404
