Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Division Number/Numéro de section de vote,Polling Division Name/Nom de section de vote,Rob Batherson,Lena Metlege Diab,Adam LeRue,Ron G. Parker,Rae Tench,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
12007,"Halifax West/Halifax-Ouest"," 605","Halifax",342,1027,7,10,78,7,1471,
12007,"Halifax West/Halifax-Ouest"," 606","Halifax",172,711,8,3,46,8,948,
12007,"Halifax West/Halifax-Ouest"," 607","Halifax",296,1047,14,21,131,8,1517,
12007,"Halifax West/Halifax-Ouest"," 608","Halifax",119,539,5,8,70,5,746,
12007,"Halifax West/Halifax-Ouest"," 609","Halifax",243,832,5,3,65,2,1150,
12007,"Halifax West/Halifax-Ouest"," 610","Halifax",240,629,9,5,43,6,932,
12007,"Halifax West/Halifax-Ouest"," 611","Halifax",340,926,8,7,42,0,1323,
12007,"Halifax West/Halifax-Ouest"," 612","Halifax",294,709,6,8,53,4,1074,
12007,"Halifax West/Halifax-Ouest"," 613","Halifax",540,1417,4,12,54,23,2050,
12007,"Halifax West/Halifax-Ouest"," 614","Yankeetown",Combined with No./Résultats combinés à ceux du n°615,,,,,,,
12007,"Halifax West/Halifax-Ouest"," 615","English Corner",159,479,1,2,20,1,662,
12007,"Halifax West/Halifax-Ouest"," 616","Hubley",410,1038,2,8,65,6,1529,
12007,"Halifax West/Halifax-Ouest"," 617","Hatchet Lake",365,742,3,11,46,6,1173,
12007,"Halifax West/Halifax-Ouest"," 618","Indian Harbour",293,801,7,8,59,8,1176,
12007,"Halifax West/Halifax-Ouest"," 619","Shad Bay--Terence Bay",174,310,1,2,14,1,502,
12007,"Halifax West/Halifax-Ouest",,Group 1/Groupe 1, 315,939,7,10,73,119,1463,312
12007,"Halifax West/Halifax-Ouest",,Group 2/Groupe 2, 965,3562,10,30,168,75,4810,
