Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Division Number/Numéro de section de vote,Polling Division Name/Nom de section de vote,Liz Clayton,Terry Hayward,Andrew Douglas Maxwell,Dan Mazier,Jim Oliver,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
46007,"Riding Mountain/Mont-Riding"," 574","Mobile poll/Bureau itinérant",Void/Supprimé,,,,,,,
46007,"Riding Mountain/Mont-Riding"," 575","Mobile poll/Bureau itinérant",0,6,6,10,3,0,25,10
46007,"Riding Mountain/Mont-Riding"," 576","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°575,,,,,,,15
46007,"Riding Mountain/Mont-Riding"," 577","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°575,,,,,,,11
46007,"Riding Mountain/Mont-Riding"," 578","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°580,,,,,,,13
46007,"Riding Mountain/Mont-Riding"," 579","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°580,,,,,,,19
46007,"Riding Mountain/Mont-Riding"," 580","Mobile poll/Bureau itinérant",2,3,2,25,1,0,33,4
46007,"Riding Mountain/Mont-Riding"," 581","Mobile poll/Bureau itinérant",1,8,2,22,0,0,33,9
46007,"Riding Mountain/Mont-Riding"," 582","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°581,,,,,,,5
46007,"Riding Mountain/Mont-Riding"," 600","Birch River--Mafeking",0,26,10,30,0,0,66,
46007,"Riding Mountain/Mont-Riding"," 601","Wuskwi Sipihk First Nation 2",Combined with No./Résultats combinés à ceux du n°600,,,,,,,
46007,"Riding Mountain/Mont-Riding"," 602","Shoal River 65B",Combined with No./Résultats combinés à ceux du n°603,,,,,,,
46007,"Riding Mountain/Mont-Riding"," 603","Pelican Rapids",1,9,2,0,0,0,12,
46007,"Riding Mountain/Mont-Riding"," 604","Camperville",4,29,14,8,1,0,56,
46007,"Riding Mountain/Mont-Riding"," 605","Pine Creek 66A",0,10,10,1,1,1,23,
46007,"Riding Mountain/Mont-Riding"," 606","Swan River",1,101,42,478,4,4,630,
46007,"Riding Mountain/Mont-Riding"," 607","Swan River",5,116,43,509,3,1,677,
46007,"Riding Mountain/Mont-Riding"," 608","Roblin",6,108,18,437,4,12,585,
46007,"Riding Mountain/Mont-Riding"," 609","Winnipegosis",4,44,22,146,1,1,218,
46007,"Riding Mountain/Mont-Riding"," 610","Waterhen 45",0,12,11,5,0,0,28,
46007,"Riding Mountain/Mont-Riding"," 611","Waterhen",Combined with No./Résultats combinés à ceux du n°610,,,,,,,
46007,"Riding Mountain/Mont-Riding"," 612","Crane River 51",1,7,9,5,0,1,23,
46007,"Riding Mountain/Mont-Riding"," 613","Crane River 51",Combined with No./Résultats combinés à ceux du n°612,,,,,,,
46007,"Riding Mountain/Mont-Riding"," 614","Ste. Rose du Lac",2,119,21,260,2,0,404,
46007,"Riding Mountain/Mont-Riding"," 615","Ebb and Flow 52",3,95,7,11,4,0,120,
46007,"Riding Mountain/Mont-Riding"," 616","Dauphin",6,248,71,555,10,1,891,
46007,"Riding Mountain/Mont-Riding"," 617","Dauphin",17,235,80,428,13,3,776,
46007,"Riding Mountain/Mont-Riding"," 618","Dauphin",10,159,39,375,3,2,588,
46007,"Riding Mountain/Mont-Riding"," 619","Grandview--Gilbert Plains",2,58,35,272,3,2,372,
46007,"Riding Mountain/Mont-Riding"," 620","Valley River 63A",Combined with No./Résultats combinés à ceux du n°608,,,,,,,
46007,"Riding Mountain/Mont-Riding"," 621","Russell",2,99,27,492,4,4,628,
46007,"Riding Mountain/Mont-Riding"," 622","Russell-Binscarth",Combined with No./Résultats combinés à ceux du n°621,,,,,,,
46007,"Riding Mountain/Mont-Riding"," 623","Waywayseecappo First Nation",1,6,7,2,0,0,16,
46007,"Riding Mountain/Mont-Riding"," 624","Waywayseecappo First Nation",2,47,6,160,8,0,223,
46007,"Riding Mountain/Mont-Riding"," 625","Shoal Lake",10,68,16,224,4,4,326,
46007,"Riding Mountain/Mont-Riding"," 626","Keeseekoowenin 61",5,6,2,19,2,0,34,
46007,"Riding Mountain/Mont-Riding"," 627","Keeseekoowenin 61--Elphinstone",Combined with No./Résultats combinés à ceux du n°626,,,,,,,
46007,"Riding Mountain/Mont-Riding"," 628","Minnedosa",6,101,25,233,5,1,371,
46007,"Riding Mountain/Mont-Riding"," 629","Rolling River 67",0,3,4,3,0,0,10,
46007,"Riding Mountain/Mont-Riding"," 630","McCreary",3,47,15,158,6,1,230,
46007,"Riding Mountain/Mont-Riding"," 631","Gladstone",2,74,27,247,2,1,353,
46007,"Riding Mountain/Mont-Riding"," 632","Sandy Bay",3,74,64,11,2,0,154,
46007,"Riding Mountain/Mont-Riding"," 633","Neepawa",8,218,43,772,10,5,1056,
46007,"Riding Mountain/Mont-Riding"," 634","Minnedosa",13,199,39,365,8,7,631,
46007,"Riding Mountain/Mont-Riding"," 635","Hamiota",7,76,19,225,1,6,334,
46007,"Riding Mountain/Mont-Riding"," 636","Birtle",2,67,14,170,2,2,257,
46007,"Riding Mountain/Mont-Riding"," 637","Birdtail Creek 57",Combined with No./Résultats combinés à ceux du n°636,,,,,,,
46007,"Riding Mountain/Mont-Riding"," 638","Brandon--Rivers",2,121,27,350,7,1,508,
46007,"Riding Mountain/Mont-Riding"," 639","Forrest",Combined with No./Résultats combinés à ceux du n°638,,,,,,,
46007,"Riding Mountain/Mont-Riding"," 640","Carberry",7,182,37,449,7,2,684,
46007,"Riding Mountain/Mont-Riding"," 641","North Norfolk",5,116,22,506,12,6,667,
46007,"Riding Mountain/Mont-Riding"," 642","Long Plain",0,13,8,1,0,0,22,
46007,"Riding Mountain/Mont-Riding"," 643","Dakota Plains 6A",Combined with No./Résultats combinés à ceux du n°644,,,,,,,
46007,"Riding Mountain/Mont-Riding"," 644","Norfolk-Treherne--Lorne",1,74,13,191,0,1,280,
46007,"Riding Mountain/Mont-Riding",,Group 1/Groupe 1, 12,188,55,201,11,33,500,216
46007,"Riding Mountain/Mont-Riding",,Group 2/Groupe 2, 15,254,68,729,15,5,1086,
