Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Division Number/Numéro de section de vote,Polling Division Name/Nom de section de vote,Mathieu Boisvert,Ruth Fontaine,Barbara Joannette,Dave Pouliot,Jacques Ramsay,Alain Therrien,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24032,"La Prairie--Atateken/La Prairie--Atateken"," 117","Candiac",6,2,0,41,154,62,1,266,353
24032,"La Prairie--Atateken/La Prairie--Atateken"," 118","Candiac",8,0,3,37,82,74,1,205,514
24032,"La Prairie--Atateken/La Prairie--Atateken"," 119","Candiac",0,0,0,36,70,31,2,139,600
24032,"La Prairie--Atateken/La Prairie--Atateken"," 120","Candiac",2,1,0,46,112,52,3,216,507
24032,"La Prairie--Atateken/La Prairie--Atateken"," 121","Candiac",10,1,7,39,81,55,4,197,569
24032,"La Prairie--Atateken/La Prairie--Atateken"," 122","Candiac",2,0,4,40,86,36,2,170,445
24032,"La Prairie--Atateken/La Prairie--Atateken"," 123","Candiac",5,2,0,41,100,58,2,208,493
24032,"La Prairie--Atateken/La Prairie--Atateken"," 124","Candiac",5,1,2,66,122,38,3,237,536
24032,"La Prairie--Atateken/La Prairie--Atateken"," 125","Candiac",6,1,5,110,148,75,1,346,942
24032,"La Prairie--Atateken/La Prairie--Atateken"," 126","Candiac",6,2,0,38,96,48,4,194,556
24032,"La Prairie--Atateken/La Prairie--Atateken"," 127","Delson",4,2,2,34,63,60,2,167,344
24032,"La Prairie--Atateken/La Prairie--Atateken"," 128","Delson",4,0,0,44,83,69,3,203,646
24032,"La Prairie--Atateken/La Prairie--Atateken"," 129","Delson",4,0,6,39,70,64,2,185,438
24032,"La Prairie--Atateken/La Prairie--Atateken"," 130","Delson",4,1,1,37,63,66,2,174,510
24032,"La Prairie--Atateken/La Prairie--Atateken"," 131","Delson",5,1,3,45,67,74,4,199,478
24032,"La Prairie--Atateken/La Prairie--Atateken"," 132","Delson",3,0,1,56,110,106,2,278,538
24032,"La Prairie--Atateken/La Prairie--Atateken"," 133","Delson",4,1,4,50,84,79,1,223,482
24032,"La Prairie--Atateken/La Prairie--Atateken"," 134","Delson",7,1,3,48,86,82,1,228,499
24032,"La Prairie--Atateken/La Prairie--Atateken"," 135","Saint-Constant",8,1,2,39,90,88,1,229,498
24032,"La Prairie--Atateken/La Prairie--Atateken"," 136","Saint-Constant",5,3,4,29,42,54,4,141,500
24032,"La Prairie--Atateken/La Prairie--Atateken"," 137","Saint-Constant",7,0,2,20,65,84,2,180,387
24032,"La Prairie--Atateken/La Prairie--Atateken"," 138","Saint-Constant",4,1,1,32,48,73,2,161,392
24032,"La Prairie--Atateken/La Prairie--Atateken"," 139","Saint-Constant",7,1,3,41,60,74,4,190,458
24032,"La Prairie--Atateken/La Prairie--Atateken"," 140","Saint-Constant",2,1,2,34,83,93,2,217,454
24032,"La Prairie--Atateken/La Prairie--Atateken"," 141","Saint-Constant",10,3,0,63,111,116,5,308,625
24032,"La Prairie--Atateken/La Prairie--Atateken"," 142","Saint-Constant",6,0,2,35,66,82,0,191,410
24032,"La Prairie--Atateken/La Prairie--Atateken"," 143","Saint-Constant",8,1,3,31,68,93,7,211,430
24032,"La Prairie--Atateken/La Prairie--Atateken"," 144","Sainte-Catherine",4,2,3,60,44,78,5,196,498
24032,"La Prairie--Atateken/La Prairie--Atateken"," 145","Sainte-Catherine",4,1,5,46,72,96,6,230,557
24032,"La Prairie--Atateken/La Prairie--Atateken"," 146","Sainte-Catherine",2,1,2,48,79,107,2,241,592
24032,"La Prairie--Atateken/La Prairie--Atateken"," 147","Sainte-Catherine",11,1,4,47,70,67,2,202,436
24032,"La Prairie--Atateken/La Prairie--Atateken"," 148","Sainte-Catherine",5,1,0,26,31,54,4,121,404
24032,"La Prairie--Atateken/La Prairie--Atateken"," 149","Sainte-Catherine",2,3,0,14,41,57,1,118,381
24032,"La Prairie--Atateken/La Prairie--Atateken"," 150","Sainte-Catherine",6,1,2,36,52,74,4,175,454
24032,"La Prairie--Atateken/La Prairie--Atateken"," 151","Sainte-Catherine",3,0,3,54,61,66,5,192,425
24032,"La Prairie--Atateken/La Prairie--Atateken"," 152","Sainte-Catherine",3,0,1,30,42,84,0,160,391
24032,"La Prairie--Atateken/La Prairie--Atateken"," 153","Sainte-Catherine",3,1,3,31,63,94,2,197,425
24032,"La Prairie--Atateken/La Prairie--Atateken"," 154","Kahnawake 14",1,0,0,12,27,0,0,40,2410
24032,"La Prairie--Atateken/La Prairie--Atateken"," 155","Saint-Philippe",10,0,3,62,108,89,2,274,521
24032,"La Prairie--Atateken/La Prairie--Atateken"," 156","Saint-Philippe",7,2,3,52,106,85,2,257,484
24032,"La Prairie--Atateken/La Prairie--Atateken"," 157","Saint-Philippe",1,0,0,40,55,49,1,146,364
24032,"La Prairie--Atateken/La Prairie--Atateken"," 158","Saint-Philippe",4,3,1,58,69,59,5,199,491
24032,"La Prairie--Atateken/La Prairie--Atateken"," 159","Saint-Philippe",9,3,3,27,66,58,3,169,407
24032,"La Prairie--Atateken/La Prairie--Atateken"," 160","Saint-Philippe",2,0,1,41,67,93,2,206,470
24032,"La Prairie--Atateken/La Prairie--Atateken"," 161","Saint-Philippe",7,0,3,44,48,89,4,195,511
24032,"La Prairie--Atateken/La Prairie--Atateken"," 162","Saint-Philippe",13,3,1,47,87,78,4,233,408
24032,"La Prairie--Atateken/La Prairie--Atateken"," 163","Saint-Philippe",8,3,5,33,67,72,3,191,533
24032,"La Prairie--Atateken/La Prairie--Atateken"," 164","Saint-Philippe",11,0,3,32,44,73,3,166,325
24032,"La Prairie--Atateken/La Prairie--Atateken"," 165","Saint-Constant",5,2,1,34,101,102,0,245,507
24032,"La Prairie--Atateken/La Prairie--Atateken"," 166","Saint-Constant",6,0,4,37,56,79,2,184,438
24032,"La Prairie--Atateken/La Prairie--Atateken"," 167","Saint-Constant",8,5,6,40,69,88,2,218,526
