Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Division Number/Numéro de section de vote,Polling Division Name/Nom de section de vote,Tatiana Auguste,Maxime Beaudoin,Maria Cantore,Adrienne Charles,Benjamin Rankin,Nathalie Sinclair-Desgagné,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24073,"Terrebonne/Terrebonne"," 93","Terrebonne",113,12,1,41,0,115,12,294,554
24073,"Terrebonne/Terrebonne"," 94","Terrebonne",79,4,1,44,4,113,2,247,508
24073,"Terrebonne/Terrebonne"," 95","Terrebonne",87,7,3,51,3,70,1,222,558
24073,"Terrebonne/Terrebonne"," 96","Terrebonne",70,7,4,32,0,87,7,207,499
24073,"Terrebonne/Terrebonne"," 97","Terrebonne",75,9,0,41,5,91,2,223,476
24073,"Terrebonne/Terrebonne"," 98","Terrebonne",79,9,0,54,1,87,2,232,455
24073,"Terrebonne/Terrebonne"," 99","Terrebonne",77,4,1,37,1,63,3,186,526
24073,"Terrebonne/Terrebonne"," 100","Terrebonne",60,4,5,41,4,63,3,180,539
24073,"Terrebonne/Terrebonne"," 101","Terrebonne",39,9,2,36,3,79,0,168,522
24073,"Terrebonne/Terrebonne"," 102","Terrebonne",62,4,1,25,2,58,4,156,510
24073,"Terrebonne/Terrebonne"," 103","Terrebonne",86,8,0,29,8,88,1,220,530
24073,"Terrebonne/Terrebonne"," 104","Terrebonne",62,4,1,33,1,79,2,182,485
24073,"Terrebonne/Terrebonne"," 105","Terrebonne",48,7,0,26,2,103,5,191,535
24073,"Terrebonne/Terrebonne"," 106","Terrebonne",44,7,1,35,5,115,0,207,495
24073,"Terrebonne/Terrebonne"," 107","Terrebonne",45,6,0,31,7,78,5,172,469
24073,"Terrebonne/Terrebonne"," 108","Terrebonne",57,4,1,27,5,81,2,177,502
24073,"Terrebonne/Terrebonne"," 109","Terrebonne",54,2,0,18,0,62,2,138,362
24073,"Terrebonne/Terrebonne"," 110","Terrebonne",33,5,1,34,4,56,1,134,437
24073,"Terrebonne/Terrebonne"," 111","Terrebonne",38,9,1,37,6,60,4,155,477
24073,"Terrebonne/Terrebonne"," 112","Terrebonne",67,8,3,33,6,76,4,197,514
24073,"Terrebonne/Terrebonne"," 113","Terrebonne",50,8,3,38,2,69,4,174,473
24073,"Terrebonne/Terrebonne"," 114","Terrebonne",61,11,1,41,3,84,4,205,502
24073,"Terrebonne/Terrebonne"," 115","Terrebonne",32,6,1,32,3,67,3,144,496
24073,"Terrebonne/Terrebonne"," 116","Terrebonne",63,6,2,34,2,82,3,192,471
24073,"Terrebonne/Terrebonne"," 117","Terrebonne",69,8,1,37,4,71,3,193,442
24073,"Terrebonne/Terrebonne"," 118","Terrebonne",71,7,2,25,0,80,3,188,511
24073,"Terrebonne/Terrebonne"," 119","Terrebonne",77,7,0,37,1,74,6,202,506
24073,"Terrebonne/Terrebonne"," 120","Terrebonne",109,7,2,56,1,79,2,256,551
24073,"Terrebonne/Terrebonne"," 121","Terrebonne",25,6,0,19,0,56,1,107,281
24073,"Terrebonne/Terrebonne"," 122","Terrebonne",65,3,0,18,0,56,1,143,460
24073,"Terrebonne/Terrebonne"," 123A","Terrebonne",98,7,2,39,3,85,3,237,607
24073,"Terrebonne/Terrebonne"," 123B","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°504,,,,,,,,29
24073,"Terrebonne/Terrebonne"," 124","Terrebonne",115,1,1,53,0,81,0,251,518
24073,"Terrebonne/Terrebonne"," 125","Terrebonne",163,4,2,65,2,72,2,310,543
24073,"Terrebonne/Terrebonne"," 126","Terrebonne",122,6,2,46,2,83,2,263,424
24073,"Terrebonne/Terrebonne"," 127","Terrebonne",103,6,0,26,1,81,0,217,425
24073,"Terrebonne/Terrebonne"," 128","Terrebonne",90,4,3,49,5,87,3,241,422
24073,"Terrebonne/Terrebonne"," 129","Terrebonne",48,11,1,31,0,77,1,169,435
24073,"Terrebonne/Terrebonne"," 130","Terrebonne",60,7,1,32,3,68,1,172,497
24073,"Terrebonne/Terrebonne"," 131","Terrebonne",21,1,1,36,0,57,0,116,339
24073,"Terrebonne/Terrebonne"," 132","Terrebonne",115,6,0,51,2,72,2,248,569
24073,"Terrebonne/Terrebonne"," 133","Terrebonne",104,3,1,40,3,74,4,229,536
24073,"Terrebonne/Terrebonne"," 134","Terrebonne",66,11,3,58,2,75,1,216,495
24073,"Terrebonne/Terrebonne"," 135","Terrebonne",55,5,3,29,1,72,2,167,496
24073,"Terrebonne/Terrebonne"," 136","Terrebonne",53,7,1,25,1,63,2,152,488
24073,"Terrebonne/Terrebonne"," 137","Terrebonne",68,9,1,38,1,77,2,196,438
24073,"Terrebonne/Terrebonne"," 138","Terrebonne",80,8,5,29,2,78,5,207,465
24073,"Terrebonne/Terrebonne"," 139","Terrebonne",69,7,3,28,3,104,3,217,459
24073,"Terrebonne/Terrebonne"," 140","Terrebonne",87,4,3,36,2,75,2,209,461
24073,"Terrebonne/Terrebonne"," 141","Terrebonne",77,10,1,46,4,86,3,227,508
24073,"Terrebonne/Terrebonne"," 142","Terrebonne",70,7,2,52,2,78,3,214,467
24073,"Terrebonne/Terrebonne"," 143","Terrebonne",50,6,1,32,0,83,3,175,507
24073,"Terrebonne/Terrebonne"," 144","Terrebonne",76,5,0,46,1,93,4,225,520
24073,"Terrebonne/Terrebonne"," 145","Terrebonne",70,3,3,27,2,104,1,210,511
24073,"Terrebonne/Terrebonne"," 146","Terrebonne",90,1,2,42,0,105,3,243,529
24073,"Terrebonne/Terrebonne"," 147","Terrebonne",86,10,2,50,3,84,3,238,499
24073,"Terrebonne/Terrebonne"," 148","Terrebonne",113,5,0,53,0,106,4,281,554
24073,"Terrebonne/Terrebonne"," 149","Terrebonne",90,8,1,51,0,74,1,225,504
24073,"Terrebonne/Terrebonne"," 150","Terrebonne",78,0,6,35,1,81,3,204,469
24073,"Terrebonne/Terrebonne"," 151","Terrebonne",78,1,0,49,3,89,2,222,417
24073,"Terrebonne/Terrebonne"," 152","Lachenaie",89,6,1,30,4,73,1,204,388
24073,"Terrebonne/Terrebonne"," 153","Terrebonne",32,3,1,39,5,62,5,147,414
24073,"Terrebonne/Terrebonne"," 154","Lachenaie",49,5,2,23,3,54,3,139,407
24073,"Terrebonne/Terrebonne"," 155A","Lachenaie",86,7,0,32,2,97,1,225,363
24073,"Terrebonne/Terrebonne"," 155B","Lachenaie",53,5,0,50,0,50,0,158,313
24073,"Terrebonne/Terrebonne"," 156","Lachenaie",90,9,0,34,1,42,1,177,484
24073,"Terrebonne/Terrebonne"," 157","Terrebonne",109,5,1,65,2,73,0,255,511
24073,"Terrebonne/Terrebonne"," 158","Terrebonne",163,4,0,59,0,75,2,303,570
24073,"Terrebonne/Terrebonne"," 159","Terrebonne",100,5,3,34,2,71,0,215,546
24073,"Terrebonne/Terrebonne"," 160","Terrebonne",117,14,0,32,8,44,2,217,507
24073,"Terrebonne/Terrebonne"," 161","Terrebonne",86,8,1,46,3,75,5,224,500
24073,"Terrebonne/Terrebonne"," 162","Terrebonne",62,3,0,20,2,80,2,169,439
