Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Division Number/Numéro de section de vote,Polling Division Name/Nom de section de vote,Jim Boutsikakis,Chad Collins,Ned Kuruc,Nayla Mithani,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35037,"Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek"," 54","Hamilton",1,69,82,4,0,156,409
35037,"Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek"," 55","Hamilton",1,92,150,3,0,246,558
35037,"Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek"," 56","Hamilton",1,69,103,5,3,181,456
35037,"Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek"," 57","Hamilton",2,55,107,2,4,170,434
35037,"Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek"," 58","Hamilton",2,80,90,4,2,178,463
35037,"Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek"," 59","Hamilton",3,85,111,9,0,208,494
35037,"Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek"," 60","Hamilton",3,129,132,8,1,273,563
35037,"Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek"," 61","Hamilton",3,65,69,17,2,156,325
35037,"Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek"," 62","Hamilton",3,104,126,9,3,245,573
35037,"Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek"," 63","Hamilton",4,44,54,11,1,114,423
35037,"Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek"," 64","Hamilton",1,51,61,11,4,128,505
35037,"Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek"," 65","Hamilton",2,89,90,8,1,190,533
35037,"Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek"," 66","Hamilton",0,89,64,7,1,161,482
35037,"Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek"," 67","Hamilton",4,76,72,10,2,164,531
35037,"Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek"," 68","Hamilton",1,55,50,13,0,119,457
35037,"Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek"," 69","Hamilton",4,53,53,3,0,113,390
35037,"Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek"," 70","Hamilton",2,98,91,7,0,198,496
35037,"Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek"," 71","Hamilton",0,55,95,2,0,152,335
35037,"Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek"," 72","Hamilton",7,69,82,13,1,172,468
35037,"Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek"," 73","Hamilton",6,87,92,12,1,198,528
35037,"Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek"," 74","Hamilton",1,81,129,6,0,217,525
35037,"Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek"," 75","Hamilton",6,89,136,21,0,252,602
