Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Division Number/Numéro de section de vote,Polling Division Name/Nom de section de vote,Manoj Bhangu,Alexander Dow,Avi Nayyar,Desiderio Magtanggol "Bonn" Reyes,Gregor Robertson,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
59037,"Vancouver Fraserview--South Burnaby/Vancouver Fraserview--Burnaby-Sud"," 113B","Vancouver",9,4,71,0,84,0,168,563
59037,"Vancouver Fraserview--South Burnaby/Vancouver Fraserview--Burnaby-Sud"," 114","Vancouver",24,2,41,0,61,0,128,439
59037,"Vancouver Fraserview--South Burnaby/Vancouver Fraserview--Burnaby-Sud"," 115","Vancouver",6,0,45,0,50,0,101,355
59037,"Vancouver Fraserview--South Burnaby/Vancouver Fraserview--Burnaby-Sud"," 116","Vancouver",5,4,58,1,61,0,129,426
59037,"Vancouver Fraserview--South Burnaby/Vancouver Fraserview--Burnaby-Sud"," 117","Vancouver",14,1,38,1,80,0,134,429
59037,"Vancouver Fraserview--South Burnaby/Vancouver Fraserview--Burnaby-Sud"," 118","Vancouver",4,2,48,0,50,0,104,434
59037,"Vancouver Fraserview--South Burnaby/Vancouver Fraserview--Burnaby-Sud"," 119","Vancouver",4,1,45,0,66,1,117,397
59037,"Vancouver Fraserview--South Burnaby/Vancouver Fraserview--Burnaby-Sud"," 120","Vancouver",15,2,71,1,68,0,157,552
59037,"Vancouver Fraserview--South Burnaby/Vancouver Fraserview--Burnaby-Sud"," 121","Vancouver",9,2,32,0,57,0,100,409
59037,"Vancouver Fraserview--South Burnaby/Vancouver Fraserview--Burnaby-Sud"," 122","Vancouver",10,2,34,1,77,0,124,531
59037,"Vancouver Fraserview--South Burnaby/Vancouver Fraserview--Burnaby-Sud"," 123A","Vancouver",14,0,42,1,63,0,120,416
59037,"Vancouver Fraserview--South Burnaby/Vancouver Fraserview--Burnaby-Sud"," 123B","Vancouver",15,4,27,0,51,1,98,402
59037,"Vancouver Fraserview--South Burnaby/Vancouver Fraserview--Burnaby-Sud"," 124","Vancouver",21,1,44,0,83,0,149,419
59037,"Vancouver Fraserview--South Burnaby/Vancouver Fraserview--Burnaby-Sud"," 125","Vancouver",14,1,43,0,58,1,117,406
59037,"Vancouver Fraserview--South Burnaby/Vancouver Fraserview--Burnaby-Sud"," 126","Vancouver",20,2,38,1,81,1,143,442
59037,"Vancouver Fraserview--South Burnaby/Vancouver Fraserview--Burnaby-Sud"," 127","Burnaby",10,2,42,0,39,0,93,372
59037,"Vancouver Fraserview--South Burnaby/Vancouver Fraserview--Burnaby-Sud"," 128","Burnaby",Combined with No./Résultats combinés à ceux du n°134,,,,,,,125
59037,"Vancouver Fraserview--South Burnaby/Vancouver Fraserview--Burnaby-Sud"," 129","Burnaby",18,2,63,2,89,1,175,414
59037,"Vancouver Fraserview--South Burnaby/Vancouver Fraserview--Burnaby-Sud"," 130","Burnaby",22,4,57,0,85,0,168,408
59037,"Vancouver Fraserview--South Burnaby/Vancouver Fraserview--Burnaby-Sud"," 131","Burnaby",14,3,58,0,66,0,141,411
59037,"Vancouver Fraserview--South Burnaby/Vancouver Fraserview--Burnaby-Sud"," 132","Burnaby",24,2,80,1,83,0,190,454
59037,"Vancouver Fraserview--South Burnaby/Vancouver Fraserview--Burnaby-Sud"," 133","Burnaby",25,3,61,2,78,0,169,427
59037,"Vancouver Fraserview--South Burnaby/Vancouver Fraserview--Burnaby-Sud"," 134","Burnaby",28,1,68,1,47,0,145,362
59037,"Vancouver Fraserview--South Burnaby/Vancouver Fraserview--Burnaby-Sud"," 135","Burnaby",28,1,72,1,89,5,196,603
59037,"Vancouver Fraserview--South Burnaby/Vancouver Fraserview--Burnaby-Sud"," 136","Burnaby",9,0,67,0,51,1,128,415
59037,"Vancouver Fraserview--South Burnaby/Vancouver Fraserview--Burnaby-Sud"," 137","Burnaby",25,3,46,0,58,0,132,377
59037,"Vancouver Fraserview--South Burnaby/Vancouver Fraserview--Burnaby-Sud"," 138","Burnaby",5,1,69,0,56,0,131,441
59037,"Vancouver Fraserview--South Burnaby/Vancouver Fraserview--Burnaby-Sud"," 139","Burnaby",9,2,47,2,44,0,104,420
59037,"Vancouver Fraserview--South Burnaby/Vancouver Fraserview--Burnaby-Sud"," 140","Burnaby",16,2,65,0,47,0,130,462
59037,"Vancouver Fraserview--South Burnaby/Vancouver Fraserview--Burnaby-Sud"," 141","Burnaby",4,1,46,1,36,3,91,344
59037,"Vancouver Fraserview--South Burnaby/Vancouver Fraserview--Burnaby-Sud"," 142","Burnaby",9,1,43,1,44,0,98,376
59037,"Vancouver Fraserview--South Burnaby/Vancouver Fraserview--Burnaby-Sud"," 143","Burnaby",12,2,58,2,67,4,145,505
59037,"Vancouver Fraserview--South Burnaby/Vancouver Fraserview--Burnaby-Sud"," 144","Burnaby",16,4,75,1,77,0,173,481
59037,"Vancouver Fraserview--South Burnaby/Vancouver Fraserview--Burnaby-Sud"," 145","Burnaby",10,3,70,0,57,0,140,360
59037,"Vancouver Fraserview--South Burnaby/Vancouver Fraserview--Burnaby-Sud"," 146","Burnaby",9,6,49,0,55,0,119,388
59037,"Vancouver Fraserview--South Burnaby/Vancouver Fraserview--Burnaby-Sud"," 147","Burnaby",14,2,47,3,65,0,131,544
59037,"Vancouver Fraserview--South Burnaby/Vancouver Fraserview--Burnaby-Sud"," 148","Burnaby",9,1,50,2,36,2,100,366
59037,"Vancouver Fraserview--South Burnaby/Vancouver Fraserview--Burnaby-Sud"," 149","Burnaby",21,2,66,2,67,0,158,609
59037,"Vancouver Fraserview--South Burnaby/Vancouver Fraserview--Burnaby-Sud"," 150","Burnaby",18,1,58,1,55,0,133,471
59037,"Vancouver Fraserview--South Burnaby/Vancouver Fraserview--Burnaby-Sud"," 151","Burnaby",16,2,46,0,48,0,112,418
59037,"Vancouver Fraserview--South Burnaby/Vancouver Fraserview--Burnaby-Sud"," 152","Burnaby",4,3,44,1,32,0,84,340
59037,"Vancouver Fraserview--South Burnaby/Vancouver Fraserview--Burnaby-Sud"," 153","Burnaby",25,3,71,1,59,0,159,476
59037,"Vancouver Fraserview--South Burnaby/Vancouver Fraserview--Burnaby-Sud"," 154","Burnaby",26,1,41,0,57,0,125,407
59037,"Vancouver Fraserview--South Burnaby/Vancouver Fraserview--Burnaby-Sud"," 155","Burnaby",15,0,55,1,43,0,114,340
59037,"Vancouver Fraserview--South Burnaby/Vancouver Fraserview--Burnaby-Sud"," 156","Burnaby",15,1,49,0,48,0,113,336
59037,"Vancouver Fraserview--South Burnaby/Vancouver Fraserview--Burnaby-Sud"," 157","Burnaby",10,2,48,1,50,0,111,314
59037,"Vancouver Fraserview--South Burnaby/Vancouver Fraserview--Burnaby-Sud"," 158","Burnaby",17,1,48,1,68,0,135,380
59037,"Vancouver Fraserview--South Burnaby/Vancouver Fraserview--Burnaby-Sud"," 159","Burnaby",18,1,92,2,102,2,217,436
59037,"Vancouver Fraserview--South Burnaby/Vancouver Fraserview--Burnaby-Sud"," 160","Burnaby",24,1,90,0,75,2,192,497
59037,"Vancouver Fraserview--South Burnaby/Vancouver Fraserview--Burnaby-Sud"," 161","Burnaby",15,4,40,0,73,0,132,362
59037,"Vancouver Fraserview--South Burnaby/Vancouver Fraserview--Burnaby-Sud"," 162","Burnaby",29,6,72,1,105,1,214,601
59037,"Vancouver Fraserview--South Burnaby/Vancouver Fraserview--Burnaby-Sud"," 163","Burnaby",15,5,39,2,49,0,110,456
59037,"Vancouver Fraserview--South Burnaby/Vancouver Fraserview--Burnaby-Sud"," 164","Burnaby",13,3,35,2,31,0,84,352
59037,"Vancouver Fraserview--South Burnaby/Vancouver Fraserview--Burnaby-Sud"," 165","Burnaby",11,2,23,0,57,2,95,365
59037,"Vancouver Fraserview--South Burnaby/Vancouver Fraserview--Burnaby-Sud"," 166","Burnaby",16,2,49,1,40,0,108,469
59037,"Vancouver Fraserview--South Burnaby/Vancouver Fraserview--Burnaby-Sud"," 167","Burnaby",16,2,62,2,56,1,139,604
59037,"Vancouver Fraserview--South Burnaby/Vancouver Fraserview--Burnaby-Sud"," 168","Burnaby",17,2,33,0,57,1,110,453
59037,"Vancouver Fraserview--South Burnaby/Vancouver Fraserview--Burnaby-Sud"," 169","Burnaby",21,3,29,2,49,1,105,526
59037,"Vancouver Fraserview--South Burnaby/Vancouver Fraserview--Burnaby-Sud"," 170","Burnaby",16,1,22,3,44,0,86,367
59037,"Vancouver Fraserview--South Burnaby/Vancouver Fraserview--Burnaby-Sud"," 171","Burnaby",18,1,35,4,43,1,102,392
59037,"Vancouver Fraserview--South Burnaby/Vancouver Fraserview--Burnaby-Sud"," 172","Burnaby",13,2,38,1,48,0,102,368
59037,"Vancouver Fraserview--South Burnaby/Vancouver Fraserview--Burnaby-Sud"," 173","Burnaby",11,0,55,2,37,0,105,484
59037,"Vancouver Fraserview--South Burnaby/Vancouver Fraserview--Burnaby-Sud"," 174","Burnaby",12,1,31,0,40,0,84,320
59037,"Vancouver Fraserview--South Burnaby/Vancouver Fraserview--Burnaby-Sud"," 175","Burnaby",32,3,77,2,55,0,169,510
59037,"Vancouver Fraserview--South Burnaby/Vancouver Fraserview--Burnaby-Sud"," 176A","Burnaby",8,1,50,0,46,0,105,399
59037,"Vancouver Fraserview--South Burnaby/Vancouver Fraserview--Burnaby-Sud"," 176B","Burnaby",8,1,40,1,43,0,93,435
59037,"Vancouver Fraserview--South Burnaby/Vancouver Fraserview--Burnaby-Sud"," 177","Burnaby",23,2,36,3,60,0,124,536
59037,"Vancouver Fraserview--South Burnaby/Vancouver Fraserview--Burnaby-Sud"," 178A","Burnaby",6,1,46,0,44,0,97,441
