Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Division Number/Numéro de section de vote,Polling Division Name/Nom de section de vote,Hafiz Muneeb Ahmad,Shafqat Ali,Jayesh Brahmbhatt,Mike Dancy,Avi Dhaliwal,Tim Iqbal,Teresa Yeh,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35010,"Brampton--Chinguacousy Park/Brampton--Chinguacousy Park"," 415","Brampton",0,39,0,0,0,26,2,0,67,246
35010,"Brampton--Chinguacousy Park/Brampton--Chinguacousy Park"," 416","Brampton",1,87,2,2,2,51,3,2,150,416
35010,"Brampton--Chinguacousy Park/Brampton--Chinguacousy Park"," 417","Brampton",0,42,0,1,1,44,0,0,88,300
35010,"Brampton--Chinguacousy Park/Brampton--Chinguacousy Park"," 418","Brampton",1,73,2,1,0,41,1,0,119,323
35010,"Brampton--Chinguacousy Park/Brampton--Chinguacousy Park"," 419","Brampton",0,53,6,2,1,36,1,0,99,303
35010,"Brampton--Chinguacousy Park/Brampton--Chinguacousy Park"," 420","Brampton",2,52,0,3,1,38,3,1,100,295
35010,"Brampton--Chinguacousy Park/Brampton--Chinguacousy Park"," 421","Brampton",0,84,3,4,0,41,4,0,136,315
35010,"Brampton--Chinguacousy Park/Brampton--Chinguacousy Park"," 422","Brampton",0,57,1,5,1,60,5,1,130,186
35010,"Brampton--Chinguacousy Park/Brampton--Chinguacousy Park"," 423","Brampton",0,42,2,5,1,45,7,0,102,181
35010,"Brampton--Chinguacousy Park/Brampton--Chinguacousy Park"," 424","Brampton",1,82,1,1,2,40,5,1,133,313
35010,"Brampton--Chinguacousy Park/Brampton--Chinguacousy Park"," 500","Mobile poll/Bureau itinérant",1,52,3,5,4,24,6,0,95,148
35010,"Brampton--Chinguacousy Park/Brampton--Chinguacousy Park"," 501","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°500,,,,,,,,,87
35010,"Brampton--Chinguacousy Park/Brampton--Chinguacousy Park"," 600","Brampton",3,520,18,4,4,480,17,26,1072,
35010,"Brampton--Chinguacousy Park/Brampton--Chinguacousy Park"," 601","Brampton",2,605,24,8,7,452,12,8,1118,
35010,"Brampton--Chinguacousy Park/Brampton--Chinguacousy Park"," 602","Brampton",3,476,13,10,14,314,17,11,858,
35010,"Brampton--Chinguacousy Park/Brampton--Chinguacousy Park"," 603","Brampton",0,414,11,4,3,338,30,12,812,
35010,"Brampton--Chinguacousy Park/Brampton--Chinguacousy Park"," 604","Brampton",2,464,14,14,8,430,18,9,959,
35010,"Brampton--Chinguacousy Park/Brampton--Chinguacousy Park"," 605","Brampton",6,440,14,9,9,382,23,7,890,
35010,"Brampton--Chinguacousy Park/Brampton--Chinguacousy Park"," 606","Brampton",4,685,13,13,9,428,26,3,1181,
35010,"Brampton--Chinguacousy Park/Brampton--Chinguacousy Park"," 607","Brampton",5,535,3,5,1,437,23,4,1013,
35010,"Brampton--Chinguacousy Park/Brampton--Chinguacousy Park"," 608","Brampton",1,566,12,14,4,469,37,15,1118,
35010,"Brampton--Chinguacousy Park/Brampton--Chinguacousy Park"," 609","Brampton",3,516,20,11,6,504,35,16,1111,
35010,"Brampton--Chinguacousy Park/Brampton--Chinguacousy Park"," 610","Brampton",17,539,13,19,10,513,40,3,1154,
35010,"Brampton--Chinguacousy Park/Brampton--Chinguacousy Park"," 611","Brampton",2,632,29,18,3,552,35,7,1278,
35010,"Brampton--Chinguacousy Park/Brampton--Chinguacousy Park"," 612","Brampton",8,597,28,12,16,425,31,10,1127,
35010,"Brampton--Chinguacousy Park/Brampton--Chinguacousy Park"," 613","Brampton",5,325,10,10,3,331,19,13,716,
35010,"Brampton--Chinguacousy Park/Brampton--Chinguacousy Park"," 614","Brampton",3,416,23,9,4,355,31,6,847,
35010,"Brampton--Chinguacousy Park/Brampton--Chinguacousy Park",,Group 1/Groupe 1, 6,326,1,3,3,234,19,42,634,234
35010,"Brampton--Chinguacousy Park/Brampton--Chinguacousy Park",,Group 2/Groupe 2, 5,529,17,11,7,426,16,34,1045,
