Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Division Number/Numéro de section de vote,Polling Division Name/Nom de section de vote,Amir Badr Eldeen,Anju Dhillon,André Lavigne,Angélique Soleil Lavoie,Katy Le Rougetel,Michael Patterson,Pauline Fleur Julie Postel,Alioune Sarr,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24022,"Dorval--Lachine--LaSalle/Dorval--Lachine--LaSalle"," 45","Dorval",4,78,0,8,0,1,10,44,1,146,402
24022,"Dorval--Lachine--LaSalle/Dorval--Lachine--LaSalle"," 46","Montréal",2,103,2,5,0,1,12,33,2,160,433
24022,"Dorval--Lachine--LaSalle/Dorval--Lachine--LaSalle"," 47","Montréal",3,61,0,4,0,1,6,46,1,122,376
24022,"Dorval--Lachine--LaSalle/Dorval--Lachine--LaSalle"," 48","Montréal",1,95,0,6,0,2,12,43,0,159,424
24022,"Dorval--Lachine--LaSalle/Dorval--Lachine--LaSalle"," 49","Montréal",2,110,1,7,0,0,7,39,1,167,422
24022,"Dorval--Lachine--LaSalle/Dorval--Lachine--LaSalle"," 50","Montréal",2,131,0,5,0,3,11,42,1,195,453
24022,"Dorval--Lachine--LaSalle/Dorval--Lachine--LaSalle"," 51","Montréal",4,86,0,7,0,1,5,46,0,149,373
24022,"Dorval--Lachine--LaSalle/Dorval--Lachine--LaSalle"," 52","Montréal",4,84,0,9,0,1,8,44,1,151,330
24022,"Dorval--Lachine--LaSalle/Dorval--Lachine--LaSalle"," 53","Montréal",2,87,1,7,0,4,11,28,0,140,338
24022,"Dorval--Lachine--LaSalle/Dorval--Lachine--LaSalle"," 54","Montréal",3,100,1,5,1,0,10,18,2,140,359
24022,"Dorval--Lachine--LaSalle/Dorval--Lachine--LaSalle"," 55","Montréal",4,157,2,8,0,1,10,50,1,233,441
24022,"Dorval--Lachine--LaSalle/Dorval--Lachine--LaSalle"," 56","Montréal",3,67,1,11,1,2,35,35,4,159,328
24022,"Dorval--Lachine--LaSalle/Dorval--Lachine--LaSalle"," 57","Montréal",9,89,1,7,1,1,22,30,3,163,395
24022,"Dorval--Lachine--LaSalle/Dorval--Lachine--LaSalle"," 58","Montréal",0,55,1,10,0,0,19,33,1,119,326
24022,"Dorval--Lachine--LaSalle/Dorval--Lachine--LaSalle"," 59","Montréal",2,53,3,9,0,7,32,41,4,151,459
24022,"Dorval--Lachine--LaSalle/Dorval--Lachine--LaSalle"," 60","Montréal",3,93,0,8,1,1,27,68,3,204,517
24022,"Dorval--Lachine--LaSalle/Dorval--Lachine--LaSalle"," 61","Montréal",2,54,2,9,0,3,40,22,1,133,361
24022,"Dorval--Lachine--LaSalle/Dorval--Lachine--LaSalle"," 62","Montréal",2,53,0,7,0,0,30,29,5,126,343
24022,"Dorval--Lachine--LaSalle/Dorval--Lachine--LaSalle"," 63","Montréal",1,48,1,4,0,2,16,13,2,87,297
24022,"Dorval--Lachine--LaSalle/Dorval--Lachine--LaSalle"," 64","Montréal",2,50,0,5,0,2,23,24,2,108,330
24022,"Dorval--Lachine--LaSalle/Dorval--Lachine--LaSalle"," 65","Montréal",0,60,0,3,0,2,12,21,0,98,355
24022,"Dorval--Lachine--LaSalle/Dorval--Lachine--LaSalle"," 66","Montréal",1,68,1,2,1,3,9,19,2,106,361
24022,"Dorval--Lachine--LaSalle/Dorval--Lachine--LaSalle"," 67","Montréal",2,54,0,2,0,1,10,16,4,89,367
24022,"Dorval--Lachine--LaSalle/Dorval--Lachine--LaSalle"," 68","Montréal",3,77,3,12,0,3,33,44,2,177,432
24022,"Dorval--Lachine--LaSalle/Dorval--Lachine--LaSalle"," 69","Montréal",5,190,0,12,1,4,34,71,3,320,744
24022,"Dorval--Lachine--LaSalle/Dorval--Lachine--LaSalle"," 70","Montréal",1,65,0,11,1,4,18,31,4,135,400
24022,"Dorval--Lachine--LaSalle/Dorval--Lachine--LaSalle"," 71","Montréal",3,63,1,3,0,0,38,32,2,142,377
24022,"Dorval--Lachine--LaSalle/Dorval--Lachine--LaSalle"," 72","Montréal",2,64,1,6,0,1,28,17,0,119,333
24022,"Dorval--Lachine--LaSalle/Dorval--Lachine--LaSalle"," 73","Montréal",2,43,1,7,0,1,17,36,3,110,277
24022,"Dorval--Lachine--LaSalle/Dorval--Lachine--LaSalle"," 74","Montréal",0,18,0,3,0,0,13,7,1,42,191
24022,"Dorval--Lachine--LaSalle/Dorval--Lachine--LaSalle"," 75","Montréal",2,47,0,4,0,1,23,16,1,94,288
24022,"Dorval--Lachine--LaSalle/Dorval--Lachine--LaSalle"," 76","Montréal",4,62,2,8,0,0,36,27,0,139,414
24022,"Dorval--Lachine--LaSalle/Dorval--Lachine--LaSalle"," 77","Montréal",1,46,0,7,0,0,35,22,1,112,319
24022,"Dorval--Lachine--LaSalle/Dorval--Lachine--LaSalle"," 78","Montréal",3,59,0,5,0,1,13,28,2,111,329
24022,"Dorval--Lachine--LaSalle/Dorval--Lachine--LaSalle"," 79","Montréal",2,110,0,9,0,1,41,56,0,219,538
24022,"Dorval--Lachine--LaSalle/Dorval--Lachine--LaSalle"," 80","Montréal",2,103,1,8,1,3,29,42,0,189,389
24022,"Dorval--Lachine--LaSalle/Dorval--Lachine--LaSalle"," 81","Montréal",3,68,0,8,0,0,11,43,1,134,425
24022,"Dorval--Lachine--LaSalle/Dorval--Lachine--LaSalle"," 82","Montréal",3,47,1,1,0,2,15,20,0,89,298
24022,"Dorval--Lachine--LaSalle/Dorval--Lachine--LaSalle"," 83","Montréal",5,83,2,5,1,2,22,43,6,169,539
24022,"Dorval--Lachine--LaSalle/Dorval--Lachine--LaSalle"," 84","Montréal",5,94,4,8,2,3,10,32,2,160,410
24022,"Dorval--Lachine--LaSalle/Dorval--Lachine--LaSalle"," 85","Montréal",5,77,1,4,0,2,30,39,0,158,375
24022,"Dorval--Lachine--LaSalle/Dorval--Lachine--LaSalle"," 86","Montréal",4,104,2,11,1,1,11,14,0,148,360
24022,"Dorval--Lachine--LaSalle/Dorval--Lachine--LaSalle"," 87","Montréal",1,104,0,4,0,2,21,31,1,164,379
24022,"Dorval--Lachine--LaSalle/Dorval--Lachine--LaSalle"," 88","Montréal",4,93,2,3,1,0,10,40,0,153,388
24022,"Dorval--Lachine--LaSalle/Dorval--Lachine--LaSalle"," 89","Montréal",1,99,2,6,0,1,4,43,4,160,423
24022,"Dorval--Lachine--LaSalle/Dorval--Lachine--LaSalle"," 90","Montréal",0,87,0,6,0,1,9,22,0,125,328
24022,"Dorval--Lachine--LaSalle/Dorval--Lachine--LaSalle"," 91","Montréal",2,92,1,13,0,3,15,50,5,181,414
24022,"Dorval--Lachine--LaSalle/Dorval--Lachine--LaSalle"," 92","Montréal",5,128,0,6,0,2,9,36,7,193,395
24022,"Dorval--Lachine--LaSalle/Dorval--Lachine--LaSalle"," 93","Montréal",2,110,0,3,0,3,9,45,4,176,399
24022,"Dorval--Lachine--LaSalle/Dorval--Lachine--LaSalle"," 94","Montréal",3,98,0,11,0,0,9,18,5,144,411
24022,"Dorval--Lachine--LaSalle/Dorval--Lachine--LaSalle"," 95","Montréal",2,70,2,9,0,2,8,23,2,118,355
24022,"Dorval--Lachine--LaSalle/Dorval--Lachine--LaSalle"," 96","Montréal",3,74,0,4,0,0,4,34,1,120,381
