Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Division Number/Numéro de section de vote,Polling Division Name/Nom de section de vote,Guillaume Deschênes-Thériault,Nancy Mercier,Michel Morin,Daisy Petersen,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
13005,"Madawaska--Restigouche/Madawaska--Restigouche"," 607","Saint-Quentin",695,15,269,20,18,1017,
13005,"Madawaska--Restigouche/Madawaska--Restigouche"," 608","Kedgwick",569,9,144,10,7,739,
13005,"Madawaska--Restigouche/Madawaska--Restigouche"," 609","Saint-Jacques",462,3,164,7,5,641,
13005,"Madawaska--Restigouche/Madawaska--Restigouche"," 610","Saint-Jacques",618,11,307,24,9,969,
13005,"Madawaska--Restigouche/Madawaska--Restigouche"," 611","Clair",309,7,215,7,5,543,
13005,"Madawaska--Restigouche/Madawaska--Restigouche"," 612","Edmundston",425,8,235,16,4,688,
13005,"Madawaska--Restigouche/Madawaska--Restigouche"," 613","Edmundston",668,12,236,22,12,950,
13005,"Madawaska--Restigouche/Madawaska--Restigouche"," 614","St. Basile 10",Combined with No./Résultats combinés à ceux du n°612,,,,,,
13005,"Madawaska--Restigouche/Madawaska--Restigouche"," 615","Rivière-Verte",711,20,397,24,11,1163,
13005,"Madawaska--Restigouche/Madawaska--Restigouche"," 616","Saint-Léonard",430,22,412,31,16,911,
13005,"Madawaska--Restigouche/Madawaska--Restigouche"," 617","Drummond",523,16,691,25,11,1266,
13005,"Madawaska--Restigouche/Madawaska--Restigouche"," 618","Grand Falls",1028,30,799,42,11,1910,
13005,"Madawaska--Restigouche/Madawaska--Restigouche",,Group 1/Groupe 1, 217,7,108,10,17,359,62
13005,"Madawaska--Restigouche/Madawaska--Restigouche",,Group 2/Groupe 2, 2179,30,1047,63,40,3359,
