Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Division Number/Numéro de section de vote,Polling Division Name/Nom de section de vote,Iain Black,Lewis Clarke Dahlby,Laura Dupont,Michael Peter Glenister,Ron McKinnon,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
59008,"Coquitlam--Port Coquitlam/Coquitlam--Port Coquitlam"," 81B","Port Coquitlam",52,1,10,1,38,0,102,268
59008,"Coquitlam--Port Coquitlam/Coquitlam--Port Coquitlam"," 82","Port Coquitlam",57,3,15,1,37,1,114,402
59008,"Coquitlam--Port Coquitlam/Coquitlam--Port Coquitlam"," 83","Port Coquitlam",57,3,9,0,55,0,124,411
59008,"Coquitlam--Port Coquitlam/Coquitlam--Port Coquitlam"," 84","Port Coquitlam",87,2,23,6,86,4,208,496
59008,"Coquitlam--Port Coquitlam/Coquitlam--Port Coquitlam"," 85A","Coquitlam",47,0,6,0,27,0,80,285
59008,"Coquitlam--Port Coquitlam/Coquitlam--Port Coquitlam"," 85B","Coquitlam",28,1,10,0,26,0,65,239
59008,"Coquitlam--Port Coquitlam/Coquitlam--Port Coquitlam"," 86A","Port Coquitlam",40,2,8,0,31,0,81,332
59008,"Coquitlam--Port Coquitlam/Coquitlam--Port Coquitlam"," 86B","Port Coquitlam",42,3,10,0,26,0,81,247
59008,"Coquitlam--Port Coquitlam/Coquitlam--Port Coquitlam"," 87","Port Coquitlam",60,1,11,0,47,0,119,434
59008,"Coquitlam--Port Coquitlam/Coquitlam--Port Coquitlam"," 88","Port Coquitlam",73,1,19,1,52,2,148,425
59008,"Coquitlam--Port Coquitlam/Coquitlam--Port Coquitlam"," 89","Port Coquitlam",90,1,9,1,52,0,153,448
59008,"Coquitlam--Port Coquitlam/Coquitlam--Port Coquitlam"," 90","Port Coquitlam",53,2,8,0,68,0,131,456
59008,"Coquitlam--Port Coquitlam/Coquitlam--Port Coquitlam"," 91A","Port Coquitlam",32,1,14,6,30,0,83,330
59008,"Coquitlam--Port Coquitlam/Coquitlam--Port Coquitlam"," 91B","Port Coquitlam",36,1,4,3,28,0,72,267
59008,"Coquitlam--Port Coquitlam/Coquitlam--Port Coquitlam"," 92A","Port Coquitlam",38,3,2,1,24,0,68,292
59008,"Coquitlam--Port Coquitlam/Coquitlam--Port Coquitlam"," 92B","Port Coquitlam",17,0,4,1,32,0,54,226
59008,"Coquitlam--Port Coquitlam/Coquitlam--Port Coquitlam"," 93","Port Coquitlam",50,0,11,0,56,1,118,393
