Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Division Number/Numéro de section de vote,Polling Division Name/Nom de section de vote,Jeff Boudreault,Steve Charbonneau,Michelle Corcos,Zoé Larose,Jack McLeod,Louis Villeneuve,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24014,"Brome--Missisquoi/Brome--Missisquoi"," 208","Dunham",45,44,8,4,0,48,1,150,442
24014,"Brome--Missisquoi/Brome--Missisquoi"," 209","Dunham",30,44,4,6,0,40,0,124,381
24014,"Brome--Missisquoi/Brome--Missisquoi"," 210","Dunham",32,33,3,2,0,46,0,116,279
24014,"Brome--Missisquoi/Brome--Missisquoi"," 211","Dunham",47,20,1,1,0,50,3,122,335
24014,"Brome--Missisquoi/Brome--Missisquoi"," 212","Sutton",31,23,4,7,1,92,0,158,475
24014,"Brome--Missisquoi/Brome--Missisquoi"," 213","Sutton",14,37,5,2,0,48,1,107,387
24014,"Brome--Missisquoi/Brome--Missisquoi"," 214","Sutton",42,15,6,2,2,61,0,128,345
24014,"Brome--Missisquoi/Brome--Missisquoi"," 215","Sutton",39,22,8,7,0,58,2,136,365
24014,"Brome--Missisquoi/Brome--Missisquoi"," 216","Notre-Dame-de-Stanbridge",65,48,11,4,0,49,0,177,266
24014,"Brome--Missisquoi/Brome--Missisquoi"," 217","Notre-Dame-de-Stanbridge",64,54,1,1,2,81,0,203,285
24014,"Brome--Missisquoi/Brome--Missisquoi"," 218","Stanbridge East",44,59,6,14,2,104,2,231,363
24014,"Brome--Missisquoi/Brome--Missisquoi"," 219","Stanbridge East",29,77,6,6,3,111,1,233,368
24014,"Brome--Missisquoi/Brome--Missisquoi"," 220","Saint-Sébastien",51,46,3,3,1,64,7,175,268
24014,"Brome--Missisquoi/Brome--Missisquoi"," 221","Saint-Sébastien",62,54,0,4,0,43,6,169,277
24014,"Brome--Missisquoi/Brome--Missisquoi"," 222","Bedford",29,28,2,2,0,54,0,115,297
24014,"Brome--Missisquoi/Brome--Missisquoi"," 223","Bedford",50,39,4,1,0,61,2,157,398
24014,"Brome--Missisquoi/Brome--Missisquoi"," 224","Bedford",32,35,3,3,1,45,2,121,432
24014,"Brome--Missisquoi/Brome--Missisquoi"," 225","Bedford",30,27,4,4,0,44,2,111,266
24014,"Brome--Missisquoi/Brome--Missisquoi"," 226","Bedford",40,34,5,4,1,50,2,136,363
24014,"Brome--Missisquoi/Brome--Missisquoi"," 227","Bedford",35,39,1,7,0,38,0,120,355
24014,"Brome--Missisquoi/Brome--Missisquoi"," 228","Bedford",56,34,4,5,1,53,3,156,400
24014,"Brome--Missisquoi/Brome--Missisquoi"," 229","Bedford",19,49,4,2,1,53,2,130,320
24014,"Brome--Missisquoi/Brome--Missisquoi"," 230","Abercorn",36,32,3,4,1,96,3,175,307
24014,"Brome--Missisquoi/Brome--Missisquoi"," 231","Stanbridge Station",52,30,3,3,1,55,2,146,238
24014,"Brome--Missisquoi/Brome--Missisquoi"," 232","Saint-Pierre-de-Véronne-à-Pike-River",82,81,4,4,2,88,1,262,439
24014,"Brome--Missisquoi/Brome--Missisquoi"," 233","Henryville",92,76,1,2,0,41,3,215,406
24014,"Brome--Missisquoi/Brome--Missisquoi"," 234","Henryville",80,53,4,4,1,63,11,216,393
24014,"Brome--Missisquoi/Brome--Missisquoi"," 235","Henryville",71,69,2,6,1,54,1,204,441
