Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Division Number/Numéro de section de vote,Polling Division Name/Nom de section de vote,Réal Batrhino Martel,Nataël Bureau,Philippe D'Arcangeli,Henri Donascimento,Daniel Lebel,Éric Lefebvre,Alain Saint-Pierre,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24061,"Richmond--Arthabaska/Richmond--Arthabaska"," 140","Tingwick",4,4,3,2,50,84,48,7,202,359
24061,"Richmond--Arthabaska/Richmond--Arthabaska"," 141","Tingwick",0,2,6,0,61,62,31,1,163,329
24061,"Richmond--Arthabaska/Richmond--Arthabaska"," 142","Saint-Adrien",6,11,9,0,99,88,66,5,284,446
24061,"Richmond--Arthabaska/Richmond--Arthabaska"," 143","Sainte-Séraphine",2,3,3,1,37,102,37,5,190,328
24061,"Richmond--Arthabaska/Richmond--Arthabaska"," 144","Ham-Sud",6,13,4,0,88,41,59,5,216,336
24061,"Richmond--Arthabaska/Richmond--Arthabaska"," 145","Kingsey Falls",0,4,0,0,45,67,29,1,146,257
24061,"Richmond--Arthabaska/Richmond--Arthabaska"," 146","Kingsey Falls",1,4,3,0,54,78,64,2,206,354
24061,"Richmond--Arthabaska/Richmond--Arthabaska"," 147","Kingsey Falls",1,6,1,0,64,75,85,2,234,373
24061,"Richmond--Arthabaska/Richmond--Arthabaska"," 148","Kingsey Falls",1,5,0,2,39,62,70,2,181,311
24061,"Richmond--Arthabaska/Richmond--Arthabaska"," 149","Kingsey Falls",1,4,3,0,38,60,42,4,152,274
24061,"Richmond--Arthabaska/Richmond--Arthabaska"," 150","Val-des-Sources",2,2,5,0,56,50,38,2,155,305
24061,"Richmond--Arthabaska/Richmond--Arthabaska"," 151","Val-des-Sources",1,0,4,0,30,57,44,3,139,300
24061,"Richmond--Arthabaska/Richmond--Arthabaska"," 152","Wotton",0,3,4,1,69,62,50,4,193,356
24061,"Richmond--Arthabaska/Richmond--Arthabaska"," 153","Wotton",2,2,4,0,80,65,44,6,203,433
24061,"Richmond--Arthabaska/Richmond--Arthabaska"," 154","Wotton",0,2,2,2,66,61,74,4,211,396
24061,"Richmond--Arthabaska/Richmond--Arthabaska"," 155","Val-des-Sources",1,1,3,0,69,68,41,4,187,463
24061,"Richmond--Arthabaska/Richmond--Arthabaska"," 156","Asbestos",1,2,2,0,49,44,29,3,130,464
24061,"Richmond--Arthabaska/Richmond--Arthabaska"," 157","Val-des-Sources",0,6,3,0,49,36,60,3,157,370
24061,"Richmond--Arthabaska/Richmond--Arthabaska"," 158","Asbestos",1,4,0,0,36,34,26,2,103,357
24061,"Richmond--Arthabaska/Richmond--Arthabaska"," 159","Danville",0,7,1,0,56,83,33,2,182,479
24061,"Richmond--Arthabaska/Richmond--Arthabaska"," 160","Val-des-Sources",1,3,0,2,53,50,36,5,150,436
24061,"Richmond--Arthabaska/Richmond--Arthabaska"," 161A","Asbestos",1,3,0,1,39,42,53,4,143,466
24061,"Richmond--Arthabaska/Richmond--Arthabaska"," 161B","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°522,,,,,,,,,35
24061,"Richmond--Arthabaska/Richmond--Arthabaska"," 162","Asbestos",0,5,4,1,32,53,36,0,131,357
24061,"Richmond--Arthabaska/Richmond--Arthabaska"," 163","Asbestos",1,1,2,0,39,59,46,2,150,461
24061,"Richmond--Arthabaska/Richmond--Arthabaska"," 164","Asbestos",1,4,0,0,26,50,37,4,122,473
24061,"Richmond--Arthabaska/Richmond--Arthabaska"," 165","Asbestos",3,2,3,2,20,41,37,4,112,419
24061,"Richmond--Arthabaska/Richmond--Arthabaska"," 166","Val-des-Sources",1,5,2,2,25,35,23,2,95,371
24061,"Richmond--Arthabaska/Richmond--Arthabaska"," 167","Danville",2,1,2,0,37,48,40,0,130,328
24061,"Richmond--Arthabaska/Richmond--Arthabaska"," 168","Danville",0,0,1,0,47,49,49,3,149,329
24061,"Richmond--Arthabaska/Richmond--Arthabaska"," 169","Danville",1,6,4,1,65,53,67,4,201,370
24061,"Richmond--Arthabaska/Richmond--Arthabaska"," 170","Danville",0,5,4,1,70,77,55,4,216,478
