Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Division Number/Numéro de section de vote,Polling Division Name/Nom de section de vote,Gérard Briand,Bart Cortenbach,Caroline Desbiens,Gabriel Hardy,Alex Ouellet-Bélanger,Élie Prud'Homme-Tessier,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24051,"Montmorency--Charlevoix/Montmorency--Charlevoix"," 172","Boischatel",1,1,57,60,50,4,0,173,393
24051,"Montmorency--Charlevoix/Montmorency--Charlevoix"," 173","Québec",3,0,31,82,42,2,0,160,430
24051,"Montmorency--Charlevoix/Montmorency--Charlevoix"," 174","Québec",3,3,35,51,25,2,1,120,372
24051,"Montmorency--Charlevoix/Montmorency--Charlevoix"," 175","Québec",3,3,30,127,41,1,0,205,401
24051,"Montmorency--Charlevoix/Montmorency--Charlevoix"," 176","Québec",5,0,46,86,41,2,2,182,424
24051,"Montmorency--Charlevoix/Montmorency--Charlevoix"," 177","Québec",0,0,34,49,44,1,4,132,313
24051,"Montmorency--Charlevoix/Montmorency--Charlevoix"," 178","Québec",1,1,51,88,49,2,0,192,518
24051,"Montmorency--Charlevoix/Montmorency--Charlevoix"," 179","Québec",2,1,63,60,68,1,0,195,430
24051,"Montmorency--Charlevoix/Montmorency--Charlevoix"," 180","Québec",7,1,26,52,44,1,2,133,464
24051,"Montmorency--Charlevoix/Montmorency--Charlevoix"," 181","Québec",3,1,35,66,56,0,1,162,408
24051,"Montmorency--Charlevoix/Montmorency--Charlevoix"," 182","Lac-Beauport",0,1,55,52,66,4,0,178,409
24051,"Montmorency--Charlevoix/Montmorency--Charlevoix"," 183","Lac-Beauport",6,0,28,109,59,5,1,208,465
24051,"Montmorency--Charlevoix/Montmorency--Charlevoix"," 184","Saint-Laurent-de-l'Île-d'Orléans",6,4,85,89,58,2,0,244,451
24051,"Montmorency--Charlevoix/Montmorency--Charlevoix"," 185","Saint-Laurent-de-l'Île-d'Orléans",4,2,59,68,78,0,2,213,453
24051,"Montmorency--Charlevoix/Montmorency--Charlevoix"," 186","Saint-Laurent-de-l'Île-d'Orléans",5,2,69,98,48,1,4,227,468
24051,"Montmorency--Charlevoix/Montmorency--Charlevoix"," 187","Québec",3,1,60,86,35,8,6,199,517
24051,"Montmorency--Charlevoix/Montmorency--Charlevoix"," 188","Québec",2,1,34,65,22,2,0,126,396
24051,"Montmorency--Charlevoix/Montmorency--Charlevoix"," 189","Québec",7,2,50,119,62,1,2,243,534
24051,"Montmorency--Charlevoix/Montmorency--Charlevoix"," 190","Québec",5,0,45,92,35,1,3,181,440
24051,"Montmorency--Charlevoix/Montmorency--Charlevoix"," 191","Québec",4,1,42,90,38,2,2,179,431
24051,"Montmorency--Charlevoix/Montmorency--Charlevoix"," 192","Québec",2,1,52,84,48,0,2,189,385
24051,"Montmorency--Charlevoix/Montmorency--Charlevoix"," 193","Québec",7,0,25,55,37,1,4,129,396
24051,"Montmorency--Charlevoix/Montmorency--Charlevoix"," 194","Québec",1,1,45,60,41,3,4,155,376
24051,"Montmorency--Charlevoix/Montmorency--Charlevoix"," 195","Québec",6,3,56,77,36,1,4,183,414
24051,"Montmorency--Charlevoix/Montmorency--Charlevoix"," 196","Québec",3,0,39,51,37,2,3,135,348
24051,"Montmorency--Charlevoix/Montmorency--Charlevoix"," 197","Québec",0,0,42,74,58,2,0,176,448
24051,"Montmorency--Charlevoix/Montmorency--Charlevoix"," 198","Québec",2,0,34,61,37,1,0,135,399
24051,"Montmorency--Charlevoix/Montmorency--Charlevoix"," 199","Québec",5,2,38,73,41,4,0,163,443
24051,"Montmorency--Charlevoix/Montmorency--Charlevoix"," 200","Québec",6,0,53,130,54,2,6,251,515
24051,"Montmorency--Charlevoix/Montmorency--Charlevoix"," 201","Québec",4,3,50,69,43,4,1,174,402
24051,"Montmorency--Charlevoix/Montmorency--Charlevoix"," 202","Québec",1,1,37,97,70,2,3,211,536
24051,"Montmorency--Charlevoix/Montmorency--Charlevoix"," 203","Québec",3,3,46,108,58,3,0,221,395
24051,"Montmorency--Charlevoix/Montmorency--Charlevoix"," 204","Québec",0,1,51,67,38,2,1,160,376
24051,"Montmorency--Charlevoix/Montmorency--Charlevoix"," 205","Québec",8,0,58,85,42,1,3,197,469
24051,"Montmorency--Charlevoix/Montmorency--Charlevoix"," 206","Québec",4,0,47,76,31,1,1,160,390
24051,"Montmorency--Charlevoix/Montmorency--Charlevoix"," 207","Québec",3,4,46,75,33,3,5,169,343
24051,"Montmorency--Charlevoix/Montmorency--Charlevoix"," 208","Québec",5,2,58,104,61,2,2,234,493
24051,"Montmorency--Charlevoix/Montmorency--Charlevoix"," 209","Québec",5,0,54,110,80,5,2,256,550
