Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Division Number/Numéro de section de vote,Polling Division Name/Nom de section de vote,Wayne Baker,Kevin Kruchkywich,David Mackey,John Nater,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35085,"Perth--Wellington/Perth--Wellington"," 100","West Perth",3,12,62,113,0,190,510
35085,"Perth--Wellington/Perth--Wellington"," 101","West Perth",6,6,43,100,0,155,423
35085,"Perth--Wellington/Perth--Wellington"," 102","Perth East",4,2,31,74,1,112,395
35085,"Perth--Wellington/Perth--Wellington"," 103","Stratford",0,7,77,43,0,127,558
35085,"Perth--Wellington/Perth--Wellington"," 104","Stratford",3,7,106,90,0,206,513
35085,"Perth--Wellington/Perth--Wellington"," 105","Stratford",7,19,99,108,2,235,565
35085,"Perth--Wellington/Perth--Wellington"," 106","Stratford",7,14,80,118,2,221,546
35085,"Perth--Wellington/Perth--Wellington"," 107","Perth East",6,5,50,140,0,201,391
35085,"Perth--Wellington/Perth--Wellington"," 108","Perth East",11,8,36,95,0,150,271
35085,"Perth--Wellington/Perth--Wellington"," 109","Perth East",7,12,93,173,0,285,589
35085,"Perth--Wellington/Perth--Wellington"," 110","West Perth",1,12,33,122,0,168,416
35085,"Perth--Wellington/Perth--Wellington"," 111","Sebringville",5,16,96,177,2,296,492
35085,"Perth--Wellington/Perth--Wellington"," 112","Perth East",4,11,64,102,0,181,494
35085,"Perth--Wellington/Perth--Wellington"," 113","Stratford",2,10,49,45,3,109,335
35085,"Perth--Wellington/Perth--Wellington"," 114","Perth East",0,4,68,55,0,127,500
35085,"Perth--Wellington/Perth--Wellington"," 115","Stratford",2,20,67,73,2,164,515
35085,"Perth--Wellington/Perth--Wellington"," 116","Stratford",5,13,96,106,0,220,540
35085,"Perth--Wellington/Perth--Wellington"," 117","Stratford",2,10,95,80,1,188,535
35085,"Perth--Wellington/Perth--Wellington"," 118","Stratford",1,11,85,57,0,154,550
35085,"Perth--Wellington/Perth--Wellington"," 119","Stratford",4,10,107,78,0,199,553
35085,"Perth--Wellington/Perth--Wellington"," 120","Stratford",0,7,111,74,0,192,502
35085,"Perth--Wellington/Perth--Wellington"," 121","Stratford",1,8,84,84,0,177,530
35085,"Perth--Wellington/Perth--Wellington"," 122","Stratford",4,9,84,81,2,180,561
35085,"Perth--Wellington/Perth--Wellington"," 123","Stratford",1,9,72,61,1,144,507
35085,"Perth--Wellington/Perth--Wellington"," 124","Dublin",4,12,42,142,0,200,377
