Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Division Number/Numéro de section de vote,Polling Division Name/Nom de section de vote,Lux Burgess,Connie Cody,Manuel Couto,José de Lima,Bryan May,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35019,"Cambridge/Cambridge"," 402B","Cambridge",Combined with No./Résultats combinés à ceux du n°61B,,,,,,,62
35019,"Cambridge/Cambridge"," 402C","Cambridge",Combined with No./Résultats combinés à ceux du n°61C,,,,,,,74
35019,"Cambridge/Cambridge"," 403A","Cambridge",Combined with No./Résultats combinés à ceux du n°102A,,,,,,,121
35019,"Cambridge/Cambridge"," 403B","Cambridge",Combined with No./Résultats combinés à ceux du n°102B,,,,,,,98
35019,"Cambridge/Cambridge"," 404A","Cambridge",Combined with No./Résultats combinés à ceux du n°102A,,,,,,,81
35019,"Cambridge/Cambridge"," 404B","Cambridge",Combined with No./Résultats combinés à ceux du n°102B,,,,,,,65
35019,"Cambridge/Cambridge"," 500","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°506,,,,,,,32
35019,"Cambridge/Cambridge"," 501","Mobile poll/Bureau itinérant",5,40,1,10,83,4,143,172
35019,"Cambridge/Cambridge"," 502","Mobile poll/Bureau itinérant",7,33,3,4,69,7,123,103
35019,"Cambridge/Cambridge"," 503","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°505,,,,,,,36
35019,"Cambridge/Cambridge"," 504","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°501,,,,,,,17
35019,"Cambridge/Cambridge"," 505","Mobile poll/Bureau itinérant",2,32,0,2,46,5,87,77
35019,"Cambridge/Cambridge"," 506","Mobile poll/Bureau itinérant",2,19,0,6,47,1,75,60
35019,"Cambridge/Cambridge"," 507","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°502,,,,,,,120
35019,"Cambridge/Cambridge"," 508","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°509,,,,,,,61
35019,"Cambridge/Cambridge"," 509","Mobile poll/Bureau itinérant",2,29,1,6,34,2,74,63
35019,"Cambridge/Cambridge"," 600","Cambridge",20,432,0,34,410,2,898,
35019,"Cambridge/Cambridge"," 601","Cambridge",10,513,2,23,641,0,1189,
35019,"Cambridge/Cambridge"," 602","Cambridge",6,356,1,22,618,4,1007,
35019,"Cambridge/Cambridge"," 603","Cambridge",11,431,3,47,568,1,1061,
35019,"Cambridge/Cambridge"," 604","Cambridge",11,461,1,35,508,4,1020,
35019,"Cambridge/Cambridge"," 605","Cambridge",11,384,2,24,408,2,831,
35019,"Cambridge/Cambridge"," 606","North Dumfries",4,496,2,11,386,11,910,
35019,"Cambridge/Cambridge"," 607","Cambridge",9,445,2,30,382,9,877,
35019,"Cambridge/Cambridge"," 608","North Dumfries",14,458,1,23,544,2,1042,
35019,"Cambridge/Cambridge"," 609","Cambridge",15,462,2,30,592,5,1106,
35019,"Cambridge/Cambridge"," 610","Cambridge",22,379,0,27,464,10,902,
35019,"Cambridge/Cambridge"," 611","Cambridge",19,581,3,58,670,7,1338,
35019,"Cambridge/Cambridge"," 612","Cambridge",13,447,1,36,535,2,1034,
35019,"Cambridge/Cambridge"," 613","North Dumfries",17,500,0,24,449,2,992,
35019,"Cambridge/Cambridge"," 614","Cambridge",14,542,1,20,777,1,1355,
35019,"Cambridge/Cambridge"," 615","Cambridge",12,520,1,32,751,6,1322,
35019,"Cambridge/Cambridge"," 616","Cambridge",20,611,4,39,762,10,1446,
35019,"Cambridge/Cambridge"," 617","Cambridge",33,507,1,13,585,7,1146,
35019,"Cambridge/Cambridge"," 618","North Dumfries",2,463,0,13,350,0,828,
35019,"Cambridge/Cambridge"," 619","North Dumfries",22,970,1,33,957,5,1988,
35019,"Cambridge/Cambridge",,Group 1/Groupe 1, 8,172,0,12,275,35,502,284
35019,"Cambridge/Cambridge",,Group 2/Groupe 2, 48,1756,4,86,2109,91,4094,
