Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Division Number/Numéro de section de vote,Polling Division Name/Nom de section de vote,Isabel Dion,Angelo Iacono,Louis Ialenti,Jordan Larochelle,Ludovic Mbany,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24004,"Alfred-Pellan/Alfred-Pellan"," 123","Laval",46,105,42,7,2,3,205,446
24004,"Alfred-Pellan/Alfred-Pellan"," 124","Laval",50,110,47,6,0,4,217,434
24004,"Alfred-Pellan/Alfred-Pellan"," 125","Laval",22,84,42,4,2,8,162,405
24004,"Alfred-Pellan/Alfred-Pellan"," 126","Laval",40,93,37,9,1,2,182,352
24004,"Alfred-Pellan/Alfred-Pellan"," 127","Laval",20,68,40,10,1,1,140,363
24004,"Alfred-Pellan/Alfred-Pellan"," 128","Laval",22,58,37,5,0,0,122,373
24004,"Alfred-Pellan/Alfred-Pellan"," 129","Laval",22,67,35,4,1,0,129,334
24004,"Alfred-Pellan/Alfred-Pellan"," 130","Laval",10,98,56,4,1,3,172,369
24004,"Alfred-Pellan/Alfred-Pellan"," 131","Laval",35,53,37,2,1,1,129,370
24004,"Alfred-Pellan/Alfred-Pellan"," 132","Laval",30,87,46,1,1,0,165,313
24004,"Alfred-Pellan/Alfred-Pellan"," 133","Laval",14,65,47,5,1,4,136,360
24004,"Alfred-Pellan/Alfred-Pellan"," 134","Laval",23,97,38,2,0,5,165,375
24004,"Alfred-Pellan/Alfred-Pellan"," 135","Laval",15,100,62,5,1,2,185,379
24004,"Alfred-Pellan/Alfred-Pellan"," 136","Laval",42,111,46,8,0,3,210,451
24004,"Alfred-Pellan/Alfred-Pellan"," 137","Laval",31,62,25,11,2,3,134,381
24004,"Alfred-Pellan/Alfred-Pellan"," 138","Laval",32,79,29,8,1,0,149,376
24004,"Alfred-Pellan/Alfred-Pellan"," 139","Laval",37,99,40,1,2,2,181,398
24004,"Alfred-Pellan/Alfred-Pellan"," 140","Laval",42,74,47,6,1,7,177,426
24004,"Alfred-Pellan/Alfred-Pellan"," 141","Laval",28,64,39,1,3,8,143,336
24004,"Alfred-Pellan/Alfred-Pellan"," 142","Laval",33,66,24,8,2,2,135,352
24004,"Alfred-Pellan/Alfred-Pellan"," 143","Laval",10,78,37,2,1,0,128,318
24004,"Alfred-Pellan/Alfred-Pellan"," 144","Laval",21,115,52,5,0,3,196,440
24004,"Alfred-Pellan/Alfred-Pellan"," 145","Laval",18,94,58,2,1,5,178,402
24004,"Alfred-Pellan/Alfred-Pellan"," 146","Laval",32,59,36,2,0,2,131,318
24004,"Alfred-Pellan/Alfred-Pellan"," 147","Laval",21,93,41,7,1,4,167,393
24004,"Alfred-Pellan/Alfred-Pellan"," 148","Laval",21,117,55,5,1,1,200,448
24004,"Alfred-Pellan/Alfred-Pellan"," 149","Laval",48,113,32,10,0,3,206,453
24004,"Alfred-Pellan/Alfred-Pellan"," 150","Laval",50,94,50,14,3,1,212,409
24004,"Alfred-Pellan/Alfred-Pellan"," 151","Laval",22,101,38,11,1,1,174,397
24004,"Alfred-Pellan/Alfred-Pellan"," 152","Laval",26,102,48,7,0,1,184,461
24004,"Alfred-Pellan/Alfred-Pellan"," 153","Laval",18,88,38,9,0,1,154,389
24004,"Alfred-Pellan/Alfred-Pellan"," 154","Laval",32,79,38,10,1,1,161,429
24004,"Alfred-Pellan/Alfred-Pellan"," 155","Laval",18,114,59,13,0,1,205,403
24004,"Alfred-Pellan/Alfred-Pellan"," 156","Laval",42,97,39,11,0,4,193,431
24004,"Alfred-Pellan/Alfred-Pellan"," 157","Laval",13,100,44,8,2,2,169,388
24004,"Alfred-Pellan/Alfred-Pellan"," 158","Laval",38,85,64,9,0,4,200,459
24004,"Alfred-Pellan/Alfred-Pellan"," 159","Laval",41,86,35,11,0,3,176,407
24004,"Alfred-Pellan/Alfred-Pellan"," 160","Laval",43,119,40,10,1,2,215,470
24004,"Alfred-Pellan/Alfred-Pellan"," 161","Laval",34,85,34,3,0,7,163,419
24004,"Alfred-Pellan/Alfred-Pellan"," 162","Laval",31,85,27,4,1,3,151,358
24004,"Alfred-Pellan/Alfred-Pellan"," 163","Laval",26,82,57,10,1,2,178,446
24004,"Alfred-Pellan/Alfred-Pellan"," 164","Laval",42,91,28,7,3,1,172,370
24004,"Alfred-Pellan/Alfred-Pellan"," 165","Laval",25,130,36,11,6,3,211,437
24004,"Alfred-Pellan/Alfred-Pellan"," 166","Laval",48,107,37,11,1,3,207,427
24004,"Alfred-Pellan/Alfred-Pellan"," 167","Laval",43,92,50,9,2,3,199,357
24004,"Alfred-Pellan/Alfred-Pellan"," 168","Laval",39,105,40,5,2,5,196,372
24004,"Alfred-Pellan/Alfred-Pellan"," 169","Laval",32,144,31,8,2,2,219,381
24004,"Alfred-Pellan/Alfred-Pellan"," 170","Laval",38,88,26,7,2,1,162,330
24004,"Alfred-Pellan/Alfred-Pellan"," 171","Laval",24,81,56,3,1,1,166,381
24004,"Alfred-Pellan/Alfred-Pellan"," 172","Laval",33,94,39,16,4,3,189,520
24004,"Alfred-Pellan/Alfred-Pellan"," 173","Laval",56,65,35,11,3,2,172,423
24004,"Alfred-Pellan/Alfred-Pellan"," 174","Laval",45,110,42,12,0,1,210,399
24004,"Alfred-Pellan/Alfred-Pellan"," 175","Laval",29,64,26,10,1,1,131,326
24004,"Alfred-Pellan/Alfred-Pellan"," 176","Laval",48,96,38,12,3,6,203,429
24004,"Alfred-Pellan/Alfred-Pellan"," 177","Laval",23,88,42,3,0,4,160,412
24004,"Alfred-Pellan/Alfred-Pellan"," 178","Laval",75,108,30,16,1,0,230,459
24004,"Alfred-Pellan/Alfred-Pellan"," 179A","Laval",8,30,2,1,0,0,41,147
24004,"Alfred-Pellan/Alfred-Pellan"," 179B","Laval",24,66,4,1,1,6,102,131
24004,"Alfred-Pellan/Alfred-Pellan"," 179C","Laval",28,54,17,1,0,2,102,118
24004,"Alfred-Pellan/Alfred-Pellan"," 180","Laval",45,107,43,5,3,1,204,445
24004,"Alfred-Pellan/Alfred-Pellan"," 181","Laval",22,61,23,10,4,1,121,359
24004,"Alfred-Pellan/Alfred-Pellan"," 182","Laval",61,101,27,8,0,4,201,400
24004,"Alfred-Pellan/Alfred-Pellan"," 183","Laval",33,87,28,8,2,1,159,407
24004,"Alfred-Pellan/Alfred-Pellan"," 184","Laval",72,102,30,5,1,1,211,393
24004,"Alfred-Pellan/Alfred-Pellan"," 185","Laval",64,103,19,5,1,2,194,394
24004,"Alfred-Pellan/Alfred-Pellan"," 186","Laval",24,62,32,6,4,4,132,408
24004,"Alfred-Pellan/Alfred-Pellan"," 187","Laval",33,96,41,13,3,5,191,569
24004,"Alfred-Pellan/Alfred-Pellan"," 188","Laval",28,78,36,5,4,4,155,417
24004,"Alfred-Pellan/Alfred-Pellan"," 189","Laval",33,62,29,4,0,1,129,361
24004,"Alfred-Pellan/Alfred-Pellan"," 190","Laval",13,59,18,5,0,0,95,313
24004,"Alfred-Pellan/Alfred-Pellan"," 191","Laval",35,76,22,14,2,3,152,356
24004,"Alfred-Pellan/Alfred-Pellan"," 192","Laval",38,50,16,6,0,3,113,338
24004,"Alfred-Pellan/Alfred-Pellan"," 193","Laval",14,50,29,12,1,3,109,355
24004,"Alfred-Pellan/Alfred-Pellan"," 194","Laval",28,56,29,19,3,2,137,378
24004,"Alfred-Pellan/Alfred-Pellan"," 195","Laval",29,68,24,7,0,8,136,473
24004,"Alfred-Pellan/Alfred-Pellan"," 196","Laval",44,71,16,10,1,1,143,395
24004,"Alfred-Pellan/Alfred-Pellan"," 197","Laval",40,68,20,14,1,4,147,440
24004,"Alfred-Pellan/Alfred-Pellan"," 198A","Laval",Combined with No./Résultats combinés à ceux du n°201,,,,,,,269
24004,"Alfred-Pellan/Alfred-Pellan"," 198B","Laval",Combined with No./Résultats combinés à ceux du n°403,,,,,,,160
24004,"Alfred-Pellan/Alfred-Pellan"," 199","Laval",22,49,26,11,1,4,113,336
24004,"Alfred-Pellan/Alfred-Pellan"," 200","Laval",26,37,34,7,2,6,112,424
24004,"Alfred-Pellan/Alfred-Pellan"," 201","Laval",97,165,49,23,1,2,337,315
24004,"Alfred-Pellan/Alfred-Pellan"," 202","Laval",Combined with No./Résultats combinés à ceux du n°403,,,,,,,252
