Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Division Number/Numéro de section de vote,Polling Division Name/Nom de section de vote,Elvin Kao,Michael Ma,Sameer Qureshi,Peter Yuen,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35058,"Markham--Unionville/Markham--Unionville"," 128","Markham",3,118,1,94,0,216,529
35058,"Markham--Unionville/Markham--Unionville"," 129","Markham",5,99,1,99,0,204,530
35058,"Markham--Unionville/Markham--Unionville"," 130","Markham",1,84,4,73,3,165,544
35058,"Markham--Unionville/Markham--Unionville"," 131","Markham",0,109,5,104,3,221,475
35058,"Markham--Unionville/Markham--Unionville"," 132","Markham",3,94,1,81,0,179,368
35058,"Markham--Unionville/Markham--Unionville"," 133","Markham",1,62,2,83,1,149,325
35058,"Markham--Unionville/Markham--Unionville"," 134","Markham",3,78,1,74,0,156,342
35058,"Markham--Unionville/Markham--Unionville"," 135","Markham",0,88,1,91,1,181,427
35058,"Markham--Unionville/Markham--Unionville"," 136","Markham",0,45,1,62,0,108,333
35058,"Markham--Unionville/Markham--Unionville"," 137","Markham",2,73,0,40,3,118,438
35058,"Markham--Unionville/Markham--Unionville"," 138","Markham",3,64,2,53,0,122,390
35058,"Markham--Unionville/Markham--Unionville"," 139","Markham",0,103,5,90,3,201,458
35058,"Markham--Unionville/Markham--Unionville"," 140A","Markham",4,94,3,64,1,166,346
35058,"Markham--Unionville/Markham--Unionville"," 140B","Markham",3,53,4,58,4,122,289
35058,"Markham--Unionville/Markham--Unionville"," 141","Markham",0,92,2,66,1,161,497
35058,"Markham--Unionville/Markham--Unionville"," 142","Markham",0,65,1,70,0,136,353
35058,"Markham--Unionville/Markham--Unionville"," 143","Markham",2,114,5,65,0,186,505
35058,"Markham--Unionville/Markham--Unionville"," 144A","Markham",Combined with No./Résultats combinés à ceux du n°142,,,,,,95
35058,"Markham--Unionville/Markham--Unionville"," 144B","Markham",0,86,5,65,0,156,264
35058,"Markham--Unionville/Markham--Unionville"," 145","Markham",1,61,1,65,1,129,456
35058,"Markham--Unionville/Markham--Unionville"," 146","Markham",1,100,4,75,0,180,563
35058,"Markham--Unionville/Markham--Unionville"," 147","Markham",2,74,2,72,0,150,523
35058,"Markham--Unionville/Markham--Unionville"," 148","Markham",2,64,3,67,0,136,384
35058,"Markham--Unionville/Markham--Unionville"," 149A","Markham",1,61,1,43,0,106,347
35058,"Markham--Unionville/Markham--Unionville"," 149B","Markham",3,84,2,45,0,134,456
35058,"Markham--Unionville/Markham--Unionville"," 150","Markham",2,64,1,42,1,110,335
35058,"Markham--Unionville/Markham--Unionville"," 151A","Markham",0,38,1,24,0,63,320
35058,"Markham--Unionville/Markham--Unionville"," 151B","Markham",Combined with No./Résultats combinés à ceux du n°410,,,,,,145
35058,"Markham--Unionville/Markham--Unionville"," 152","Markham",3,89,2,75,0,169,397
35058,"Markham--Unionville/Markham--Unionville"," 153","Markham",3,56,1,84,0,144,408
35058,"Markham--Unionville/Markham--Unionville"," 154","Markham",2,73,2,84,0,161,351
35058,"Markham--Unionville/Markham--Unionville"," 155","Markham",2,98,2,81,5,188,348
35058,"Markham--Unionville/Markham--Unionville"," 156","Markham",1,71,1,64,0,137,338
35058,"Markham--Unionville/Markham--Unionville"," 157","Markham",4,89,2,71,0,166,465
35058,"Markham--Unionville/Markham--Unionville"," 158","Markham",2,68,1,72,0,143,378
35058,"Markham--Unionville/Markham--Unionville"," 159","Markham",3,94,3,59,1,160,522
35058,"Markham--Unionville/Markham--Unionville"," 160","Markham",2,71,5,49,0,127,391
35058,"Markham--Unionville/Markham--Unionville"," 161","Markham",5,78,3,59,2,147,446
35058,"Markham--Unionville/Markham--Unionville"," 162A","Markham",Combined with No./Résultats combinés à ceux du n°150,,,,,,1
35058,"Markham--Unionville/Markham--Unionville"," 162B","Markham",2,125,1,100,0,228,423
