Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Division Number/Numéro de section de vote,Polling Division Name/Nom de section de vote,Richard Bragdon,Vern Brundle,Liam MacDougall,Julian Moulton,Michael John Winter,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
13010,"Tobique--Mactaquac/Tobique--Mactaquac"," 109","Island View",37,1,1,54,4,0,97,282
13010,"Tobique--Mactaquac/Tobique--Mactaquac"," 110","Island View",52,2,1,52,1,1,109,305
13010,"Tobique--Mactaquac/Tobique--Mactaquac"," 111","Kingsclear 6",13,0,0,73,1,0,87,415
13010,"Tobique--Mactaquac/Tobique--Mactaquac"," 112","Bedell Settlement",77,27,3,2,0,0,109,311
13010,"Tobique--Mactaquac/Tobique--Mactaquac"," 113","Bedell Settlement",87,0,1,33,2,0,123,340
13010,"Tobique--Mactaquac/Tobique--Mactaquac"," 114","Northampton",110,5,0,36,2,2,155,397
13010,"Tobique--Mactaquac/Tobique--Mactaquac"," 115A","Northampton",189,3,3,37,0,2,234,430
13010,"Tobique--Mactaquac/Tobique--Mactaquac"," 115B","Mobile poll/Bureau itinérant",6,0,0,3,1,0,10,7
13010,"Tobique--Mactaquac/Tobique--Mactaquac"," 116","Woodstock",98,1,5,28,3,0,135,422
13010,"Tobique--Mactaquac/Tobique--Mactaquac"," 117","Woodstock",59,2,2,36,3,0,102,376
13010,"Tobique--Mactaquac/Tobique--Mactaquac"," 118","Woodstock",85,5,3,32,3,1,129,445
13010,"Tobique--Mactaquac/Tobique--Mactaquac"," 119","Lower Woodstock",77,5,2,44,3,2,133,430
13010,"Tobique--Mactaquac/Tobique--Mactaquac"," 120","Woodstock",51,2,5,33,0,0,91,206
13010,"Tobique--Mactaquac/Tobique--Mactaquac"," 121","Woodstock 23",40,2,1,123,0,1,167,349
13010,"Tobique--Mactaquac/Tobique--Mactaquac"," 122","Scotch Settlement",53,0,6,36,4,0,99,440
13010,"Tobique--Mactaquac/Tobique--Mactaquac"," 123","Bear Island",103,0,7,78,6,1,195,417
13010,"Tobique--Mactaquac/Tobique--Mactaquac"," 124","Richmond",80,2,6,28,3,0,119,243
