Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Division Number/Numéro de section de vote,Polling Division Name/Nom de section de vote,Nabila Ben Youssef,Idil Issa,Mélanie Joly,Margie Ramos,Linda Sullivan,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24003,"Ahuntsic-Cartierville/Ahuntsic-Cartierville"," 175","Montréal",6,9,83,21,1,5,125,373
24003,"Ahuntsic-Cartierville/Ahuntsic-Cartierville"," 176","Montréal",7,24,108,27,0,5,171,525
24003,"Ahuntsic-Cartierville/Ahuntsic-Cartierville"," 177A","Montréal",23,7,112,16,0,9,167,391
24003,"Ahuntsic-Cartierville/Ahuntsic-Cartierville"," 177B","Mobile poll/Bureau itinérant",13,4,58,9,1,7,92,43
24003,"Ahuntsic-Cartierville/Ahuntsic-Cartierville"," 178","Montréal",14,12,134,65,0,0,225,499
24003,"Ahuntsic-Cartierville/Ahuntsic-Cartierville"," 179","Montréal",4,6,94,20,1,4,129,399
24003,"Ahuntsic-Cartierville/Ahuntsic-Cartierville"," 180","Montréal",7,13,116,28,2,2,168,474
24003,"Ahuntsic-Cartierville/Ahuntsic-Cartierville"," 181","Montréal",18,22,109,57,0,0,206,504
24003,"Ahuntsic-Cartierville/Ahuntsic-Cartierville"," 182","Montréal",7,20,101,61,1,3,193,420
24003,"Ahuntsic-Cartierville/Ahuntsic-Cartierville"," 183","Montréal",16,13,136,86,1,5,257,443
24003,"Ahuntsic-Cartierville/Ahuntsic-Cartierville"," 184","Montréal",7,12,92,50,1,1,163,373
24003,"Ahuntsic-Cartierville/Ahuntsic-Cartierville"," 185","Montréal",14,11,98,59,0,2,184,393
24003,"Ahuntsic-Cartierville/Ahuntsic-Cartierville"," 186","Montréal",9,4,100,101,0,0,214,423
24003,"Ahuntsic-Cartierville/Ahuntsic-Cartierville"," 187","Montréal",10,2,121,54,1,2,190,399
24003,"Ahuntsic-Cartierville/Ahuntsic-Cartierville"," 188","Montréal",22,3,87,49,0,0,161,332
24003,"Ahuntsic-Cartierville/Ahuntsic-Cartierville"," 400","Montréal",72,5,294,9,0,11,391,480
24003,"Ahuntsic-Cartierville/Ahuntsic-Cartierville"," 401","Montréal",80,4,262,6,1,16,369,487
24003,"Ahuntsic-Cartierville/Ahuntsic-Cartierville"," 402","Mobile poll/Bureau itinérant",29,2,120,3,0,1,155,195
24003,"Ahuntsic-Cartierville/Ahuntsic-Cartierville"," 500","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°129B,,,,,,,71
24003,"Ahuntsic-Cartierville/Ahuntsic-Cartierville"," 501","Mobile poll/Bureau itinérant",17,2,48,6,0,1,74,121
24003,"Ahuntsic-Cartierville/Ahuntsic-Cartierville"," 502","Mobile poll/Bureau itinérant",15,3,46,3,1,2,70,81
24003,"Ahuntsic-Cartierville/Ahuntsic-Cartierville"," 503","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°402,,,,,,,43
24003,"Ahuntsic-Cartierville/Ahuntsic-Cartierville"," 504","Mobile poll/Bureau itinérant",24,3,82,4,0,7,120,135
24003,"Ahuntsic-Cartierville/Ahuntsic-Cartierville"," 505","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°121B,,,,,,,93
24003,"Ahuntsic-Cartierville/Ahuntsic-Cartierville"," 506","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°513,,,,,,,60
24003,"Ahuntsic-Cartierville/Ahuntsic-Cartierville"," 507","Montréal",Combined with No./Résultats combinés à ceux du n°121A,,,,,,,52
24003,"Ahuntsic-Cartierville/Ahuntsic-Cartierville"," 508","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°504,,,,,,,46
24003,"Ahuntsic-Cartierville/Ahuntsic-Cartierville"," 509","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°504,,,,,,,12
24003,"Ahuntsic-Cartierville/Ahuntsic-Cartierville"," 510","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°504,,,,,,,11
24003,"Ahuntsic-Cartierville/Ahuntsic-Cartierville"," 511","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°177B,,,,,,,40
24003,"Ahuntsic-Cartierville/Ahuntsic-Cartierville"," 512","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°177B,,,,,,,37
24003,"Ahuntsic-Cartierville/Ahuntsic-Cartierville"," 513","Mobile poll/Bureau itinérant",6,2,34,2,1,6,51,92
24003,"Ahuntsic-Cartierville/Ahuntsic-Cartierville"," 514","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°177B,,,,,,,56
24003,"Ahuntsic-Cartierville/Ahuntsic-Cartierville"," 600","Montréal",182,37,454,53,5,8,739,
24003,"Ahuntsic-Cartierville/Ahuntsic-Cartierville"," 601","Montréal",229,60,637,60,6,11,1003,
24003,"Ahuntsic-Cartierville/Ahuntsic-Cartierville"," 602","Montréal",225,33,557,41,1,2,859,
24003,"Ahuntsic-Cartierville/Ahuntsic-Cartierville"," 603","Montréal",296,42,785,109,3,16,1251,
24003,"Ahuntsic-Cartierville/Ahuntsic-Cartierville"," 604","Montréal",228,73,657,64,7,13,1042,
24003,"Ahuntsic-Cartierville/Ahuntsic-Cartierville"," 605","Montréal",249,105,650,101,6,6,1117,
24003,"Ahuntsic-Cartierville/Ahuntsic-Cartierville"," 606","Montréal",179,44,573,60,2,9,867,
24003,"Ahuntsic-Cartierville/Ahuntsic-Cartierville"," 607","Montréal",75,42,465,93,5,21,701,
24003,"Ahuntsic-Cartierville/Ahuntsic-Cartierville"," 608","Montréal",128,43,505,106,2,10,794,
24003,"Ahuntsic-Cartierville/Ahuntsic-Cartierville"," 609","Montréal",224,55,609,90,2,4,984,
24003,"Ahuntsic-Cartierville/Ahuntsic-Cartierville"," 610","Montréal",65,26,543,161,2,10,807,
