Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Division Number/Numéro de section de vote,Polling Division Name/Nom de section de vote,Jonathan Andresen,Jérémie Juneau,Sébastien Lemire,Vincent Palin-Bussières,Steve Tardif,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24002,"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 236","Témiscaming",35,1,18,0,38,0,92,265
24002,"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 400","La Sarre",89,3,71,1,11,9,184,238
24002,"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 401","Amos",70,2,52,1,11,4,140,195
24002,"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 402","Rouyn-Noranda",118,3,74,1,10,1,207,282
24002,"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 403","Rouyn-Noranda",73,0,55,0,2,8,138,195
24002,"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 500","La Sarre",Combined with No./Résultats combinés à ceux du n°31,,,,,,,1
24002,"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 501","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°502,,,,,,,33
24002,"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 502","Mobile poll/Bureau itinérant",19,3,20,0,4,3,49,53
24002,"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 503","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°502,,,,,,,28
24002,"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 504","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°507,,,,,,,14
24002,"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 505","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°510,,,,,,,25
24002,"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 506","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°510,,,,,,,25
24002,"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 507","Mobile poll/Bureau itinérant",3,1,11,0,5,0,20,47
24002,"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 508","Mobile poll/Bureau itinérant",18,0,14,0,5,2,39,34
24002,"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 509","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°508,,,,,,,27
24002,"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 510","Mobile poll/Bureau itinérant",16,0,33,0,5,3,57,42
24002,"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 511","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°508,,,,,,,28
24002,"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 512","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°523,,,,,,,29
24002,"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 513","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°523,,,,,,,29
24002,"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 514","Mobile poll/Bureau itinérant",34,6,66,0,7,5,118,56
24002,"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 515","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°514,,,,,,,15
24002,"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 516","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°514,,,,,,,38
24002,"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 517","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°514,,,,,,,18
24002,"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 518","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°521,,,,,,,20
24002,"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 519","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°514,,,,,,,31
24002,"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 520","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°514,,,,,,,30
24002,"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 521","Mobile poll/Bureau itinérant",47,6,51,0,8,7,119,127
24002,"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 522","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°521,,,,,,,20
