Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Division Number/Numéro de section de vote,Polling Division Name/Nom de section de vote,Adam Chambers,Russ Emo,Ray Little,Melissa Lloyd,Stephen Toivo Makk,Ryan Rocca,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35099,"Simcoe North/Simcoe-Nord"," 162","Orillia",77,0,7,17,0,105,0,206,507
35099,"Simcoe North/Simcoe-Nord"," 163","Orillia",70,1,6,8,2,111,0,198,489
35099,"Simcoe North/Simcoe-Nord"," 164","Orillia",66,0,6,8,1,90,1,172,611
35099,"Simcoe North/Simcoe-Nord"," 165","Orillia",61,1,7,7,3,51,0,130,589
35099,"Simcoe North/Simcoe-Nord"," 166","Orillia",44,0,4,4,0,49,1,102,414
35099,"Simcoe North/Simcoe-Nord"," 167","Orillia",Combined with No./Résultats combinés à ceux du n°168,,,,,,,,268
35099,"Simcoe North/Simcoe-Nord"," 168","Orillia",86,3,4,8,3,105,0,209,481
35099,"Simcoe North/Simcoe-Nord"," 169","Orillia",127,0,3,8,0,66,1,205,532
35099,"Simcoe North/Simcoe-Nord"," 170","Orillia",93,3,2,5,0,59,0,162,445
35099,"Simcoe North/Simcoe-Nord"," 171","Orillia",103,0,6,14,6,72,0,201,517
35099,"Simcoe North/Simcoe-Nord"," 172","Orillia",100,1,4,15,3,64,1,188,499
35099,"Simcoe North/Simcoe-Nord"," 173A","Orillia",99,0,11,10,2,94,3,219,565
35099,"Simcoe North/Simcoe-Nord"," 173B","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°516,,,,,,,,16
35099,"Simcoe North/Simcoe-Nord"," 174","Orillia",72,1,5,10,3,48,0,139,471
35099,"Simcoe North/Simcoe-Nord"," 175","Orillia",94,0,8,13,2,66,1,184,628
35099,"Simcoe North/Simcoe-Nord"," 176","Orillia",86,0,9,9,0,71,1,176,556
35099,"Simcoe North/Simcoe-Nord"," 177","Orillia",116,4,7,14,4,110,0,255,571
35099,"Simcoe North/Simcoe-Nord"," 178","Orillia",103,0,7,20,2,64,2,198,514
35099,"Simcoe North/Simcoe-Nord"," 179","Orillia",73,1,7,8,4,66,1,160,427
35099,"Simcoe North/Simcoe-Nord"," 180","Orillia",90,0,10,8,4,91,1,204,540
35099,"Simcoe North/Simcoe-Nord"," 181","Orillia",Combined with No./Résultats combinés à ceux du n°188,,,,,,,,404
35099,"Simcoe North/Simcoe-Nord"," 182","Orillia",97,1,2,11,0,68,0,179,483
35099,"Simcoe North/Simcoe-Nord"," 183","Orillia",77,0,2,5,1,48,1,134,502
35099,"Simcoe North/Simcoe-Nord"," 184","Orillia",54,0,3,11,0,44,1,113,407
35099,"Simcoe North/Simcoe-Nord"," 185","Orillia",81,3,4,6,1,60,0,155,496
35099,"Simcoe North/Simcoe-Nord"," 186","Orillia",77,0,2,8,2,44,0,133,421
35099,"Simcoe North/Simcoe-Nord"," 187","Orillia",76,2,4,21,1,67,2,173,540
35099,"Simcoe North/Simcoe-Nord"," 188","Orillia",142,0,8,11,1,120,2,284,501
35099,"Simcoe North/Simcoe-Nord"," 189","Orillia",114,0,2,11,0,66,0,193,601
35099,"Simcoe North/Simcoe-Nord"," 190","Orillia",83,0,10,13,2,71,0,179,500
35099,"Simcoe North/Simcoe-Nord"," 191","Orillia",71,0,6,4,0,68,0,149,415
35099,"Simcoe North/Simcoe-Nord"," 192","Orillia",73,0,5,6,0,89,1,174,483
35099,"Simcoe North/Simcoe-Nord"," 193","Orillia",74,2,2,10,0,71,1,160,446
35099,"Simcoe North/Simcoe-Nord"," 194","Orillia",85,2,1,4,1,107,1,201,467
35099,"Simcoe North/Simcoe-Nord"," 195","Orillia",Combined with No./Résultats combinés à ceux du n°194,,,,,,,,372
35099,"Simcoe North/Simcoe-Nord"," 196","Ramara",130,1,5,6,0,73,0,215,485
35099,"Simcoe North/Simcoe-Nord"," 197","Ramara",119,0,2,6,1,49,0,177,470
35099,"Simcoe North/Simcoe-Nord"," 198","Ramara",107,1,2,6,0,57,0,173,365
35099,"Simcoe North/Simcoe-Nord"," 199","Ramara",101,0,2,7,2,79,3,194,380
35099,"Simcoe North/Simcoe-Nord"," 200","Ramara",151,1,6,12,1,140,0,311,748
35099,"Simcoe North/Simcoe-Nord"," 201","Ramara",97,0,1,6,0,27,0,131,453
35099,"Simcoe North/Simcoe-Nord"," 202","Ramara",81,0,2,3,1,99,4,190,386
35099,"Simcoe North/Simcoe-Nord"," 203","Ramara",150,1,3,8,2,94,1,259,470
35099,"Simcoe North/Simcoe-Nord"," 204","Ramara",71,0,0,1,2,89,0,163,290
35099,"Simcoe North/Simcoe-Nord"," 205","Ramara",87,0,1,5,0,84,0,177,291
35099,"Simcoe North/Simcoe-Nord"," 206","Ramara",92,1,4,5,5,33,0,140,413
35099,"Simcoe North/Simcoe-Nord"," 207","Ramara",86,0,1,5,0,92,1,185,375
35099,"Simcoe North/Simcoe-Nord"," 208","Ramara",118,1,4,7,1,85,0,216,388
35099,"Simcoe North/Simcoe-Nord"," 209","Ramara",53,0,3,2,0,84,0,142,278
