Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Division Number/Numéro de section de vote,Polling Division Name/Nom de section de vote,Eric Duncan,Sarah Good,Gordon Kubanek,Mario Leclerc,Karl Ivan MacKinnon,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35102,"Stormont--Dundas--Glengarry/Stormont--Dundas--Glengarry"," 108","Cornwall",59,60,0,2,2,0,123,492
35102,"Stormont--Dundas--Glengarry/Stormont--Dundas--Glengarry"," 109","Cornwall",85,72,2,3,0,3,165,506
35102,"Stormont--Dundas--Glengarry/Stormont--Dundas--Glengarry"," 110","Cornwall",65,69,1,3,0,0,138,434
35102,"Stormont--Dundas--Glengarry/Stormont--Dundas--Glengarry"," 111","Cornwall",44,64,0,1,0,0,109,412
35102,"Stormont--Dundas--Glengarry/Stormont--Dundas--Glengarry"," 112","Cornwall",56,47,0,6,0,0,109,454
35102,"Stormont--Dundas--Glengarry/Stormont--Dundas--Glengarry"," 113","Cornwall",49,50,1,2,0,1,103,382
35102,"Stormont--Dundas--Glengarry/Stormont--Dundas--Glengarry"," 114","Cornwall",69,68,3,2,1,1,144,422
35102,"Stormont--Dundas--Glengarry/Stormont--Dundas--Glengarry"," 115","Cornwall",81,94,0,3,1,1,180,402
35102,"Stormont--Dundas--Glengarry/Stormont--Dundas--Glengarry"," 116","Cornwall",107,97,3,8,0,0,215,457
35102,"Stormont--Dundas--Glengarry/Stormont--Dundas--Glengarry"," 117","Cornwall",85,86,1,5,0,1,178,433
35102,"Stormont--Dundas--Glengarry/Stormont--Dundas--Glengarry"," 118","Cornwall",73,79,4,3,0,1,160,359
35102,"Stormont--Dundas--Glengarry/Stormont--Dundas--Glengarry"," 119","Cornwall",69,62,0,7,0,2,140,433
35102,"Stormont--Dundas--Glengarry/Stormont--Dundas--Glengarry"," 120","Cornwall",73,43,1,7,0,0,124,440
35102,"Stormont--Dundas--Glengarry/Stormont--Dundas--Glengarry"," 121","Cornwall",78,53,1,8,0,0,140,512
