Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Division Number/Numéro de section de vote,Polling Division Name/Nom de section de vote,Armand Cormier,Wayne Long,David MacFarquhar,Austin Venedam,Melissa Young,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
13008,"Saint John--Kennebecasis/Saint John--Kennebecasis"," 518","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°519,,,,,,,20
13008,"Saint John--Kennebecasis/Saint John--Kennebecasis"," 519","Mobile poll/Bureau itinérant",2,17,1,1,7,0,28,51
13008,"Saint John--Kennebecasis/Saint John--Kennebecasis"," 600","Quispamsis",30,903,20,4,681,2,1640,
13008,"Saint John--Kennebecasis/Saint John--Kennebecasis"," 601","Quispamsis",29,1333,10,3,700,1,2076,
13008,"Saint John--Kennebecasis/Saint John--Kennebecasis"," 602","Quispamsis",27,1449,14,2,651,7,2150,
13008,"Saint John--Kennebecasis/Saint John--Kennebecasis"," 603","Rothesay",8,1022,19,1,452,3,1505,
13008,"Saint John--Kennebecasis/Saint John--Kennebecasis"," 604","Rothesay",15,950,13,4,417,6,1405,
13008,"Saint John--Kennebecasis/Saint John--Kennebecasis"," 605","Saint John",37,639,15,3,518,10,1222,
13008,"Saint John--Kennebecasis/Saint John--Kennebecasis"," 606","Saint John",44,774,17,2,503,4,1344,
13008,"Saint John--Kennebecasis/Saint John--Kennebecasis"," 607","Saint John",29,423,10,1,280,1,744,
13008,"Saint John--Kennebecasis/Saint John--Kennebecasis"," 608","Saint John",23,546,16,1,256,5,847,
13008,"Saint John--Kennebecasis/Saint John--Kennebecasis"," 609","Saint John",26,1226,28,3,435,5,1723,
13008,"Saint John--Kennebecasis/Saint John--Kennebecasis"," 610","Saint John",35,847,18,3,388,5,1296,
13008,"Saint John--Kennebecasis/Saint John--Kennebecasis"," 611","Saint John",50,855,14,7,238,3,1167,
13008,"Saint John--Kennebecasis/Saint John--Kennebecasis"," 612","Saint John",34,585,14,4,492,0,1129,
13008,"Saint John--Kennebecasis/Saint John--Kennebecasis",,Group 1/Groupe 1, 14,420,11,1,164,24,634,206
13008,"Saint John--Kennebecasis/Saint John--Kennebecasis",,Group 2/Groupe 2, 73,2873,34,7,1313,41,4341,
