Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Division Number/Numéro de section de vote,Polling Division Name/Nom de section de vote,Ravinder Bhatia,Don Davies,Amy K. Gill,Imtiaz Popat,Fiona Wang,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
59039,"Vancouver Kingsway/Vancouver Kingsway"," 166","Vancouver",39,71,60,0,3,0,173,400
59039,"Vancouver Kingsway/Vancouver Kingsway"," 167","Vancouver",33,46,44,1,1,3,128,406
59039,"Vancouver Kingsway/Vancouver Kingsway"," 168","Vancouver",47,46,53,2,2,1,151,426
59039,"Vancouver Kingsway/Vancouver Kingsway"," 169","Vancouver",35,57,36,3,3,1,135,337
59039,"Vancouver Kingsway/Vancouver Kingsway"," 170","Vancouver",39,68,51,0,1,2,161,462
59039,"Vancouver Kingsway/Vancouver Kingsway"," 171","Vancouver",38,46,39,2,0,1,126,403
59039,"Vancouver Kingsway/Vancouver Kingsway"," 172","Vancouver",40,51,39,1,0,3,134,409
59039,"Vancouver Kingsway/Vancouver Kingsway"," 173","Vancouver",28,69,29,2,0,1,129,444
59039,"Vancouver Kingsway/Vancouver Kingsway"," 174","Vancouver",42,51,32,2,4,3,134,437
59039,"Vancouver Kingsway/Vancouver Kingsway"," 175","Vancouver",42,42,39,3,1,1,128,485
59039,"Vancouver Kingsway/Vancouver Kingsway"," 176","Vancouver",50,79,41,1,0,0,171,430
59039,"Vancouver Kingsway/Vancouver Kingsway"," 177","Vancouver",51,76,43,2,1,1,174,470
59039,"Vancouver Kingsway/Vancouver Kingsway"," 178","Vancouver",36,45,34,1,3,0,119,287
59039,"Vancouver Kingsway/Vancouver Kingsway"," 179","Vancouver",64,75,87,2,5,1,234,586
59039,"Vancouver Kingsway/Vancouver Kingsway"," 180","Vancouver",59,66,94,2,2,1,224,514
59039,"Vancouver Kingsway/Vancouver Kingsway"," 181","Vancouver",42,78,70,0,2,2,194,432
