Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Division Number/Numéro de section de vote,Polling Division Name/Nom de section de vote,Naveed Ahmed,Nadeem Akbar,Adam Van Koeverden,Charles Zach,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35018,"Burlington North--Milton West/Burlington-Nord--Milton-Ouest"," 17","Milton",5,61,51,4,1,122,467
35018,"Burlington North--Milton West/Burlington-Nord--Milton-Ouest"," 18","Milton",5,91,134,1,0,231,574
35018,"Burlington North--Milton West/Burlington-Nord--Milton-Ouest"," 19","Milton",8,78,107,1,1,195,572
35018,"Burlington North--Milton West/Burlington-Nord--Milton-Ouest"," 20","Milton",3,95,88,3,0,189,545
35018,"Burlington North--Milton West/Burlington-Nord--Milton-Ouest"," 21","Milton",6,88,114,0,1,209,546
35018,"Burlington North--Milton West/Burlington-Nord--Milton-Ouest"," 22","Milton",7,103,148,2,0,260,607
35018,"Burlington North--Milton West/Burlington-Nord--Milton-Ouest"," 23","Milton",11,104,111,1,0,227,589
35018,"Burlington North--Milton West/Burlington-Nord--Milton-Ouest"," 24A","Milton",4,79,90,1,0,174,422
35018,"Burlington North--Milton West/Burlington-Nord--Milton-Ouest"," 24B","Milton",4,80,88,0,0,172,256
35018,"Burlington North--Milton West/Burlington-Nord--Milton-Ouest"," 25","Milton",4,72,84,0,1,161,457
35018,"Burlington North--Milton West/Burlington-Nord--Milton-Ouest"," 26","Milton",3,95,80,5,0,183,450
35018,"Burlington North--Milton West/Burlington-Nord--Milton-Ouest"," 27","Milton",4,67,86,1,0,158,392
35018,"Burlington North--Milton West/Burlington-Nord--Milton-Ouest"," 28","Milton",1,78,54,1,2,136,394
35018,"Burlington North--Milton West/Burlington-Nord--Milton-Ouest"," 29","Milton",5,62,59,2,0,128,411
35018,"Burlington North--Milton West/Burlington-Nord--Milton-Ouest"," 30","Milton",15,85,70,2,4,176,464
35018,"Burlington North--Milton West/Burlington-Nord--Milton-Ouest"," 31","Milton",8,85,54,3,1,151,388
35018,"Burlington North--Milton West/Burlington-Nord--Milton-Ouest"," 32","Milton",5,92,100,3,0,200,572
35018,"Burlington North--Milton West/Burlington-Nord--Milton-Ouest"," 33","Milton",4,122,92,1,0,219,584
35018,"Burlington North--Milton West/Burlington-Nord--Milton-Ouest"," 34","Milton",5,94,68,0,0,167,608
35018,"Burlington North--Milton West/Burlington-Nord--Milton-Ouest"," 35","Milton",5,84,83,0,0,172,494
35018,"Burlington North--Milton West/Burlington-Nord--Milton-Ouest"," 36","Milton",4,81,107,3,0,195,619
35018,"Burlington North--Milton West/Burlington-Nord--Milton-Ouest"," 37","Milton",8,76,94,2,0,180,511
35018,"Burlington North--Milton West/Burlington-Nord--Milton-Ouest"," 38","Milton",7,92,82,6,0,187,542
35018,"Burlington North--Milton West/Burlington-Nord--Milton-Ouest"," 39","Milton",4,93,118,5,2,222,576
35018,"Burlington North--Milton West/Burlington-Nord--Milton-Ouest"," 40","Milton",7,73,104,2,1,187,524
35018,"Burlington North--Milton West/Burlington-Nord--Milton-Ouest"," 41","Milton",4,88,127,2,1,222,557
35018,"Burlington North--Milton West/Burlington-Nord--Milton-Ouest"," 42","Milton",4,113,89,2,0,208,547
35018,"Burlington North--Milton West/Burlington-Nord--Milton-Ouest"," 43","Milton",9,127,144,3,2,285,714
35018,"Burlington North--Milton West/Burlington-Nord--Milton-Ouest"," 44","Milton",1,103,139,0,0,243,572
35018,"Burlington North--Milton West/Burlington-Nord--Milton-Ouest"," 45","Milton",5,85,85,4,0,179,487
35018,"Burlington North--Milton West/Burlington-Nord--Milton-Ouest"," 46","Milton",8,104,134,2,2,250,542
35018,"Burlington North--Milton West/Burlington-Nord--Milton-Ouest"," 47","Milton",14,90,106,3,4,217,546
35018,"Burlington North--Milton West/Burlington-Nord--Milton-Ouest"," 48","Milton",7,83,108,1,1,200,610
35018,"Burlington North--Milton West/Burlington-Nord--Milton-Ouest"," 49","Milton",5,89,116,1,0,211,623
35018,"Burlington North--Milton West/Burlington-Nord--Milton-Ouest"," 50","Milton",9,86,71,1,1,168,581
35018,"Burlington North--Milton West/Burlington-Nord--Milton-Ouest"," 51","Milton",3,86,130,1,0,220,556
35018,"Burlington North--Milton West/Burlington-Nord--Milton-Ouest"," 52","Milton",4,96,82,2,1,185,490
35018,"Burlington North--Milton West/Burlington-Nord--Milton-Ouest"," 53","Milton",3,82,111,3,0,199,521
35018,"Burlington North--Milton West/Burlington-Nord--Milton-Ouest"," 54","Milton",7,101,106,2,2,218,573
35018,"Burlington North--Milton West/Burlington-Nord--Milton-Ouest"," 55","Milton",9,114,102,2,0,227,537
35018,"Burlington North--Milton West/Burlington-Nord--Milton-Ouest"," 56","Milton",5,98,110,3,1,217,558
35018,"Burlington North--Milton West/Burlington-Nord--Milton-Ouest"," 57","Milton",2,79,124,0,1,206,605
35018,"Burlington North--Milton West/Burlington-Nord--Milton-Ouest"," 58","Milton",4,98,102,6,0,210,525
35018,"Burlington North--Milton West/Burlington-Nord--Milton-Ouest"," 59","Milton",4,79,121,0,2,206,583
35018,"Burlington North--Milton West/Burlington-Nord--Milton-Ouest"," 60","Milton",9,115,89,0,8,221,574
35018,"Burlington North--Milton West/Burlington-Nord--Milton-Ouest"," 61","Milton",7,100,102,1,1,211,583
35018,"Burlington North--Milton West/Burlington-Nord--Milton-Ouest"," 62","Milton",6,100,107,3,1,217,563
35018,"Burlington North--Milton West/Burlington-Nord--Milton-Ouest"," 63","Milton",7,92,123,3,2,227,574
35018,"Burlington North--Milton West/Burlington-Nord--Milton-Ouest"," 64","Milton",3,107,122,0,1,233,626
35018,"Burlington North--Milton West/Burlington-Nord--Milton-Ouest"," 65","Milton",7,126,112,2,0,247,618
35018,"Burlington North--Milton West/Burlington-Nord--Milton-Ouest"," 66","Milton",4,96,140,1,0,241,708
35018,"Burlington North--Milton West/Burlington-Nord--Milton-Ouest"," 67","Milton",6,117,124,2,0,249,627
35018,"Burlington North--Milton West/Burlington-Nord--Milton-Ouest"," 68","Milton",2,78,86,3,1,170,510
35018,"Burlington North--Milton West/Burlington-Nord--Milton-Ouest"," 69","Milton",5,105,102,0,2,214,609
35018,"Burlington North--Milton West/Burlington-Nord--Milton-Ouest"," 70","Milton",6,92,115,1,0,214,586
35018,"Burlington North--Milton West/Burlington-Nord--Milton-Ouest"," 71","Milton",5,109,87,1,2,204,512
35018,"Burlington North--Milton West/Burlington-Nord--Milton-Ouest"," 72","Milton",1,49,35,0,1,86,249
