Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Division Number/Numéro de section de vote,Polling Division Name/Nom de section de vote,Luc Desilets,Michel Genois,Joseph Hakizimana,Linda Lapointe,Elia Lopez,David Santamaria Quiceno,Alec Ware,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24063,"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 134","Saint-Eustache",102,0,9,84,39,0,3,3,240,403
24063,"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 135","Saint-Eustache",34,0,4,31,34,2,2,6,113,325
24063,"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 136","Saint-Eustache",50,1,10,30,24,0,2,6,123,346
24063,"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 137","Saint-Eustache",77,0,4,60,26,0,4,1,172,337
24063,"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 138","Saint-Eustache",90,1,3,77,31,0,2,1,205,389
24063,"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 139","Saint-Eustache",52,1,3,56,37,2,4,5,160,365
24063,"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 140","Saint-Eustache",65,0,3,56,39,0,2,5,170,385
24063,"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 141","Saint-Eustache",54,1,8,43,29,2,3,1,141,388
24063,"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 142","Saint-Eustache",81,0,5,59,47,4,1,2,199,399
24063,"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 143","Saint-Eustache",80,0,9,43,38,1,3,4,178,352
24063,"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 144","Saint-Eustache",55,0,8,51,24,0,2,4,144,348
24063,"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 145","Saint-Eustache",63,1,3,29,33,2,4,2,137,361
24063,"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 146","Saint-Eustache",50,0,2,33,15,1,3,3,107,364
24063,"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 147","Saint-Eustache",73,0,5,59,36,2,6,5,186,433
24063,"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 148","Saint-Eustache",109,1,6,128,60,3,3,11,321,608
24063,"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 149","Saint-Eustache",47,0,4,56,19,1,3,2,132,342
24063,"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 150","Saint-Eustache",85,0,7,50,41,3,0,1,187,341
24063,"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 151","Saint-Eustache",74,0,3,45,30,0,1,2,155,347
24063,"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 152","Saint-Eustache",66,0,1,95,42,0,3,0,207,367
24063,"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 153","Saint-Eustache",70,1,4,82,38,1,2,2,200,381
24063,"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 154","Saint-Eustache",89,0,1,62,50,0,0,1,203,398
24063,"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 155","Saint-Eustache",93,0,5,48,22,0,1,5,174,340
24063,"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 156","Saint-Eustache",57,1,3,109,48,0,2,8,228,465
24063,"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 157","Saint-Eustache",34,0,2,71,42,1,0,0,150,348
24063,"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 158","Saint-Eustache",102,1,2,51,23,1,0,1,181,404
