Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Division Number/Numéro de section de vote,Polling Division Name/Nom de section de vote,Dave Blackburn,Hugues Boily-Maltais,Lorie Bouchard,Alexis Brunelle-Duceppe,Denis Lemieux,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24033,"Lac-Saint-Jean/Lac-Saint-Jean"," 538","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°536,,,,,,,49
24033,"Lac-Saint-Jean/Lac-Saint-Jean"," 539","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°542,,,,,,,17
24033,"Lac-Saint-Jean/Lac-Saint-Jean"," 540","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°543,,,,,,,13
24033,"Lac-Saint-Jean/Lac-Saint-Jean"," 541","Métabetchouan--Lac-à-la-Croix",No poll held/Pas de scrutin,,,,,,,5
24033,"Lac-Saint-Jean/Lac-Saint-Jean"," 542","Mobile poll/Bureau itinérant",4,0,2,11,15,4,36,44
24033,"Lac-Saint-Jean/Lac-Saint-Jean"," 543","Mobile poll/Bureau itinérant",9,1,0,16,25,8,59,48
24033,"Lac-Saint-Jean/Lac-Saint-Jean"," 544","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°543,,,,,,,21
24033,"Lac-Saint-Jean/Lac-Saint-Jean"," 545","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°547,,,,,,,30
24033,"Lac-Saint-Jean/Lac-Saint-Jean"," 546","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°547,,,,,,,19
24033,"Lac-Saint-Jean/Lac-Saint-Jean"," 547","Mobile poll/Bureau itinérant",7,2,0,26,25,4,64,11
24033,"Lac-Saint-Jean/Lac-Saint-Jean"," 548","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°547,,,,,,,18
24033,"Lac-Saint-Jean/Lac-Saint-Jean"," 600","Normandin",99,5,3,200,143,7,457,
24033,"Lac-Saint-Jean/Lac-Saint-Jean"," 601","Notre-Dame-de-Lorette",1,0,0,3,2,1,7,
24033,"Lac-Saint-Jean/Lac-Saint-Jean"," 602","Albanel",108,10,0,147,96,4,365,
24033,"Lac-Saint-Jean/Lac-Saint-Jean"," 603","Dolbeau-Mistassini",69,4,2,148,102,6,331,
24033,"Lac-Saint-Jean/Lac-Saint-Jean"," 604","Alma",157,8,13,367,326,7,878,
24033,"Lac-Saint-Jean/Lac-Saint-Jean"," 605","Passes-Dangereuses",205,12,13,375,265,9,879,
24033,"Lac-Saint-Jean/Lac-Saint-Jean"," 606","Saint-Augustin",27,3,0,46,34,3,113,
24033,"Lac-Saint-Jean/Lac-Saint-Jean"," 607","L'Ascension",31,2,2,96,40,1,172,
24033,"Lac-Saint-Jean/Lac-Saint-Jean"," 608","Alma",126,7,6,317,223,3,682,
24033,"Lac-Saint-Jean/Lac-Saint-Jean"," 609","Alma",203,16,10,611,305,9,1154,
24033,"Lac-Saint-Jean/Lac-Saint-Jean"," 610","Alma",113,11,3,471,214,8,820,
24033,"Lac-Saint-Jean/Lac-Saint-Jean"," 611","Alma",88,13,8,356,151,9,625,
24033,"Lac-Saint-Jean/Lac-Saint-Jean"," 612","L'Ascension",149,8,14,448,263,16,898,
24033,"Lac-Saint-Jean/Lac-Saint-Jean"," 613","Alma",42,4,1,95,34,1,177,
24033,"Lac-Saint-Jean/Lac-Saint-Jean"," 614","Saint-Gédéon",60,5,3,186,109,5,368,
24033,"Lac-Saint-Jean/Lac-Saint-Jean"," 615","Mashteuiatsh",21,6,4,29,68,0,128,
24033,"Lac-Saint-Jean/Lac-Saint-Jean"," 616","Saint-Félicien",185,14,4,364,357,7,931,
24033,"Lac-Saint-Jean/Lac-Saint-Jean"," 617","Saint-Félicien",188,10,4,358,348,13,921,
24033,"Lac-Saint-Jean/Lac-Saint-Jean"," 618","La Doré",73,1,3,102,82,3,264,
24033,"Lac-Saint-Jean/Lac-Saint-Jean"," 619","Saint-Prime",110,6,1,228,131,5,481,
24033,"Lac-Saint-Jean/Lac-Saint-Jean"," 620","Sainte-Hedwidge",52,0,1,72,61,3,189,
24033,"Lac-Saint-Jean/Lac-Saint-Jean"," 621","Roberval",290,19,5,704,571,14,1603,
24033,"Lac-Saint-Jean/Lac-Saint-Jean"," 622","Hébertville",79,2,1,195,133,0,410,
24033,"Lac-Saint-Jean/Lac-Saint-Jean"," 623","Métabetchouan--Lac-à-la-Croix",109,9,3,300,171,8,600,
24033,"Lac-Saint-Jean/Lac-Saint-Jean",,Group 1/Groupe 1, 75,12,2,114,102,19,324,67
24033,"Lac-Saint-Jean/Lac-Saint-Jean",,Group 2/Groupe 2, 295,19,22,846,693,32,1907,
