Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Division Number/Numéro de section de vote,Polling Division Name/Nom de section de vote,Laurie Baird,Reggie Goldsbury,Kallee Lins,Steven Maffioli,Rob Morrison,James Wiedrick,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
59007,"Columbia--Kootenay--Southern Rockies/Columbia--Kootenay--Southern Rockies"," 133A","Elk Prairie",3,17,4,0,86,1,0,111,291
59007,"Columbia--Kootenay--Southern Rockies/Columbia--Kootenay--Southern Rockies"," 133B","Elk Prairie",2,11,4,1,85,0,0,103,295
59007,"Columbia--Kootenay--Southern Rockies/Columbia--Kootenay--Southern Rockies"," 134","Sparwood",0,21,6,3,99,0,0,129,390
59007,"Columbia--Kootenay--Southern Rockies/Columbia--Kootenay--Southern Rockies"," 135","Sparwood",1,23,6,0,105,1,0,136,429
59007,"Columbia--Kootenay--Southern Rockies/Columbia--Kootenay--Southern Rockies"," 136","Sparwood",2,22,8,1,92,3,0,128,430
59007,"Columbia--Kootenay--Southern Rockies/Columbia--Kootenay--Southern Rockies"," 137","Sparwood",0,14,5,2,67,2,0,90,323
59007,"Columbia--Kootenay--Southern Rockies/Columbia--Kootenay--Southern Rockies"," 138","Sparwood",1,20,7,0,104,1,2,135,383
59007,"Columbia--Kootenay--Southern Rockies/Columbia--Kootenay--Southern Rockies"," 139","Sparwood",1,15,3,2,136,0,1,158,464
59007,"Columbia--Kootenay--Southern Rockies/Columbia--Kootenay--Southern Rockies"," 140","Sparwood",0,22,10,3,89,0,0,124,343
59007,"Columbia--Kootenay--Southern Rockies/Columbia--Kootenay--Southern Rockies"," 141","Fruitvale",3,107,54,6,113,2,1,286,501
59007,"Columbia--Kootenay--Southern Rockies/Columbia--Kootenay--Southern Rockies"," 142","Fruitvale",0,46,17,2,80,1,0,146,219
59007,"Columbia--Kootenay--Southern Rockies/Columbia--Kootenay--Southern Rockies"," 143","Kootenay Boundary A",4,68,60,2,131,3,0,268,477
59007,"Columbia--Kootenay--Southern Rockies/Columbia--Kootenay--Southern Rockies"," 144","Fruitvale",3,53,47,4,136,0,2,245,403
59007,"Columbia--Kootenay--Southern Rockies/Columbia--Kootenay--Southern Rockies"," 145","Erie",1,31,35,3,87,1,1,159,472
59007,"Columbia--Kootenay--Southern Rockies/Columbia--Kootenay--Southern Rockies"," 146","Salmo",1,29,34,4,56,0,0,124,390
59007,"Columbia--Kootenay--Southern Rockies/Columbia--Kootenay--Southern Rockies"," 147","Salmo",2,33,40,2,65,1,0,143,385
59007,"Columbia--Kootenay--Southern Rockies/Columbia--Kootenay--Southern Rockies"," 148","Salmo",0,35,42,5,79,3,1,165,398
59007,"Columbia--Kootenay--Southern Rockies/Columbia--Kootenay--Southern Rockies"," 149","Salmo",1,39,43,7,86,2,1,179,468
59007,"Columbia--Kootenay--Southern Rockies/Columbia--Kootenay--Southern Rockies"," 150A","Trail",0,49,15,2,35,2,0,103,270
59007,"Columbia--Kootenay--Southern Rockies/Columbia--Kootenay--Southern Rockies"," 150B","Trail",0,34,12,1,35,1,0,83,255
59007,"Columbia--Kootenay--Southern Rockies/Columbia--Kootenay--Southern Rockies"," 151","Trail",0,42,12,0,44,0,0,98,268
59007,"Columbia--Kootenay--Southern Rockies/Columbia--Kootenay--Southern Rockies"," 152","Trail",1,37,26,1,50,1,1,117,414
59007,"Columbia--Kootenay--Southern Rockies/Columbia--Kootenay--Southern Rockies"," 153","Trail",1,41,37,2,53,3,1,138,431
59007,"Columbia--Kootenay--Southern Rockies/Columbia--Kootenay--Southern Rockies"," 154","Trail",1,71,23,1,62,0,0,158,456
59007,"Columbia--Kootenay--Southern Rockies/Columbia--Kootenay--Southern Rockies"," 155","Trail",0,39,23,2,48,0,2,114,362
59007,"Columbia--Kootenay--Southern Rockies/Columbia--Kootenay--Southern Rockies"," 156","Trail",1,53,29,3,54,2,3,145,443
59007,"Columbia--Kootenay--Southern Rockies/Columbia--Kootenay--Southern Rockies"," 157A","Trail",0,17,22,0,46,1,0,86,284
59007,"Columbia--Kootenay--Southern Rockies/Columbia--Kootenay--Southern Rockies"," 157B","Trail",0,15,18,0,47,1,1,82,267
59007,"Columbia--Kootenay--Southern Rockies/Columbia--Kootenay--Southern Rockies"," 158","Glenmerry",0,42,10,1,31,0,0,84,358
59007,"Columbia--Kootenay--Southern Rockies/Columbia--Kootenay--Southern Rockies"," 159A","Trail",1,30,11,0,35,1,1,79,283
59007,"Columbia--Kootenay--Southern Rockies/Columbia--Kootenay--Southern Rockies"," 159B","Trail",0,19,8,0,29,1,0,57,253
59007,"Columbia--Kootenay--Southern Rockies/Columbia--Kootenay--Southern Rockies"," 160","Columbia Gardens",1,14,6,2,23,0,0,46,167
59007,"Columbia--Kootenay--Southern Rockies/Columbia--Kootenay--Southern Rockies"," 161","Casino",1,61,21,4,74,0,1,162,436
59007,"Columbia--Kootenay--Southern Rockies/Columbia--Kootenay--Southern Rockies"," 162","Columbia Gardens",0,20,9,4,42,0,0,75,155
59007,"Columbia--Kootenay--Southern Rockies/Columbia--Kootenay--Southern Rockies"," 163","Fort Steele",1,21,8,2,75,6,1,114,238
59007,"Columbia--Kootenay--Southern Rockies/Columbia--Kootenay--Southern Rockies"," 164","Fort Steele",Combined with No./Résultats combinés à ceux du n°115,,,,,,,,0
59007,"Columbia--Kootenay--Southern Rockies/Columbia--Kootenay--Southern Rockies"," 165","Cranbrook",3,38,12,1,85,2,1,142,495
59007,"Columbia--Kootenay--Southern Rockies/Columbia--Kootenay--Southern Rockies"," 166","Cranbrook",0,31,17,0,50,3,0,101,422
59007,"Columbia--Kootenay--Southern Rockies/Columbia--Kootenay--Southern Rockies"," 167","Cranbrook",2,34,18,2,59,3,2,120,418
59007,"Columbia--Kootenay--Southern Rockies/Columbia--Kootenay--Southern Rockies"," 168A","Cranbrook",0,17,7,2,46,0,0,72,214
59007,"Columbia--Kootenay--Southern Rockies/Columbia--Kootenay--Southern Rockies"," 168B","Cranbrook",1,13,3,1,37,2,0,57,198
59007,"Columbia--Kootenay--Southern Rockies/Columbia--Kootenay--Southern Rockies"," 168C","Mobile poll/Bureau itinérant",0,26,7,2,46,1,0,82,123
59007,"Columbia--Kootenay--Southern Rockies/Columbia--Kootenay--Southern Rockies"," 169","Cranbrook",0,24,7,2,66,3,1,103,377
59007,"Columbia--Kootenay--Southern Rockies/Columbia--Kootenay--Southern Rockies"," 170","Cranbrook",1,28,18,1,76,2,1,127,381
59007,"Columbia--Kootenay--Southern Rockies/Columbia--Kootenay--Southern Rockies"," 171","Cranbrook",2,30,24,4,57,1,0,118,424
59007,"Columbia--Kootenay--Southern Rockies/Columbia--Kootenay--Southern Rockies"," 172A","Creston",0,18,8,2,68,1,0,97,244
59007,"Columbia--Kootenay--Southern Rockies/Columbia--Kootenay--Southern Rockies"," 172B","Creston",1,29,6,0,84,1,0,121,279
59007,"Columbia--Kootenay--Southern Rockies/Columbia--Kootenay--Southern Rockies"," 173","Cranbrook",2,25,31,1,64,1,0,124,410
59007,"Columbia--Kootenay--Southern Rockies/Columbia--Kootenay--Southern Rockies"," 174","Cranbrook",4,33,22,2,52,3,0,116,371
59007,"Columbia--Kootenay--Southern Rockies/Columbia--Kootenay--Southern Rockies"," 175","Cranbrook",2,23,34,1,83,1,0,144,442
59007,"Columbia--Kootenay--Southern Rockies/Columbia--Kootenay--Southern Rockies"," 176","Cranbrook",1,24,15,3,60,5,0,108,395
59007,"Columbia--Kootenay--Southern Rockies/Columbia--Kootenay--Southern Rockies"," 177","Cranbrook",1,26,18,2,78,0,0,125,402
59007,"Columbia--Kootenay--Southern Rockies/Columbia--Kootenay--Southern Rockies"," 178","Cranbrook",0,39,27,1,72,2,0,141,493
59007,"Columbia--Kootenay--Southern Rockies/Columbia--Kootenay--Southern Rockies"," 179","Cranbrook",2,36,16,2,111,1,0,168,444
59007,"Columbia--Kootenay--Southern Rockies/Columbia--Kootenay--Southern Rockies"," 180","Cranbrook",0,39,13,3,73,2,0,130,421
59007,"Columbia--Kootenay--Southern Rockies/Columbia--Kootenay--Southern Rockies"," 181","Cranbrook",0,30,21,0,71,0,1,123,406
59007,"Columbia--Kootenay--Southern Rockies/Columbia--Kootenay--Southern Rockies"," 182","Cranbrook",0,45,20,0,83,3,2,153,471
59007,"Columbia--Kootenay--Southern Rockies/Columbia--Kootenay--Southern Rockies"," 183","Cranbrook",2,40,22,3,85,0,2,154,482
59007,"Columbia--Kootenay--Southern Rockies/Columbia--Kootenay--Southern Rockies"," 184A","East Kootenay C",2,23,15,0,71,0,0,111,262
59007,"Columbia--Kootenay--Southern Rockies/Columbia--Kootenay--Southern Rockies"," 184B","East Kootenay C",2,24,7,1,54,0,0,88,271
59007,"Columbia--Kootenay--Southern Rockies/Columbia--Kootenay--Southern Rockies"," 185A","East Kootenay C",0,19,5,1,56,1,0,82,264
