Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Division Number/Numéro de section de vote,Polling Division Name/Nom de section de vote,Dan Albas,Harpreet Badohal,Louise Lecouffe,Debbie Robinson,Juliette Sicotte,Gary Suddard,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
59023,"Okanagan Lake West--South Kelowna/Okanagan Lake-Ouest--Kelowna-Sud"," 87","West Kelowna",81,6,4,0,66,0,0,157,451
59023,"Okanagan Lake West--South Kelowna/Okanagan Lake-Ouest--Kelowna-Sud"," 88","Tsinstikeptum 9",53,5,1,0,52,0,0,111,318
59023,"Okanagan Lake West--South Kelowna/Okanagan Lake-Ouest--Kelowna-Sud"," 89","West Kelowna",54,11,1,0,54,0,0,120,316
59023,"Okanagan Lake West--South Kelowna/Okanagan Lake-Ouest--Kelowna-Sud"," 90","Tsinstikeptum 9",Combined with No./Résultats combinés à ceux du n°85,,,,,,,,214
59023,"Okanagan Lake West--South Kelowna/Okanagan Lake-Ouest--Kelowna-Sud"," 91","Tsinstikeptum 9",87,7,0,0,26,0,0,120,341
59023,"Okanagan Lake West--South Kelowna/Okanagan Lake-Ouest--Kelowna-Sud"," 92","Tsinstikeptum 9",95,11,1,1,83,0,1,192,731
59023,"Okanagan Lake West--South Kelowna/Okanagan Lake-Ouest--Kelowna-Sud"," 93","West Kelowna",70,10,1,4,42,1,0,128,391
59023,"Okanagan Lake West--South Kelowna/Okanagan Lake-Ouest--Kelowna-Sud"," 94","West Kelowna",Combined with No./Résultats combinés à ceux du n°121,,,,,,,,393
59023,"Okanagan Lake West--South Kelowna/Okanagan Lake-Ouest--Kelowna-Sud"," 95","West Kelowna",94,3,2,1,48,0,0,148,415
59023,"Okanagan Lake West--South Kelowna/Okanagan Lake-Ouest--Kelowna-Sud"," 96","West Kelowna",106,2,1,0,55,2,0,166,465
59023,"Okanagan Lake West--South Kelowna/Okanagan Lake-Ouest--Kelowna-Sud"," 97","Kelowna",67,8,2,0,61,2,0,140,427
59023,"Okanagan Lake West--South Kelowna/Okanagan Lake-Ouest--Kelowna-Sud"," 98","Kelowna",52,6,0,0,61,0,0,119,339
59023,"Okanagan Lake West--South Kelowna/Okanagan Lake-Ouest--Kelowna-Sud"," 99","Kelowna",Combined with No./Résultats combinés à ceux du n°101,,,,,,,,377
59023,"Okanagan Lake West--South Kelowna/Okanagan Lake-Ouest--Kelowna-Sud"," 100","Kelowna",55,7,1,0,49,0,1,113,398
59023,"Okanagan Lake West--South Kelowna/Okanagan Lake-Ouest--Kelowna-Sud"," 101","Kelowna",97,8,0,0,112,1,0,218,411
59023,"Okanagan Lake West--South Kelowna/Okanagan Lake-Ouest--Kelowna-Sud"," 102","Kelowna",60,5,0,1,59,0,0,125,381
59023,"Okanagan Lake West--South Kelowna/Okanagan Lake-Ouest--Kelowna-Sud"," 103","Kelowna",73,8,1,1,80,1,1,165,531
59023,"Okanagan Lake West--South Kelowna/Okanagan Lake-Ouest--Kelowna-Sud"," 104","West Kelowna",57,4,0,0,65,0,0,126,360
59023,"Okanagan Lake West--South Kelowna/Okanagan Lake-Ouest--Kelowna-Sud"," 105","West Kelowna",93,2,1,0,41,0,0,137,343
59023,"Okanagan Lake West--South Kelowna/Okanagan Lake-Ouest--Kelowna-Sud"," 106","West Kelowna",103,9,1,1,68,0,0,182,462
59023,"Okanagan Lake West--South Kelowna/Okanagan Lake-Ouest--Kelowna-Sud"," 107","West Kelowna",72,3,3,2,39,0,0,119,341
59023,"Okanagan Lake West--South Kelowna/Okanagan Lake-Ouest--Kelowna-Sud"," 108","West Kelowna",115,5,0,0,49,0,0,169,493
59023,"Okanagan Lake West--South Kelowna/Okanagan Lake-Ouest--Kelowna-Sud"," 109","West Kelowna",67,0,2,2,48,0,2,121,344
59023,"Okanagan Lake West--South Kelowna/Okanagan Lake-Ouest--Kelowna-Sud"," 110","West Kelowna",110,9,2,1,50,0,1,173,405
59023,"Okanagan Lake West--South Kelowna/Okanagan Lake-Ouest--Kelowna-Sud"," 111","West Kelowna",114,11,0,0,78,0,1,204,342
