Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Division Number/Numéro de section de vote,Polling Division Name/Nom de section de vote,Sandra Cobena,Anna Gollen,Jennifer McLachlan,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35068,"Newmarket--Aurora/Newmarket--Aurora"," 86","Newmarket",118,7,90,2,217,532
35068,"Newmarket--Aurora/Newmarket--Aurora"," 87","Newmarket",100,0,48,2,150,486
35068,"Newmarket--Aurora/Newmarket--Aurora"," 88","Newmarket",92,3,39,0,134,524
35068,"Newmarket--Aurora/Newmarket--Aurora"," 89A","Newmarket",73,4,68,0,145,360
35068,"Newmarket--Aurora/Newmarket--Aurora"," 89B","Newmarket",16,7,25,3,51,91
35068,"Newmarket--Aurora/Newmarket--Aurora"," 89C","Mobile poll/Bureau itinérant",6,0,18,2,26,53
35068,"Newmarket--Aurora/Newmarket--Aurora"," 90","Newmarket",106,2,61,0,169,433
35068,"Newmarket--Aurora/Newmarket--Aurora"," 91","Newmarket",81,1,68,4,154,422
35068,"Newmarket--Aurora/Newmarket--Aurora"," 92","Newmarket",90,7,102,1,200,373
35068,"Newmarket--Aurora/Newmarket--Aurora"," 93","Newmarket",115,6,109,2,232,512
35068,"Newmarket--Aurora/Newmarket--Aurora"," 94","Newmarket",102,8,111,4,225,485
35068,"Newmarket--Aurora/Newmarket--Aurora"," 95","Newmarket",111,5,123,0,239,476
35068,"Newmarket--Aurora/Newmarket--Aurora"," 96","Newmarket",115,7,88,3,213,463
35068,"Newmarket--Aurora/Newmarket--Aurora"," 97","Newmarket",68,6,52,0,126,395
35068,"Newmarket--Aurora/Newmarket--Aurora"," 98","Newmarket",76,7,70,1,154,494
35068,"Newmarket--Aurora/Newmarket--Aurora"," 99A","Newmarket",81,3,54,1,139,372
35068,"Newmarket--Aurora/Newmarket--Aurora"," 99B","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°503,,,,,55
35068,"Newmarket--Aurora/Newmarket--Aurora"," 100","Aurora",108,4,63,1,176,538
35068,"Newmarket--Aurora/Newmarket--Aurora"," 101","Newmarket",90,2,80,1,173,497
35068,"Newmarket--Aurora/Newmarket--Aurora"," 102","Newmarket",85,7,64,0,156,459
35068,"Newmarket--Aurora/Newmarket--Aurora"," 103","Newmarket",97,4,49,0,150,490
35068,"Newmarket--Aurora/Newmarket--Aurora"," 104","Newmarket",74,5,75,2,156,474
35068,"Newmarket--Aurora/Newmarket--Aurora"," 105","Newmarket",83,7,72,1,163,617
35068,"Newmarket--Aurora/Newmarket--Aurora"," 106","Newmarket",69,2,67,3,141,472
35068,"Newmarket--Aurora/Newmarket--Aurora"," 107","Newmarket",87,6,97,2,192,577
35068,"Newmarket--Aurora/Newmarket--Aurora"," 108","Newmarket",74,3,71,0,148,450
35068,"Newmarket--Aurora/Newmarket--Aurora"," 109","Newmarket",108,4,94,1,207,449
35068,"Newmarket--Aurora/Newmarket--Aurora"," 110","Newmarket",93,5,85,0,183,473
35068,"Newmarket--Aurora/Newmarket--Aurora"," 111","Newmarket",104,2,80,2,188,533
35068,"Newmarket--Aurora/Newmarket--Aurora"," 112","Newmarket",80,6,77,2,165,406
35068,"Newmarket--Aurora/Newmarket--Aurora"," 113","Newmarket",59,13,82,1,155,509
35068,"Newmarket--Aurora/Newmarket--Aurora"," 114","Newmarket",100,3,77,1,181,608
35068,"Newmarket--Aurora/Newmarket--Aurora"," 115","Newmarket",137,3,72,3,215,549
35068,"Newmarket--Aurora/Newmarket--Aurora"," 116","Newmarket",72,1,60,3,136,425
35068,"Newmarket--Aurora/Newmarket--Aurora"," 117","Newmarket",144,4,138,5,291,617
35068,"Newmarket--Aurora/Newmarket--Aurora"," 118","Newmarket",111,5,84,4,204,431
35068,"Newmarket--Aurora/Newmarket--Aurora"," 119","Newmarket",110,7,131,3,251,585
35068,"Newmarket--Aurora/Newmarket--Aurora"," 120A","Newmarket",84,2,61,1,148,346
35068,"Newmarket--Aurora/Newmarket--Aurora"," 120B","Newmarket",91,2,68,0,161,314
35068,"Newmarket--Aurora/Newmarket--Aurora"," 121","Newmarket",75,5,98,0,178,436
35068,"Newmarket--Aurora/Newmarket--Aurora"," 122","Newmarket",95,1,50,0,146,427
35068,"Newmarket--Aurora/Newmarket--Aurora"," 123","Newmarket",78,0,85,1,164,459
35068,"Newmarket--Aurora/Newmarket--Aurora"," 124","Newmarket",130,8,101,1,240,511
35068,"Newmarket--Aurora/Newmarket--Aurora"," 125","Newmarket",79,5,69,0,153,456
35068,"Newmarket--Aurora/Newmarket--Aurora"," 126","Newmarket",112,7,65,5,189,543
35068,"Newmarket--Aurora/Newmarket--Aurora"," 127","Newmarket",89,0,73,0,162,393
35068,"Newmarket--Aurora/Newmarket--Aurora"," 128","Newmarket",87,1,62,1,151,478
35068,"Newmarket--Aurora/Newmarket--Aurora"," 129A","Newmarket",44,0,61,1,106,344
35068,"Newmarket--Aurora/Newmarket--Aurora"," 129B","Newmarket",49,1,61,1,112,351
35068,"Newmarket--Aurora/Newmarket--Aurora"," 130","Newmarket",107,12,98,5,222,577
35068,"Newmarket--Aurora/Newmarket--Aurora"," 131","Newmarket",118,5,115,2,240,480
35068,"Newmarket--Aurora/Newmarket--Aurora"," 132","Newmarket",83,10,42,2,137,445
35068,"Newmarket--Aurora/Newmarket--Aurora"," 133","Newmarket",101,8,93,3,205,483
35068,"Newmarket--Aurora/Newmarket--Aurora"," 134","Newmarket",139,7,93,3,242,558
35068,"Newmarket--Aurora/Newmarket--Aurora"," 135","Aurora",111,2,67,1,181,553
35068,"Newmarket--Aurora/Newmarket--Aurora"," 136","Aurora",127,4,77,1,209,580
35068,"Newmarket--Aurora/Newmarket--Aurora"," 137","Aurora",93,2,54,1,150,423
35068,"Newmarket--Aurora/Newmarket--Aurora"," 138","Aurora",117,4,76,0,197,541
35068,"Newmarket--Aurora/Newmarket--Aurora"," 139","Aurora",135,2,87,1,225,550
35068,"Newmarket--Aurora/Newmarket--Aurora"," 140","Aurora",122,2,72,0,196,530
35068,"Newmarket--Aurora/Newmarket--Aurora"," 141A","Aurora",Combined with No./Résultats combinés à ceux du n°144A,,,,,153
35068,"Newmarket--Aurora/Newmarket--Aurora"," 141B","Aurora",Combined with No./Résultats combinés à ceux du n°144B,,,,,170
35068,"Newmarket--Aurora/Newmarket--Aurora"," 142A","Aurora",117,3,127,11,258,404
35068,"Newmarket--Aurora/Newmarket--Aurora"," 142B","Aurora",134,2,125,5,266,459
35068,"Newmarket--Aurora/Newmarket--Aurora"," 143","Aurora",126,1,49,1,177,552
35068,"Newmarket--Aurora/Newmarket--Aurora"," 144A","Aurora",95,4,58,3,160,270
35068,"Newmarket--Aurora/Newmarket--Aurora"," 144B","Aurora",96,4,50,0,150,346
35068,"Newmarket--Aurora/Newmarket--Aurora"," 145","Aurora",106,6,59,0,171,526
35068,"Newmarket--Aurora/Newmarket--Aurora"," 146","Aurora",104,2,71,1,178,498
35068,"Newmarket--Aurora/Newmarket--Aurora"," 147","Aurora",98,4,63,4,169,561
35068,"Newmarket--Aurora/Newmarket--Aurora"," 148","Newmarket",111,8,116,1,236,551
35068,"Newmarket--Aurora/Newmarket--Aurora"," 149","Newmarket",134,8,105,4,251,548
35068,"Newmarket--Aurora/Newmarket--Aurora"," 150A","Newmarket",90,6,50,1,147,348
35068,"Newmarket--Aurora/Newmarket--Aurora"," 150B","Newmarket",96,2,49,0,147,349
35068,"Newmarket--Aurora/Newmarket--Aurora"," 151","Newmarket",145,2,87,2,236,583
35068,"Newmarket--Aurora/Newmarket--Aurora"," 152","Aurora",147,3,75,3,228,574
35068,"Newmarket--Aurora/Newmarket--Aurora"," 153","Aurora",79,0,56,1,136,421
35068,"Newmarket--Aurora/Newmarket--Aurora"," 154","Aurora",82,3,58,1,144,483
35068,"Newmarket--Aurora/Newmarket--Aurora"," 155A","Aurora",Combined with No./Résultats combinés à ceux du n°156A,,,,,157
35068,"Newmarket--Aurora/Newmarket--Aurora"," 155B","Aurora",Combined with No./Résultats combinés à ceux du n°156B,,,,,134
35068,"Newmarket--Aurora/Newmarket--Aurora"," 156A","Aurora",105,2,62,1,170,359
