Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Division Number/Numéro de section de vote,Polling Division Name/Nom de section de vote,Claude Bertrand,Sophie Chatel,Todd Hoffman,Brian Nolan,Suzanne Proulx,Gilbert W. Whiteduck,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24057,"Pontiac--Kitigan Zibi/Pontiac--Kitigan Zibi"," 139","Chelsea",1,95,0,26,11,7,1,141,425
24057,"Pontiac--Kitigan Zibi/Pontiac--Kitigan Zibi"," 140","Chelsea",3,162,4,68,31,9,0,277,799
24057,"Pontiac--Kitigan Zibi/Pontiac--Kitigan Zibi"," 141","Chelsea",1,40,0,14,2,8,0,65,227
24057,"Pontiac--Kitigan Zibi/Pontiac--Kitigan Zibi"," 142","Chelsea",5,177,3,27,31,30,0,273,689
24057,"Pontiac--Kitigan Zibi/Pontiac--Kitigan Zibi"," 143","Chelsea",1,104,1,52,15,10,2,185,518
24057,"Pontiac--Kitigan Zibi/Pontiac--Kitigan Zibi"," 144","Luskville",2,66,0,58,7,12,2,147,356
24057,"Pontiac--Kitigan Zibi/Pontiac--Kitigan Zibi"," 145","Luskville",1,52,2,38,2,5,1,101,308
24057,"Pontiac--Kitigan Zibi/Pontiac--Kitigan Zibi"," 146","Luskville",2,37,2,40,7,3,0,91,304
24057,"Pontiac--Kitigan Zibi/Pontiac--Kitigan Zibi"," 147","Luskville",0,41,6,38,5,3,0,93,279
24057,"Pontiac--Kitigan Zibi/Pontiac--Kitigan Zibi"," 148","Luskville",2,61,4,80,20,9,1,177,384
24057,"Pontiac--Kitigan Zibi/Pontiac--Kitigan Zibi"," 149","Luskville",4,40,0,36,6,9,0,95,261
24057,"Pontiac--Kitigan Zibi/Pontiac--Kitigan Zibi"," 150","Luskville",1,82,0,58,8,4,0,153,381
24057,"Pontiac--Kitigan Zibi/Pontiac--Kitigan Zibi"," 151","Luskville",2,41,3,23,18,1,0,88,230
24057,"Pontiac--Kitigan Zibi/Pontiac--Kitigan Zibi"," 152","Luskville",2,70,0,58,7,7,0,144,370
24057,"Pontiac--Kitigan Zibi/Pontiac--Kitigan Zibi"," 153","Pontiac",4,198,0,139,42,10,3,396,691
24057,"Pontiac--Kitigan Zibi/Pontiac--Kitigan Zibi"," 154","Portage-du-Fort",1,48,3,90,7,6,0,155,245
24057,"Pontiac--Kitigan Zibi/Pontiac--Kitigan Zibi"," 155","Gatineau",4,146,5,40,21,12,2,230,520
24057,"Pontiac--Kitigan Zibi/Pontiac--Kitigan Zibi"," 156","Gatineau",2,121,4,46,13,6,1,193,454
24057,"Pontiac--Kitigan Zibi/Pontiac--Kitigan Zibi"," 157","Gatineau",6,118,0,27,9,6,4,170,424
24057,"Pontiac--Kitigan Zibi/Pontiac--Kitigan Zibi"," 158","Gatineau",1,59,0,23,17,9,2,111,375
24057,"Pontiac--Kitigan Zibi/Pontiac--Kitigan Zibi"," 159","Gatineau",1,57,3,18,6,6,11,102,314
24057,"Pontiac--Kitigan Zibi/Pontiac--Kitigan Zibi"," 160","Gatineau",2,145,0,43,23,5,0,218,553
24057,"Pontiac--Kitigan Zibi/Pontiac--Kitigan Zibi"," 161","Bristol",1,54,7,74,3,7,1,147,274
24057,"Pontiac--Kitigan Zibi/Pontiac--Kitigan Zibi"," 162","Bristol",1,61,5,113,4,3,0,187,312
24057,"Pontiac--Kitigan Zibi/Pontiac--Kitigan Zibi"," 163","Bristol",0,43,3,62,1,8,0,117,248
24057,"Pontiac--Kitigan Zibi/Pontiac--Kitigan Zibi"," 164","Chelsea",2,69,0,59,13,11,0,154,233
24057,"Pontiac--Kitigan Zibi/Pontiac--Kitigan Zibi"," 165","Chelsea",3,91,2,54,15,5,2,172,262
24057,"Pontiac--Kitigan Zibi/Pontiac--Kitigan Zibi"," 166","Gatineau",2,92,0,48,7,6,1,156,306
24057,"Pontiac--Kitigan Zibi/Pontiac--Kitigan Zibi"," 167","Gatineau",1,42,0,21,11,8,0,83,223
24057,"Pontiac--Kitigan Zibi/Pontiac--Kitigan Zibi"," 168","Gatineau",3,89,0,40,13,9,2,156,391
24057,"Pontiac--Kitigan Zibi/Pontiac--Kitigan Zibi"," 169","Gatineau",2,73,2,21,24,7,1,130,258
24057,"Pontiac--Kitigan Zibi/Pontiac--Kitigan Zibi"," 170","Gatineau",5,82,5,32,10,3,1,138,313
24057,"Pontiac--Kitigan Zibi/Pontiac--Kitigan Zibi"," 171","Gatineau",2,80,0,27,29,10,0,148,444
24057,"Pontiac--Kitigan Zibi/Pontiac--Kitigan Zibi"," 172","Gatineau",2,52,2,32,24,5,0,117,325
24057,"Pontiac--Kitigan Zibi/Pontiac--Kitigan Zibi"," 173","Gatineau",1,103,0,32,24,1,2,163,431
24057,"Pontiac--Kitigan Zibi/Pontiac--Kitigan Zibi"," 174","Gatineau",0,114,0,44,22,1,1,182,473
24057,"Pontiac--Kitigan Zibi/Pontiac--Kitigan Zibi"," 175","Gatineau",7,89,0,31,23,7,3,160,473
24057,"Pontiac--Kitigan Zibi/Pontiac--Kitigan Zibi"," 176","Gatineau",6,108,0,22,18,8,0,162,458
24057,"Pontiac--Kitigan Zibi/Pontiac--Kitigan Zibi"," 177","Gatineau",2,117,2,36,17,11,1,186,528
24057,"Pontiac--Kitigan Zibi/Pontiac--Kitigan Zibi"," 178","Gatineau",2,89,1,37,8,11,1,149,476
24057,"Pontiac--Kitigan Zibi/Pontiac--Kitigan Zibi"," 179","Gatineau",2,125,3,41,28,17,0,216,566
24057,"Pontiac--Kitigan Zibi/Pontiac--Kitigan Zibi"," 180","Gatineau",5,92,2,39,15,10,1,164,352
