Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Division Number/Numéro de section de vote,Polling Division Name/Nom de section de vote,Omar Abubakar,Albert Carson,Lindsey Machona,Billy Morin,Colleen Rice,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
48019,"Edmonton Northwest/Edmonton-Nord-Ouest"," 32","Edmonton",14,0,64,96,2,0,176,497
48019,"Edmonton Northwest/Edmonton-Nord-Ouest"," 33","Edmonton",8,2,67,97,1,0,175,514
48019,"Edmonton Northwest/Edmonton-Nord-Ouest"," 34","Edmonton",5,2,57,88,1,0,153,534
48019,"Edmonton Northwest/Edmonton-Nord-Ouest"," 35","Edmonton",12,1,68,79,1,0,161,450
48019,"Edmonton Northwest/Edmonton-Nord-Ouest"," 36","Edmonton",5,1,64,85,3,0,158,405
48019,"Edmonton Northwest/Edmonton-Nord-Ouest"," 37","Edmonton",20,1,46,71,1,0,139,461
48019,"Edmonton Northwest/Edmonton-Nord-Ouest"," 38","Edmonton",18,3,61,83,1,0,166,410
48019,"Edmonton Northwest/Edmonton-Nord-Ouest"," 39","Edmonton",17,4,127,136,1,0,285,720
48019,"Edmonton Northwest/Edmonton-Nord-Ouest"," 40","Edmonton",10,3,75,122,0,1,211,570
48019,"Edmonton Northwest/Edmonton-Nord-Ouest"," 41","Edmonton",9,0,47,80,0,0,136,318
48019,"Edmonton Northwest/Edmonton-Nord-Ouest"," 42","Edmonton",9,3,66,80,2,2,162,524
48019,"Edmonton Northwest/Edmonton-Nord-Ouest"," 43","Edmonton",14,3,55,78,3,2,155,489
48019,"Edmonton Northwest/Edmonton-Nord-Ouest"," 44","Edmonton",11,3,75,111,1,0,201,586
48019,"Edmonton Northwest/Edmonton-Nord-Ouest"," 45","Edmonton",21,5,52,99,0,0,177,475
48019,"Edmonton Northwest/Edmonton-Nord-Ouest"," 46","Edmonton",12,1,22,45,0,0,80,310
48019,"Edmonton Northwest/Edmonton-Nord-Ouest"," 47","Edmonton",19,2,64,86,2,2,175,368
48019,"Edmonton Northwest/Edmonton-Nord-Ouest"," 48","Edmonton",17,6,56,58,1,0,138,356
48019,"Edmonton Northwest/Edmonton-Nord-Ouest"," 49","Edmonton",10,0,52,92,0,1,155,526
48019,"Edmonton Northwest/Edmonton-Nord-Ouest"," 50","Edmonton",11,1,55,85,0,0,152,455
48019,"Edmonton Northwest/Edmonton-Nord-Ouest"," 51","Edmonton",28,1,47,66,1,1,144,395
48019,"Edmonton Northwest/Edmonton-Nord-Ouest"," 52","Edmonton",8,0,47,68,2,0,125,379
48019,"Edmonton Northwest/Edmonton-Nord-Ouest"," 53","Edmonton",17,2,61,80,1,0,161,444
48019,"Edmonton Northwest/Edmonton-Nord-Ouest"," 54","Edmonton",27,2,82,73,1,3,188,454
48019,"Edmonton Northwest/Edmonton-Nord-Ouest"," 55","Edmonton",23,5,85,119,1,1,234,513
48019,"Edmonton Northwest/Edmonton-Nord-Ouest"," 56","Edmonton",21,2,81,76,2,5,187,569
48019,"Edmonton Northwest/Edmonton-Nord-Ouest"," 57","Edmonton",11,1,84,92,0,2,190,515
48019,"Edmonton Northwest/Edmonton-Nord-Ouest"," 58","Edmonton",11,2,54,76,1,0,144,468
48019,"Edmonton Northwest/Edmonton-Nord-Ouest"," 59","Edmonton",13,1,68,89,1,2,174,611
48019,"Edmonton Northwest/Edmonton-Nord-Ouest"," 60","Edmonton",7,0,74,68,0,1,150,518
48019,"Edmonton Northwest/Edmonton-Nord-Ouest"," 61","Edmonton",14,0,50,78,2,3,147,486
48019,"Edmonton Northwest/Edmonton-Nord-Ouest"," 62","Edmonton",18,2,35,82,5,0,142,445
48019,"Edmonton Northwest/Edmonton-Nord-Ouest"," 63","Edmonton",16,4,70,80,0,1,171,415
48019,"Edmonton Northwest/Edmonton-Nord-Ouest"," 64","Edmonton",21,5,112,78,2,1,219,528
48019,"Edmonton Northwest/Edmonton-Nord-Ouest"," 65","Edmonton",24,2,105,83,0,1,215,541
48019,"Edmonton Northwest/Edmonton-Nord-Ouest"," 66","Edmonton",6,1,49,58,0,0,114,358
48019,"Edmonton Northwest/Edmonton-Nord-Ouest"," 67","Edmonton",12,1,58,73,2,1,147,399
48019,"Edmonton Northwest/Edmonton-Nord-Ouest"," 68","Edmonton",14,3,44,53,1,0,115,371
48019,"Edmonton Northwest/Edmonton-Nord-Ouest"," 69","Edmonton",6,3,50,83,3,0,145,468
48019,"Edmonton Northwest/Edmonton-Nord-Ouest"," 70","Edmonton",16,5,78,99,1,4,203,658
48019,"Edmonton Northwest/Edmonton-Nord-Ouest"," 71","Edmonton",18,3,56,66,0,0,143,393
48019,"Edmonton Northwest/Edmonton-Nord-Ouest"," 72","Edmonton",19,0,37,64,2,0,122,359
48019,"Edmonton Northwest/Edmonton-Nord-Ouest"," 73","Edmonton",10,2,85,183,0,1,281,581
48019,"Edmonton Northwest/Edmonton-Nord-Ouest"," 74A","Edmonton",9,3,63,108,1,1,185,508
48019,"Edmonton Northwest/Edmonton-Nord-Ouest"," 74B","Edmonton",4,2,42,112,0,0,160,392
48019,"Edmonton Northwest/Edmonton-Nord-Ouest"," 75","Edmonton",4,1,70,151,0,0,226,447
48019,"Edmonton Northwest/Edmonton-Nord-Ouest"," 76","Edmonton",13,1,126,232,0,1,373,685
48019,"Edmonton Northwest/Edmonton-Nord-Ouest"," 77","Edmonton",11,1,75,154,1,0,242,454
48019,"Edmonton Northwest/Edmonton-Nord-Ouest"," 78","Edmonton",14,0,89,155,1,0,259,515
48019,"Edmonton Northwest/Edmonton-Nord-Ouest"," 79A","Edmonton",5,0,48,113,1,0,167,437
48019,"Edmonton Northwest/Edmonton-Nord-Ouest"," 79B","Edmonton",3,1,34,82,0,1,121,364
48019,"Edmonton Northwest/Edmonton-Nord-Ouest"," 80","Edmonton",4,0,46,116,1,2,169,503
48019,"Edmonton Northwest/Edmonton-Nord-Ouest"," 81","Edmonton",11,1,89,188,0,0,289,508
48019,"Edmonton Northwest/Edmonton-Nord-Ouest"," 82","Edmonton",17,2,78,84,1,1,183,423
48019,"Edmonton Northwest/Edmonton-Nord-Ouest"," 83","Edmonton",26,4,155,144,3,3,335,641
48019,"Edmonton Northwest/Edmonton-Nord-Ouest"," 84","Edmonton",5,4,35,74,0,1,119,383
48019,"Edmonton Northwest/Edmonton-Nord-Ouest"," 85","Edmonton",18,3,70,58,0,2,151,483
48019,"Edmonton Northwest/Edmonton-Nord-Ouest"," 86","Edmonton",23,3,72,63,0,1,162,415
48019,"Edmonton Northwest/Edmonton-Nord-Ouest"," 87","Edmonton",12,4,86,74,0,1,177,511
48019,"Edmonton Northwest/Edmonton-Nord-Ouest"," 88","Edmonton",15,3,108,111,3,0,240,562
48019,"Edmonton Northwest/Edmonton-Nord-Ouest"," 89","Edmonton",11,1,61,69,2,0,144,431
48019,"Edmonton Northwest/Edmonton-Nord-Ouest"," 90","Edmonton",9,4,75,66,1,1,156,461
48019,"Edmonton Northwest/Edmonton-Nord-Ouest"," 91A","Edmonton",18,4,56,59,0,0,137,405
