Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Division Number/Numéro de section de vote,Polling Division Name/Nom de section de vote,Terry Beech,Michael Charrois,Mauro Francis,Jesse Fulton,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
59003,"Burnaby North--Seymour/Burnaby-Nord--Seymour"," 72","North Vancouver",99,5,53,2,0,159,433
59003,"Burnaby North--Seymour/Burnaby-Nord--Seymour"," 73","North Vancouver",106,4,53,0,1,164,435
59003,"Burnaby North--Seymour/Burnaby-Nord--Seymour"," 74","North Vancouver",111,5,43,1,0,160,439
59003,"Burnaby North--Seymour/Burnaby-Nord--Seymour"," 75","North Vancouver",Combined with No./Résultats combinés à ceux du n°55,,,,,,287
59003,"Burnaby North--Seymour/Burnaby-Nord--Seymour"," 76","Burrard Inlet 3",87,40,11,1,0,139,273
59003,"Burnaby North--Seymour/Burnaby-Nord--Seymour"," 77","Burrard Inlet 3",99,8,54,1,5,167,596
59003,"Burnaby North--Seymour/Burnaby-Nord--Seymour"," 78","Burrard Inlet 3",77,12,32,0,0,121,379
59003,"Burnaby North--Seymour/Burnaby-Nord--Seymour"," 79","Burnaby",66,16,45,2,0,129,456
59003,"Burnaby North--Seymour/Burnaby-Nord--Seymour"," 80","Burnaby",84,8,45,0,0,137,480
59003,"Burnaby North--Seymour/Burnaby-Nord--Seymour"," 81","North Vancouver",85,3,39,1,0,128,387
59003,"Burnaby North--Seymour/Burnaby-Nord--Seymour"," 82","North Vancouver",108,10,53,0,0,171,467
59003,"Burnaby North--Seymour/Burnaby-Nord--Seymour"," 83","Burrard Inlet 3",79,9,71,0,0,159,448
59003,"Burnaby North--Seymour/Burnaby-Nord--Seymour"," 84","Burrard Inlet 3",43,6,30,0,0,79,400
59003,"Burnaby North--Seymour/Burnaby-Nord--Seymour"," 85","North Vancouver",104,10,49,0,0,163,426
59003,"Burnaby North--Seymour/Burnaby-Nord--Seymour"," 86","North Vancouver",92,7,61,0,0,160,439
59003,"Burnaby North--Seymour/Burnaby-Nord--Seymour"," 87","North Vancouver",69,7,49,2,0,127,439
59003,"Burnaby North--Seymour/Burnaby-Nord--Seymour"," 88","North Vancouver",95,3,46,0,0,144,457
59003,"Burnaby North--Seymour/Burnaby-Nord--Seymour"," 89","North Vancouver",60,3,50,1,0,114,391
59003,"Burnaby North--Seymour/Burnaby-Nord--Seymour"," 90","Burnaby",88,13,61,2,1,165,429
59003,"Burnaby North--Seymour/Burnaby-Nord--Seymour"," 91","Burnaby",61,18,54,1,0,134,470
59003,"Burnaby North--Seymour/Burnaby-Nord--Seymour"," 92","Burnaby",71,21,52,2,0,146,368
59003,"Burnaby North--Seymour/Burnaby-Nord--Seymour"," 93","Burnaby",67,23,36,0,1,127,449
59003,"Burnaby North--Seymour/Burnaby-Nord--Seymour"," 94","Burnaby",107,10,65,1,2,185,495
59003,"Burnaby North--Seymour/Burnaby-Nord--Seymour"," 95","Burnaby",61,13,49,1,1,125,427
59003,"Burnaby North--Seymour/Burnaby-Nord--Seymour"," 96","Burnaby",94,14,61,1,0,170,427
59003,"Burnaby North--Seymour/Burnaby-Nord--Seymour"," 97","Burnaby",99,8,71,1,0,179,452
59003,"Burnaby North--Seymour/Burnaby-Nord--Seymour"," 98","Burnaby",99,15,67,0,2,183,400
59003,"Burnaby North--Seymour/Burnaby-Nord--Seymour"," 99","Burnaby",85,9,58,2,0,154,481
59003,"Burnaby North--Seymour/Burnaby-Nord--Seymour"," 100","Burnaby",50,15,54,0,2,121,444
59003,"Burnaby North--Seymour/Burnaby-Nord--Seymour"," 101","Burnaby",78,14,45,2,2,141,424
59003,"Burnaby North--Seymour/Burnaby-Nord--Seymour"," 102","Burnaby",72,24,40,0,1,137,485
59003,"Burnaby North--Seymour/Burnaby-Nord--Seymour"," 103","Burnaby",79,20,49,0,0,148,385
59003,"Burnaby North--Seymour/Burnaby-Nord--Seymour"," 104","Burnaby",66,9,54,2,0,131,422
59003,"Burnaby North--Seymour/Burnaby-Nord--Seymour"," 105","Burnaby",44,12,36,1,0,93,370
59003,"Burnaby North--Seymour/Burnaby-Nord--Seymour"," 106","Burnaby",50,7,47,1,0,105,451
59003,"Burnaby North--Seymour/Burnaby-Nord--Seymour"," 107","Burnaby",50,6,63,0,1,120,458
59003,"Burnaby North--Seymour/Burnaby-Nord--Seymour"," 108","Burnaby",57,7,70,0,1,135,377
59003,"Burnaby North--Seymour/Burnaby-Nord--Seymour"," 109","Burnaby",59,10,52,2,1,124,415
59003,"Burnaby North--Seymour/Burnaby-Nord--Seymour"," 110","Burnaby",45,8,41,0,1,95,420
59003,"Burnaby North--Seymour/Burnaby-Nord--Seymour"," 111","Burnaby",47,15,44,5,1,112,444
59003,"Burnaby North--Seymour/Burnaby-Nord--Seymour"," 112","Burnaby",38,13,20,1,2,74,395
59003,"Burnaby North--Seymour/Burnaby-Nord--Seymour"," 113","Burnaby",75,14,41,2,1,133,463
59003,"Burnaby North--Seymour/Burnaby-Nord--Seymour"," 114","Burnaby",67,18,62,0,0,147,472
59003,"Burnaby North--Seymour/Burnaby-Nord--Seymour"," 115","Burnaby",54,14,66,0,0,134,432
59003,"Burnaby North--Seymour/Burnaby-Nord--Seymour"," 116","Burnaby",61,11,53,0,1,126,465
59003,"Burnaby North--Seymour/Burnaby-Nord--Seymour"," 117","Burnaby",53,10,58,0,0,121,457
59003,"Burnaby North--Seymour/Burnaby-Nord--Seymour"," 118","Burnaby",48,12,66,0,1,127,474
59003,"Burnaby North--Seymour/Burnaby-Nord--Seymour"," 119","Burnaby",65,12,60,0,0,137,419
59003,"Burnaby North--Seymour/Burnaby-Nord--Seymour"," 120","Burnaby",64,6,73,0,0,143,383
59003,"Burnaby North--Seymour/Burnaby-Nord--Seymour"," 121","Burnaby",53,12,52,0,0,117,479
59003,"Burnaby North--Seymour/Burnaby-Nord--Seymour"," 122","Burnaby",73,12,49,2,2,138,455
59003,"Burnaby North--Seymour/Burnaby-Nord--Seymour"," 123","Burnaby",79,11,63,2,2,157,408
59003,"Burnaby North--Seymour/Burnaby-Nord--Seymour"," 124","Burnaby",74,10,55,1,2,142,452
59003,"Burnaby North--Seymour/Burnaby-Nord--Seymour"," 125","Burnaby",60,10,51,0,2,123,470
59003,"Burnaby North--Seymour/Burnaby-Nord--Seymour"," 126","Burnaby",87,13,60,2,0,162,463
59003,"Burnaby North--Seymour/Burnaby-Nord--Seymour"," 127","Burnaby",57,18,60,4,2,141,396
59003,"Burnaby North--Seymour/Burnaby-Nord--Seymour"," 128","Burnaby",54,9,55,0,0,118,471
59003,"Burnaby North--Seymour/Burnaby-Nord--Seymour"," 129","Burnaby",74,9,52,1,0,136,476
59003,"Burnaby North--Seymour/Burnaby-Nord--Seymour"," 130","Burnaby",52,9,57,1,1,120,443
59003,"Burnaby North--Seymour/Burnaby-Nord--Seymour"," 131","Burnaby",66,9,43,1,2,121,428
59003,"Burnaby North--Seymour/Burnaby-Nord--Seymour"," 132","Burnaby",40,8,53,0,0,101,456
59003,"Burnaby North--Seymour/Burnaby-Nord--Seymour"," 133","Burnaby",73,11,67,1,1,153,646
59003,"Burnaby North--Seymour/Burnaby-Nord--Seymour"," 134","Burnaby",Combined with No./Résultats combinés à ceux du n°136,,,,,,299
59003,"Burnaby North--Seymour/Burnaby-Nord--Seymour"," 135","Burnaby",64,17,40,1,1,123,441
59003,"Burnaby North--Seymour/Burnaby-Nord--Seymour"," 136","Burnaby",94,14,75,0,0,183,372
59003,"Burnaby North--Seymour/Burnaby-Nord--Seymour"," 137","Burnaby",77,14,48,2,2,143,476
59003,"Burnaby North--Seymour/Burnaby-Nord--Seymour"," 138","Burnaby",65,7,40,0,2,114,429
59003,"Burnaby North--Seymour/Burnaby-Nord--Seymour"," 139","Burnaby",45,17,72,1,2,137,475
59003,"Burnaby North--Seymour/Burnaby-Nord--Seymour"," 140","Burnaby",62,12,68,1,0,143,466
59003,"Burnaby North--Seymour/Burnaby-Nord--Seymour"," 141","Burnaby",56,10,59,0,0,125,403
59003,"Burnaby North--Seymour/Burnaby-Nord--Seymour"," 142","Burnaby",52,17,58,2,0,129,464
59003,"Burnaby North--Seymour/Burnaby-Nord--Seymour"," 143","Burnaby",55,14,48,0,0,117,423
59003,"Burnaby North--Seymour/Burnaby-Nord--Seymour"," 144","Burnaby",55,6,45,0,0,106,400
59003,"Burnaby North--Seymour/Burnaby-Nord--Seymour"," 145","Burnaby",71,12,78,1,1,163,503
59003,"Burnaby North--Seymour/Burnaby-Nord--Seymour"," 146","Burnaby",79,3,83,1,1,167,493
59003,"Burnaby North--Seymour/Burnaby-Nord--Seymour"," 147","Burnaby",62,7,76,3,2,150,425
59003,"Burnaby North--Seymour/Burnaby-Nord--Seymour"," 148","Burnaby",72,20,115,0,0,207,470
59003,"Burnaby North--Seymour/Burnaby-Nord--Seymour"," 149","Burnaby",55,11,78,0,0,144,448
59003,"Burnaby North--Seymour/Burnaby-Nord--Seymour"," 150","Burnaby",76,20,56,0,2,154,564
59003,"Burnaby North--Seymour/Burnaby-Nord--Seymour"," 151","Burnaby",65,20,39,3,1,128,384
59003,"Burnaby North--Seymour/Burnaby-Nord--Seymour"," 152","Burnaby",56,9,72,1,0,138,478
59003,"Burnaby North--Seymour/Burnaby-Nord--Seymour"," 153","Burnaby",47,11,39,1,0,98,310
