Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Division Number/Numéro de section de vote,Polling Division Name/Nom de section de vote,Patricia Conlin,Justin Graham,Robert Grossi,Jacob Mantle,Matt Pearce,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35121,"York--Durham/York--Durham"," 134B","Uxbridge",Combined with No./Résultats combinés à ceux du n°131B,,,,,,,73
35121,"York--Durham/York--Durham"," 134C","Uxbridge",Combined with No./Résultats combinés à ceux du n°131C,,,,,,,61
35121,"York--Durham/York--Durham"," 134D","Uxbridge",Combined with No./Résultats combinés à ceux du n°131D,,,,,,,90
35121,"York--Durham/York--Durham"," 135A","Uxbridge",Combined with No./Résultats combinés à ceux du n°131A,,,,,,,79
35121,"York--Durham/York--Durham"," 135B","Uxbridge",Combined with No./Résultats combinés à ceux du n°131B,,,,,,,78
35121,"York--Durham/York--Durham"," 135C","Uxbridge",Combined with No./Résultats combinés à ceux du n°131C,,,,,,,74
35121,"York--Durham/York--Durham"," 135D","Uxbridge",Combined with No./Résultats combinés à ceux du n°131D,,,,,,,64
35121,"York--Durham/York--Durham"," 136A","Uxbridge",Combined with No./Résultats combinés à ceux du n°131A,,,,,,,87
35121,"York--Durham/York--Durham"," 136B","Uxbridge",Combined with No./Résultats combinés à ceux du n°131B,,,,,,,107
35121,"York--Durham/York--Durham"," 136C","Uxbridge",Combined with No./Résultats combinés à ceux du n°131C,,,,,,,87
35121,"York--Durham/York--Durham"," 136D","Uxbridge",Combined with No./Résultats combinés à ceux du n°131D,,,,,,,83
35121,"York--Durham/York--Durham"," 137A","Uxbridge",Combined with No./Résultats combinés à ceux du n°131A,,,,,,,76
35121,"York--Durham/York--Durham"," 137B","Uxbridge",Combined with No./Résultats combinés à ceux du n°131B,,,,,,,71
35121,"York--Durham/York--Durham"," 137C","Uxbridge",Combined with No./Résultats combinés à ceux du n°131C,,,,,,,100
35121,"York--Durham/York--Durham"," 137D","Uxbridge",Combined with No./Résultats combinés à ceux du n°131D,,,,,,,101
35121,"York--Durham/York--Durham"," 138A","Scugog",4,8,60,75,6,0,153,101
35121,"York--Durham/York--Durham"," 138B","Scugog",2,4,73,74,3,2,158,81
35121,"York--Durham/York--Durham"," 138C","Scugog",2,8,113,80,5,1,209,120
35121,"York--Durham/York--Durham"," 138D","Scugog",1,8,57,77,3,1,147,88
35121,"York--Durham/York--Durham"," 139A","Scugog",Combined with No./Résultats combinés à ceux du n°138A,,,,,,,101
35121,"York--Durham/York--Durham"," 139B","Scugog",Combined with No./Résultats combinés à ceux du n°138B,,,,,,,98
35121,"York--Durham/York--Durham"," 139C","Scugog",Combined with No./Résultats combinés à ceux du n°138C,,,,,,,108
35121,"York--Durham/York--Durham"," 139D","Scugog",Combined with No./Résultats combinés à ceux du n°138D,,,,,,,100
35121,"York--Durham/York--Durham"," 140A","Scugog",Combined with No./Résultats combinés à ceux du n°138A,,,,,,,114
35121,"York--Durham/York--Durham"," 140B","Scugog",Combined with No./Résultats combinés à ceux du n°138B,,,,,,,142
35121,"York--Durham/York--Durham"," 140C","Scugog",Combined with No./Résultats combinés à ceux du n°138C,,,,,,,100
35121,"York--Durham/York--Durham"," 140D","Scugog",Combined with No./Résultats combinés à ceux du n°138D,,,,,,,84
35121,"York--Durham/York--Durham"," 141A","Scugog",Combined with No./Résultats combinés à ceux du n°138A,,,,,,,83
35121,"York--Durham/York--Durham"," 141B","Scugog",Combined with No./Résultats combinés à ceux du n°138B,,,,,,,56
35121,"York--Durham/York--Durham"," 141C","Scugog",Combined with No./Résultats combinés à ceux du n°138C,,,,,,,93
35121,"York--Durham/York--Durham"," 141D","Scugog",Combined with No./Résultats combinés à ceux du n°138D,,,,,,,71
35121,"York--Durham/York--Durham"," 142A","Uxbridge",3,5,91,106,2,1,208,161
35121,"York--Durham/York--Durham"," 142B","Uxbridge",2,2,97,89,6,1,197,138
35121,"York--Durham/York--Durham"," 142C","Uxbridge",2,3,91,121,2,0,219,152
35121,"York--Durham/York--Durham"," 142D","Uxbridge",6,1,87,114,1,1,210,172
