Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Division Number/Numéro de section de vote,Polling Division Name/Nom de section de vote,Mathieu Dufort,Gregory Evdokias,Tommy Fournier,Raymond Frizzell,Matthew Rusniak,Francis Scarpaleggia,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24034,"Lac-Saint-Louis/Lac-Saint-Louis"," 403","Pointe-Claire",2,5,5,1,8,153,2,176,237
24034,"Lac-Saint-Louis/Lac-Saint-Louis"," 404","Kirkland",0,2,2,0,6,92,0,102,146
24034,"Lac-Saint-Louis/Lac-Saint-Louis"," 405","Sainte-Anne-de-Bellevue",2,1,5,3,7,62,0,80,214
24034,"Lac-Saint-Louis/Lac-Saint-Louis"," 500","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°506,,,,,,,,122
24034,"Lac-Saint-Louis/Lac-Saint-Louis"," 501","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°520,,,,,,,,23
24034,"Lac-Saint-Louis/Lac-Saint-Louis"," 502","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°506,,,,,,,,18
24034,"Lac-Saint-Louis/Lac-Saint-Louis"," 503","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°506,,,,,,,,49
24034,"Lac-Saint-Louis/Lac-Saint-Louis"," 504","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°515,,,,,,,,133
24034,"Lac-Saint-Louis/Lac-Saint-Louis"," 505","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°512,,,,,,,,77
24034,"Lac-Saint-Louis/Lac-Saint-Louis"," 506","Mobile poll/Bureau itinérant",5,3,9,1,9,75,11,113,128
24034,"Lac-Saint-Louis/Lac-Saint-Louis"," 507","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°506,,,,,,,,82
24034,"Lac-Saint-Louis/Lac-Saint-Louis"," 508","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°512,,,,,,,,130
24034,"Lac-Saint-Louis/Lac-Saint-Louis"," 509","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°515,,,,,,,,85
24034,"Lac-Saint-Louis/Lac-Saint-Louis"," 510","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°515,,,,,,,,85
24034,"Lac-Saint-Louis/Lac-Saint-Louis"," 511","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°515,,,,,,,,88
24034,"Lac-Saint-Louis/Lac-Saint-Louis"," 512","Mobile poll/Bureau itinérant",4,4,19,4,23,184,9,247,180
24034,"Lac-Saint-Louis/Lac-Saint-Louis"," 513","Mobile poll/Bureau itinérant",Void/Supprimé,,,,,,,,
24034,"Lac-Saint-Louis/Lac-Saint-Louis"," 514","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°512,,,,,,,,29
24034,"Lac-Saint-Louis/Lac-Saint-Louis"," 515","Mobile poll/Bureau itinérant",5,11,9,0,23,195,1,244,135
24034,"Lac-Saint-Louis/Lac-Saint-Louis"," 516","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°529,,,,,,,,2
24034,"Lac-Saint-Louis/Lac-Saint-Louis"," 517","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°512,,,,,,,,3
24034,"Lac-Saint-Louis/Lac-Saint-Louis"," 518","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°529,,,,,,,,3
24034,"Lac-Saint-Louis/Lac-Saint-Louis"," 519","Mobile poll/Bureau itinérant",Void/Supprimé,,,,,,,,
24034,"Lac-Saint-Louis/Lac-Saint-Louis"," 520","Mobile poll/Bureau itinérant",0,0,2,1,9,28,0,40,49
24034,"Lac-Saint-Louis/Lac-Saint-Louis"," 521","Beaconsfield",Combined with No./Résultats combinés à ceux du n°167,,,,,,,,1
