Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Division Number/Numéro de section de vote,Polling Division Name/Nom de section de vote,Angie Bonazzo,Jodie Capling,Todd Doherty,Clinton Emslie,Rudy Sans,Kenneth B. Thomson,Jake Wiens,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
59004,"Cariboo--Prince George/Cariboo--Prince George"," 19","Prince George",9,2,88,66,1,0,0,0,166,461
59004,"Cariboo--Prince George/Cariboo--Prince George"," 20","Prince George",18,7,87,73,1,2,1,1,190,424
59004,"Cariboo--Prince George/Cariboo--Prince George"," 21","Prince George",6,4,63,55,0,0,0,1,129,378
59004,"Cariboo--Prince George/Cariboo--Prince George"," 22","Prince George",18,6,71,55,2,0,0,0,152,418
59004,"Cariboo--Prince George/Cariboo--Prince George"," 23","Prince George",12,1,81,61,3,1,2,1,162,447
59004,"Cariboo--Prince George/Cariboo--Prince George"," 24","Prince George",11,2,73,56,4,1,0,0,147,462
59004,"Cariboo--Prince George/Cariboo--Prince George"," 25","Prince George",11,5,52,63,0,2,0,0,133,383
59004,"Cariboo--Prince George/Cariboo--Prince George"," 26","Prince George",8,4,122,63,2,1,2,0,202,562
59004,"Cariboo--Prince George/Cariboo--Prince George"," 27","Prince George",5,0,103,82,2,0,0,0,192,603
59004,"Cariboo--Prince George/Cariboo--Prince George"," 28","Prince George",17,2,104,64,1,0,0,0,188,430
59004,"Cariboo--Prince George/Cariboo--Prince George"," 29","Prince George",18,1,79,44,0,0,1,1,144,452
59004,"Cariboo--Prince George/Cariboo--Prince George"," 30","Prince George",12,2,97,40,1,1,0,1,154,442
59004,"Cariboo--Prince George/Cariboo--Prince George"," 31","Prince George",15,3,81,60,3,2,0,2,166,449
59004,"Cariboo--Prince George/Cariboo--Prince George"," 32","Prince George",15,0,69,57,0,1,0,4,146,499
59004,"Cariboo--Prince George/Cariboo--Prince George"," 33","Prince George",7,5,77,43,0,0,0,0,132,431
59004,"Cariboo--Prince George/Cariboo--Prince George"," 34","Prince George",12,0,56,41,1,0,0,0,110,342
59004,"Cariboo--Prince George/Cariboo--Prince George"," 35","Prince George",26,3,103,64,2,1,1,0,200,502
59004,"Cariboo--Prince George/Cariboo--Prince George"," 36","Prince George",13,5,65,49,0,0,0,0,132,414
59004,"Cariboo--Prince George/Cariboo--Prince George"," 37","Prince George",16,4,80,45,1,0,2,1,149,519
59004,"Cariboo--Prince George/Cariboo--Prince George"," 38","Prince George",22,3,101,49,0,0,0,1,176,505
59004,"Cariboo--Prince George/Cariboo--Prince George"," 39","Prince George",18,2,80,32,0,1,0,0,133,492
59004,"Cariboo--Prince George/Cariboo--Prince George"," 40","Prince George",13,5,74,60,1,0,0,2,155,488
59004,"Cariboo--Prince George/Cariboo--Prince George"," 41","Prince George",16,5,97,61,0,0,0,1,180,472
59004,"Cariboo--Prince George/Cariboo--Prince George"," 42","Prince George",14,3,60,59,2,0,1,0,139,417
59004,"Cariboo--Prince George/Cariboo--Prince George"," 43","Prince George",9,5,98,63,0,2,1,0,178,453
59004,"Cariboo--Prince George/Cariboo--Prince George"," 44","Prince George",15,3,85,53,4,1,0,0,161,441
59004,"Cariboo--Prince George/Cariboo--Prince George"," 45","Prince George",15,0,79,51,0,4,0,0,149,432
59004,"Cariboo--Prince George/Cariboo--Prince George"," 46","Prince George",13,3,51,51,0,0,0,0,118,384
59004,"Cariboo--Prince George/Cariboo--Prince George"," 47","Prince George",23,8,100,88,0,0,0,2,221,728
59004,"Cariboo--Prince George/Cariboo--Prince George"," 48","Prince George",15,3,49,39,0,1,0,0,107,361
59004,"Cariboo--Prince George/Cariboo--Prince George"," 49","Prince George",14,2,82,43,1,1,0,0,143,409
59004,"Cariboo--Prince George/Cariboo--Prince George"," 50","Prince George",8,2,30,27,0,1,0,0,68,273
59004,"Cariboo--Prince George/Cariboo--Prince George"," 51A","Prince George",13,4,55,38,1,1,0,0,112,374
59004,"Cariboo--Prince George/Cariboo--Prince George"," 51B","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°503,,,,,,,,,32
59004,"Cariboo--Prince George/Cariboo--Prince George"," 52","Prince George",8,1,53,47,0,1,0,0,110,350
59004,"Cariboo--Prince George/Cariboo--Prince George"," 53","Prince George",22,1,86,49,0,1,0,1,160,430
59004,"Cariboo--Prince George/Cariboo--Prince George"," 54","Prince George",21,4,75,64,1,0,2,0,167,417
59004,"Cariboo--Prince George/Cariboo--Prince George"," 55","Prince George",17,7,93,62,2,3,1,0,185,622
59004,"Cariboo--Prince George/Cariboo--Prince George"," 56","Prince George",12,2,106,79,0,0,2,1,202,538
59004,"Cariboo--Prince George/Cariboo--Prince George"," 57","Prince George",26,6,133,101,3,1,0,0,270,696
59004,"Cariboo--Prince George/Cariboo--Prince George"," 58","Prince George",15,6,94,54,1,0,0,2,172,439
59004,"Cariboo--Prince George/Cariboo--Prince George"," 59","Prince George",13,2,80,41,4,0,0,0,140,391
59004,"Cariboo--Prince George/Cariboo--Prince George"," 60","Prince George",8,2,113,58,1,0,1,1,184,395
59004,"Cariboo--Prince George/Cariboo--Prince George"," 61","Prince George",18,1,84,31,1,0,0,1,136,359
59004,"Cariboo--Prince George/Cariboo--Prince George"," 62","Prince George",8,1,70,85,0,1,0,0,165,372
59004,"Cariboo--Prince George/Cariboo--Prince George"," 63","Prince George",11,2,77,81,0,1,0,1,173,601
59004,"Cariboo--Prince George/Cariboo--Prince George"," 64","Prince George",16,1,119,61,0,0,0,0,197,583
59004,"Cariboo--Prince George/Cariboo--Prince George"," 65","Prince George",17,3,96,72,2,0,0,0,190,517
59004,"Cariboo--Prince George/Cariboo--Prince George"," 66","Prince George",13,0,84,42,0,0,0,0,139,524
59004,"Cariboo--Prince George/Cariboo--Prince George"," 67","Prince George",22,4,92,73,0,0,2,0,193,543
59004,"Cariboo--Prince George/Cariboo--Prince George"," 68","Prince George",4,3,81,44,0,0,1,0,133,497
59004,"Cariboo--Prince George/Cariboo--Prince George"," 69","Prince George",5,1,77,49,0,0,2,0,134,435
59004,"Cariboo--Prince George/Cariboo--Prince George"," 70","Prince George",2,2,53,37,1,0,1,0,96,361
59004,"Cariboo--Prince George/Cariboo--Prince George"," 71","Prince George",23,3,99,44,3,0,0,1,173,530
59004,"Cariboo--Prince George/Cariboo--Prince George"," 72","Prince George",12,1,70,52,1,0,0,2,138,440
59004,"Cariboo--Prince George/Cariboo--Prince George"," 73","Prince George",9,7,100,73,0,0,0,0,189,552
59004,"Cariboo--Prince George/Cariboo--Prince George"," 74","Prince George",10,3,67,42,1,0,2,0,125,318
59004,"Cariboo--Prince George/Cariboo--Prince George"," 75","Prince George",6,1,92,38,0,0,1,1,139,361
59004,"Cariboo--Prince George/Cariboo--Prince George"," 76","Prince George",6,3,73,42,0,0,0,1,125,412
