Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Division Number/Numéro de section de vote,Polling Division Name/Nom de section de vote,Albert Batten,Serge Dubord,Robert Fleming,Jean-Denis Garon,Mario Guay,Christian Montpetit,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24047,"Mirabel/Mirabel"," 508","Saint-Placide",Combined with No./Résultats combinés à ceux du n°163,,,,,,,,4
24047,"Mirabel/Mirabel"," 509","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°500,,,,,,,,27
24047,"Mirabel/Mirabel"," 510","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°500,,,,,,,,6
24047,"Mirabel/Mirabel"," 600","Mirabel",11,116,301,338,2,2,9,779,
24047,"Mirabel/Mirabel"," 601","Mirabel",38,206,508,579,19,7,17,1374,
24047,"Mirabel/Mirabel"," 602","Mirabel",22,148,424,479,13,10,16,1112,
24047,"Mirabel/Mirabel"," 603","Mirabel",25,312,706,563,3,10,9,1628,
24047,"Mirabel/Mirabel"," 604","Mirabel",27,248,573,554,10,10,17,1439,
24047,"Mirabel/Mirabel"," 605","Mirabel",14,146,261,336,6,4,9,776,
24047,"Mirabel/Mirabel"," 606","Mirabel",20,277,499,502,11,4,17,1330,
24047,"Mirabel/Mirabel"," 607","Mirabel",25,219,405,450,9,4,14,1126,
24047,"Mirabel/Mirabel"," 608","Mirabel",8,72,143,252,5,2,16,498,
24047,"Mirabel/Mirabel"," 609","Mirabel",10,137,160,213,3,4,8,535,
24047,"Mirabel/Mirabel"," 610","Mirabel",24,196,387,581,16,5,11,1220,
24047,"Mirabel/Mirabel"," 611","Saint-Eustache",13,104,229,218,4,3,5,576,
24047,"Mirabel/Mirabel"," 612","Sainte-Marthe-sur-le-Lac",29,210,630,516,9,4,18,1416,
24047,"Mirabel/Mirabel"," 613","Sainte-Marthe-sur-le-Lac",40,177,583,430,19,8,16,1273,
24047,"Mirabel/Mirabel"," 614","Sainte-Marthe-sur-le-Lac",32,240,588,519,14,9,13,1415,
24047,"Mirabel/Mirabel"," 615","Saint-Joseph-du-Lac",19,222,423,493,12,7,23,1199,
24047,"Mirabel/Mirabel"," 616","Pointe-Calumet",25,238,382,499,18,8,16,1186,
24047,"Mirabel/Mirabel"," 617","Oka",18,146,407,363,6,13,10,963,
24047,"Mirabel/Mirabel"," 618","Kanesatake",Combined with No./Résultats combinés à ceux du n°617,,,,,,,,
24047,"Mirabel/Mirabel"," 619","Saint-Placide",6,62,135,230,2,6,5,446,
24047,"Mirabel/Mirabel",,Group 1/Groupe 1, 18,97,179,151,2,3,37,487,59
24047,"Mirabel/Mirabel",,Group 2/Groupe 2, 4,77,165,114,3,10,26,399,
