Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Division Number/Numéro de section de vote,Polling Division Name/Nom de section de vote,Louis Bellemare,Danick Bisson,Paul Cyr,Dominique Harrisson,Bladimir Laborit Infante,Pierre Paul-Hus,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24016,"Charlesbourg--Haute-Saint-Charles/Charlesbourg--Haute-Saint-Charles"," 524","Mobile poll/Bureau itinérant",65,1,2,3,11,14,7,103,163
24016,"Charlesbourg--Haute-Saint-Charles/Charlesbourg--Haute-Saint-Charles"," 600","Québec",376,6,11,28,195,802,17,1435,
24016,"Charlesbourg--Haute-Saint-Charles/Charlesbourg--Haute-Saint-Charles"," 601","Québec",484,4,11,13,263,701,18,1494,
24016,"Charlesbourg--Haute-Saint-Charles/Charlesbourg--Haute-Saint-Charles"," 602","Québec",552,5,11,37,271,590,11,1477,
24016,"Charlesbourg--Haute-Saint-Charles/Charlesbourg--Haute-Saint-Charles"," 603","Québec",633,2,13,18,278,525,15,1484,
24016,"Charlesbourg--Haute-Saint-Charles/Charlesbourg--Haute-Saint-Charles"," 604","Québec",506,7,10,23,266,417,14,1243,
24016,"Charlesbourg--Haute-Saint-Charles/Charlesbourg--Haute-Saint-Charles"," 605","Québec",497,6,10,29,315,406,15,1278,
24016,"Charlesbourg--Haute-Saint-Charles/Charlesbourg--Haute-Saint-Charles"," 606","Québec",466,2,7,16,216,292,15,1014,
24016,"Charlesbourg--Haute-Saint-Charles/Charlesbourg--Haute-Saint-Charles"," 607","Québec",517,4,6,30,298,382,12,1249,
24016,"Charlesbourg--Haute-Saint-Charles/Charlesbourg--Haute-Saint-Charles"," 608","Québec",407,10,11,45,218,353,16,1060,
24016,"Charlesbourg--Haute-Saint-Charles/Charlesbourg--Haute-Saint-Charles"," 609","Québec",357,4,10,17,188,287,12,875,
24016,"Charlesbourg--Haute-Saint-Charles/Charlesbourg--Haute-Saint-Charles"," 610","Québec",540,6,3,16,265,417,12,1259,
24016,"Charlesbourg--Haute-Saint-Charles/Charlesbourg--Haute-Saint-Charles"," 611","Québec",552,9,17,45,275,514,22,1434,
24016,"Charlesbourg--Haute-Saint-Charles/Charlesbourg--Haute-Saint-Charles"," 612","Québec",523,3,3,29,229,615,15,1417,
24016,"Charlesbourg--Haute-Saint-Charles/Charlesbourg--Haute-Saint-Charles"," 613","Québec",606,6,12,39,304,554,9,1530,
24016,"Charlesbourg--Haute-Saint-Charles/Charlesbourg--Haute-Saint-Charles"," 614","Québec",712,6,15,23,291,520,15,1582,
24016,"Charlesbourg--Haute-Saint-Charles/Charlesbourg--Haute-Saint-Charles"," 615","Québec",533,17,8,45,289,908,16,1816,
24016,"Charlesbourg--Haute-Saint-Charles/Charlesbourg--Haute-Saint-Charles"," 616","Québec",598,9,11,43,252,877,19,1809,
24016,"Charlesbourg--Haute-Saint-Charles/Charlesbourg--Haute-Saint-Charles"," 617","Québec",535,7,9,28,248,659,18,1504,
24016,"Charlesbourg--Haute-Saint-Charles/Charlesbourg--Haute-Saint-Charles"," 618","Québec",415,6,6,16,213,811,13,1480,
24016,"Charlesbourg--Haute-Saint-Charles/Charlesbourg--Haute-Saint-Charles",,Group 1/Groupe 1, 248,7,2,19,66,253,41,636,121
24016,"Charlesbourg--Haute-Saint-Charles/Charlesbourg--Haute-Saint-Charles",,Group 2/Groupe 2, 515,3,7,21,161,385,12,1104,
