Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Division Number/Numéro de section de vote,Polling Division Name/Nom de section de vote,Ken Charko,Tom Digby,John Odan Ede,Alim Fakirani,Wade Grant,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
59040,"Vancouver Quadra/Vancouver Quadra"," 84","Vancouver",23,3,0,6,49,0,81,444
59040,"Vancouver Quadra/Vancouver Quadra"," 85","Vancouver",47,2,0,5,59,0,113,469
59040,"Vancouver Quadra/Vancouver Quadra"," 86","Vancouver",24,1,0,5,81,3,114,526
59040,"Vancouver Quadra/Vancouver Quadra"," 87","Vancouver",46,6,0,5,79,0,136,554
59040,"Vancouver Quadra/Vancouver Quadra"," 88","Vancouver",42,2,0,3,44,0,91,395
59040,"Vancouver Quadra/Vancouver Quadra"," 89","Vancouver",55,0,0,3,69,0,127,536
59040,"Vancouver Quadra/Vancouver Quadra"," 90","Vancouver",40,2,0,6,78,0,126,583
59040,"Vancouver Quadra/Vancouver Quadra"," 91","Vancouver",55,2,1,2,57,0,117,489
59040,"Vancouver Quadra/Vancouver Quadra"," 92","Vancouver",75,4,1,10,83,0,173,638
59040,"Vancouver Quadra/Vancouver Quadra"," 93","Vancouver",73,1,1,7,70,0,152,491
59040,"Vancouver Quadra/Vancouver Quadra"," 94","Vancouver",64,1,0,3,74,4,146,543
59040,"Vancouver Quadra/Vancouver Quadra"," 95","Vancouver",72,1,0,4,91,0,168,540
59040,"Vancouver Quadra/Vancouver Quadra"," 96","Vancouver",82,5,0,7,76,0,170,540
59040,"Vancouver Quadra/Vancouver Quadra"," 97","Vancouver",46,3,0,5,92,0,146,586
59040,"Vancouver Quadra/Vancouver Quadra"," 98","Vancouver",74,7,0,9,97,0,187,571
59040,"Vancouver Quadra/Vancouver Quadra"," 99","Vancouver",67,2,0,6,73,1,149,603
59040,"Vancouver Quadra/Vancouver Quadra"," 100","Vancouver",60,0,0,6,65,0,131,518
59040,"Vancouver Quadra/Vancouver Quadra"," 101","Vancouver",67,2,1,1,71,0,142,601
59040,"Vancouver Quadra/Vancouver Quadra"," 102","Vancouver",32,1,0,0,59,0,92,531
59040,"Vancouver Quadra/Vancouver Quadra"," 103","Vancouver",64,0,0,1,63,1,129,602
59040,"Vancouver Quadra/Vancouver Quadra"," 104","Vancouver",91,0,2,9,70,2,174,534
59040,"Vancouver Quadra/Vancouver Quadra"," 105","Vancouver",69,3,4,2,62,0,140,495
59040,"Vancouver Quadra/Vancouver Quadra"," 106","Vancouver",35,2,0,1,53,0,91,477
59040,"Vancouver Quadra/Vancouver Quadra"," 107","Vancouver",46,3,0,5,74,0,128,571
59040,"Vancouver Quadra/Vancouver Quadra"," 108","Vancouver",59,1,1,7,45,1,114,457
59040,"Vancouver Quadra/Vancouver Quadra"," 109","Vancouver",57,4,0,4,71,0,136,458
59040,"Vancouver Quadra/Vancouver Quadra"," 110","Vancouver",85,6,4,11,120,0,226,710
59040,"Vancouver Quadra/Vancouver Quadra"," 111","Vancouver",104,0,0,8,71,1,184,527
59040,"Vancouver Quadra/Vancouver Quadra"," 112","Musqueam 2",50,1,1,1,76,0,129,412
59040,"Vancouver Quadra/Vancouver Quadra"," 113","Musqueam 2",39,4,1,5,130,0,179,416
59040,"Vancouver Quadra/Vancouver Quadra"," 114","Vancouver",80,0,0,1,64,4,149,539
59040,"Vancouver Quadra/Vancouver Quadra"," 115","Vancouver",75,0,1,2,73,0,151,510
59040,"Vancouver Quadra/Vancouver Quadra"," 116","Vancouver",47,1,0,3,77,2,130,539
59040,"Vancouver Quadra/Vancouver Quadra"," 117","Musqueam 2",20,1,0,9,183,0,213,496
59040,"Vancouver Quadra/Vancouver Quadra"," 118","Vancouver",58,3,1,1,73,1,137,614
59040,"Vancouver Quadra/Vancouver Quadra"," 119","Vancouver",60,0,0,3,70,0,133,568
59040,"Vancouver Quadra/Vancouver Quadra"," 120","Vancouver",63,5,0,10,94,0,172,573
59040,"Vancouver Quadra/Vancouver Quadra"," 121","Vancouver",62,2,1,5,68,0,138,601
59040,"Vancouver Quadra/Vancouver Quadra"," 122","Vancouver",62,7,0,4,88,0,161,599
59040,"Vancouver Quadra/Vancouver Quadra"," 123","Vancouver",62,3,1,4,89,0,159,573
59040,"Vancouver Quadra/Vancouver Quadra"," 124","Vancouver",54,2,1,5,65,0,127,442
59040,"Vancouver Quadra/Vancouver Quadra"," 125","Vancouver",32,2,1,6,57,0,98,456
59040,"Vancouver Quadra/Vancouver Quadra"," 126","Vancouver",67,5,0,2,83,0,157,503
59040,"Vancouver Quadra/Vancouver Quadra"," 127","Vancouver",33,5,0,7,48,0,93,493
59040,"Vancouver Quadra/Vancouver Quadra"," 128","Vancouver",33,4,0,3,67,0,107,564
59040,"Vancouver Quadra/Vancouver Quadra"," 129","Vancouver",31,2,0,6,49,0,88,504
59040,"Vancouver Quadra/Vancouver Quadra"," 130","Vancouver",41,6,1,5,44,4,101,528
59040,"Vancouver Quadra/Vancouver Quadra"," 131","Vancouver",27,1,0,5,63,0,96,589
