Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Division Number/Numéro de section de vote,Polling Division Name/Nom de section de vote,Cody Chenier,Sandy Crawley,Carla Green,Matthew Green,Hayden Lawrence,Michael Loomans,Aslam Rana,David Speicher,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35036,"Hamilton Centre/Hamilton-Centre"," 175","Hamilton",0,2,1,53,55,1,81,0,0,193,393
35036,"Hamilton Centre/Hamilton-Centre"," 176","Hamilton",0,3,0,75,87,0,98,1,1,265,464
35036,"Hamilton Centre/Hamilton-Centre"," 177","Hamilton",1,3,0,62,51,0,95,0,2,214,389
35036,"Hamilton Centre/Hamilton-Centre"," 178","Hamilton",0,5,0,66,77,0,85,2,2,237,459
35036,"Hamilton Centre/Hamilton-Centre"," 179","Hamilton",0,0,0,51,92,0,57,1,0,201,566
35036,"Hamilton Centre/Hamilton-Centre"," 180","Hamilton",2,2,1,45,87,0,48,1,0,186,527
35036,"Hamilton Centre/Hamilton-Centre"," 181","Hamilton",0,0,0,19,43,0,32,1,1,96,357
35036,"Hamilton Centre/Hamilton-Centre"," 182","Hamilton",0,1,0,30,53,0,45,2,2,133,382
35036,"Hamilton Centre/Hamilton-Centre"," 183","Hamilton",1,5,0,38,66,0,42,5,1,158,503
35036,"Hamilton Centre/Hamilton-Centre"," 184","Hamilton",0,1,0,12,52,0,33,1,0,99,333
35036,"Hamilton Centre/Hamilton-Centre"," 185","Hamilton",0,1,0,31,86,0,73,1,0,192,483
35036,"Hamilton Centre/Hamilton-Centre"," 186","Hamilton",2,4,1,25,55,0,42,3,0,132,253
35036,"Hamilton Centre/Hamilton-Centre"," 187","Hamilton",2,1,5,33,109,1,88,2,0,241,512
35036,"Hamilton Centre/Hamilton-Centre"," 188","Hamilton",0,3,3,41,131,1,123,3,2,307,658
35036,"Hamilton Centre/Hamilton-Centre"," 189","Hamilton",0,2,0,40,129,1,68,6,1,247,598
35036,"Hamilton Centre/Hamilton-Centre"," 190","Hamilton",0,5,2,37,87,0,63,7,3,204,528
35036,"Hamilton Centre/Hamilton-Centre"," 191","Hamilton",2,3,2,35,114,0,85,4,0,245,588
35036,"Hamilton Centre/Hamilton-Centre"," 192","Hamilton",1,2,2,38,103,1,74,3,0,224,556
35036,"Hamilton Centre/Hamilton-Centre"," 193","Hamilton",0,2,2,21,89,0,45,2,0,161,342
35036,"Hamilton Centre/Hamilton-Centre"," 400","Hamilton",0,1,1,27,23,0,26,2,1,81,227
35036,"Hamilton Centre/Hamilton-Centre"," 401","Hamilton",1,3,5,78,33,0,80,0,9,209,419
35036,"Hamilton Centre/Hamilton-Centre"," 402","Hamilton",1,0,5,62,27,0,32,1,0,128,269
35036,"Hamilton Centre/Hamilton-Centre"," 403","Hamilton",1,4,1,60,37,0,50,4,5,162,345
35036,"Hamilton Centre/Hamilton-Centre"," 404","Hamilton",0,2,0,23,43,0,55,1,0,124,308
35036,"Hamilton Centre/Hamilton-Centre"," 500","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°515,,,,,,,,,,25
35036,"Hamilton Centre/Hamilton-Centre"," 501","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°502,,,,,,,,,,22
35036,"Hamilton Centre/Hamilton-Centre"," 502","Mobile poll/Bureau itinérant",0,3,3,8,4,0,12,0,0,30,72
35036,"Hamilton Centre/Hamilton-Centre"," 503","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°508,,,,,,,,,,55
35036,"Hamilton Centre/Hamilton-Centre"," 504","Mobile poll/Bureau itinérant",1,1,1,16,5,1,10,0,0,35,60
35036,"Hamilton Centre/Hamilton-Centre"," 505","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°524,,,,,,,,,,75
35036,"Hamilton Centre/Hamilton-Centre"," 506","Mobile poll/Bureau itinérant",2,1,2,22,20,2,18,2,2,71,111
35036,"Hamilton Centre/Hamilton-Centre"," 507","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°508,,,,,,,,,,9
35036,"Hamilton Centre/Hamilton-Centre"," 508","Mobile poll/Bureau itinérant",1,1,1,14,9,0,14,1,1,42,48
35036,"Hamilton Centre/Hamilton-Centre"," 509","Mobile poll/Bureau itinérant",2,3,0,19,9,1,17,5,7,63,93
35036,"Hamilton Centre/Hamilton-Centre"," 510","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°525,,,,,,,,,,19
35036,"Hamilton Centre/Hamilton-Centre"," 511","Hamilton",Combined with No./Résultats combinés à ceux du n°118,,,,,,,,,,10
35036,"Hamilton Centre/Hamilton-Centre"," 512","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°525,,,,,,,,,,19
35036,"Hamilton Centre/Hamilton-Centre"," 513","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°502,,,,,,,,,,13
35036,"Hamilton Centre/Hamilton-Centre"," 514","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°509,,,,,,,,,,19
35036,"Hamilton Centre/Hamilton-Centre"," 515","Mobile poll/Bureau itinérant",0,1,0,18,15,2,25,0,0,61,71
35036,"Hamilton Centre/Hamilton-Centre"," 516","Hamilton",Combined with No./Résultats combinés à ceux du n°111,,,,,,,,,,10
35036,"Hamilton Centre/Hamilton-Centre"," 517","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°506,,,,,,,,,,19
35036,"Hamilton Centre/Hamilton-Centre"," 518","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°523,,,,,,,,,,15
35036,"Hamilton Centre/Hamilton-Centre"," 519","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°523,,,,,,,,,,23
