Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Division Number/Numéro de section de vote,Polling Division Name/Nom de section de vote,Amélie Charbonneau,Marie-Hélène Gaudreau,Michel Le Comte,Michel Noël De Tilly,Daniel Paquette,Emrick Vienneau,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24036,"Laurentides--Labelle/Laurentides--Labelle"," 148","Sainte-Agathe-des-Monts",0,93,1,4,31,45,3,177,583
24036,"Laurentides--Labelle/Laurentides--Labelle"," 149A","Sainte-Agathe-des-Monts",4,69,1,7,32,35,2,150,573
24036,"Laurentides--Labelle/Laurentides--Labelle"," 149B","Sainte-Agathe-des-Monts",Combined with No./Résultats combinés à ceux du n°151,,,,,,,,79
24036,"Laurentides--Labelle/Laurentides--Labelle"," 150","Sainte-Agathe-des-Monts",3,79,4,6,23,40,4,159,527
24036,"Laurentides--Labelle/Laurentides--Labelle"," 151","Sainte-Agathe-des-Monts",0,94,1,5,37,40,4,181,506
24036,"Laurentides--Labelle/Laurentides--Labelle"," 152","Sainte-Agathe-des-Monts",3,63,2,7,33,29,7,144,510
24036,"Laurentides--Labelle/Laurentides--Labelle"," 153A","Sainte-Agathe-des-Monts",1,73,5,7,13,45,0,144,552
24036,"Laurentides--Labelle/Laurentides--Labelle"," 153B","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°524,,,,,,,,48
24036,"Laurentides--Labelle/Laurentides--Labelle"," 154","Ivry",3,78,5,5,19,66,2,178,425
24036,"Laurentides--Labelle/Laurentides--Labelle"," 155","Saint-Faustin",3,83,5,7,28,49,5,180,490
24036,"Laurentides--Labelle/Laurentides--Labelle"," 156","Saint-Faustin--Lac-Carré",5,83,0,4,42,56,1,191,478
24036,"Laurentides--Labelle/Laurentides--Labelle"," 157","Saint-Faustin",6,70,9,5,39,68,6,203,454
24036,"Laurentides--Labelle/Laurentides--Labelle"," 158","Saint-Faustin--Lac-Carré",4,96,6,2,47,40,2,197,442
24036,"Laurentides--Labelle/Laurentides--Labelle"," 159A","Sainte-Agathe-des-Monts",2,90,8,6,44,38,5,193,564
24036,"Laurentides--Labelle/Laurentides--Labelle"," 159B","Sainte-Agathe-des-Monts",Combined with No./Résultats combinés à ceux du n°161,,,,,,,,68
24036,"Laurentides--Labelle/Laurentides--Labelle"," 160","Sainte-Agathe-des-Monts",4,66,2,7,21,38,5,143,554
