Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Diane Beauregard,Meryem Benslimane,Micheline Boucher Granger,Pierre Branchaud,Josée Larose,Monique Pauzé,Samuel Saint-Laurent,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24060,"Repentigny/Repentigny"," 105","Repentigny",7,25,1,27,111,78,0,5,254,491
24060,"Repentigny/Repentigny"," 106","Repentigny",9,14,1,17,132,89,1,5,268,493
24060,"Repentigny/Repentigny"," 107","Repentigny",8,18,1,13,96,82,4,3,225,470
24060,"Repentigny/Repentigny"," 108","Repentigny",9,19,0,14,64,99,3,2,210,489
24060,"Repentigny/Repentigny"," 109","Repentigny",7,18,0,26,91,93,3,5,243,489
24060,"Repentigny/Repentigny"," 110","Repentigny",1,19,2,21,103,76,0,4,226,431
24060,"Repentigny/Repentigny"," 111","Repentigny",8,20,1,19,67,128,0,1,244,430
24060,"Repentigny/Repentigny"," 112","Repentigny",5,20,2,19,102,90,0,4,242,445
24060,"Repentigny/Repentigny"," 113","Repentigny",6,21,1,13,76,91,3,3,214,442
24060,"Repentigny/Repentigny"," 114","Repentigny",7,22,0,12,57,81,0,1,180,348
24060,"Repentigny/Repentigny"," 115","Repentigny",6,15,0,11,41,81,0,1,155,293
24060,"Repentigny/Repentigny"," 116","Repentigny",9,16,0,6,45,90,1,2,169,385
24060,"Repentigny/Repentigny"," 117","Repentigny",8,15,0,9,31,72,0,1,136,330
24060,"Repentigny/Repentigny"," 118","Repentigny",4,15,1,10,58,86,3,2,179,348
24060,"Repentigny/Repentigny"," 119","Repentigny",1,14,1,10,55,88,0,3,172,338
24060,"Repentigny/Repentigny"," 120","Repentigny",9,11,2,15,43,77,4,4,165,396
24060,"Repentigny/Repentigny"," 121","Repentigny",3,14,0,25,78,90,0,2,212,398
24060,"Repentigny/Repentigny"," 122","Repentigny",4,8,0,17,89,77,1,1,197,393
24060,"Repentigny/Repentigny"," 123","Repentigny",9,19,1,14,53,127,3,4,230,466
24060,"Repentigny/Repentigny"," 124","Repentigny",4,13,2,12,59,110,1,4,205,459
24060,"Repentigny/Repentigny"," 125","Repentigny",2,8,0,12,54,82,0,2,160,294
24060,"Repentigny/Repentigny"," 126","Repentigny",3,7,1,7,27,82,3,5,135,310
24060,"Repentigny/Repentigny"," 127","Repentigny",5,10,3,8,43,84,2,3,158,288
24060,"Repentigny/Repentigny"," 128","Repentigny",3,14,6,13,92,148,3,10,289,456
24060,"Repentigny/Repentigny"," 129","Repentigny",8,17,1,11,42,60,0,5,144,297
24060,"Repentigny/Repentigny"," 130","Repentigny",1,14,0,4,40,73,4,2,138,279
24060,"Repentigny/Repentigny"," 131","Repentigny",4,3,0,3,27,59,2,1,99,263
24060,"Repentigny/Repentigny"," 132","Repentigny",8,15,0,9,29,73,2,3,139,395
24060,"Repentigny/Repentigny"," 133","Repentigny",12,14,1,14,63,120,0,8,232,387
24060,"Repentigny/Repentigny"," 134","Repentigny",10,14,0,9,53,79,3,7,175,335
24060,"Repentigny/Repentigny"," 135","Repentigny",6,10,1,17,56,77,0,0,167,380
24060,"Repentigny/Repentigny"," 136","Repentigny",10,7,1,20,37,108,2,2,187,370
24060,"Repentigny/Repentigny"," 137","Repentigny",8,16,2,15,41,124,1,5,212,376
24060,"Repentigny/Repentigny"," 138","Repentigny",6,18,0,16,33,102,4,12,191,482
24060,"Repentigny/Repentigny"," 139","Repentigny",3,14,0,8,32,99,2,8,166,384
24060,"Repentigny/Repentigny"," 140","Repentigny",11,17,0,9,49,113,2,6,207,410
24060,"Repentigny/Repentigny"," 141","Repentigny",7,24,0,9,56,100,0,2,198,414
24060,"Repentigny/Repentigny"," 142","Repentigny",5,15,1,12,38,84,1,4,160,395
24060,"Repentigny/Repentigny"," 143","Repentigny",5,13,1,11,49,93,3,3,178,386
24060,"Repentigny/Repentigny"," 144","Repentigny",2,10,0,14,45,108,1,6,186,420
24060,"Repentigny/Repentigny"," 145","Repentigny",11,26,0,12,66,96,3,1,215,393
24060,"Repentigny/Repentigny"," 146","Repentigny",20,20,1,17,36,112,7,5,218,448
24060,"Repentigny/Repentigny"," 147","Repentigny",2,5,2,8,23,66,0,8,114,331
24060,"Repentigny/Repentigny"," 148","Repentigny",4,11,2,8,28,61,1,4,119,334
24060,"Repentigny/Repentigny"," 149","Repentigny",5,7,2,18,46,125,0,4,207,350
24060,"Repentigny/Repentigny"," 150","Repentigny",4,21,3,12,36,81,2,2,161,436
24060,"Repentigny/Repentigny"," 151","Repentigny",3,18,3,10,37,74,2,5,152,417
24060,"Repentigny/Repentigny"," 152","Repentigny",12,18,0,9,45,122,1,3,210,408
24060,"Repentigny/Repentigny"," 153","Repentigny",7,17,0,19,53,111,3,2,212,430
24060,"Repentigny/Repentigny"," 154","Repentigny",13,13,1,18,48,132,0,5,230,470
24060,"Repentigny/Repentigny"," 155","Repentigny",14,30,1,5,63,146,2,2,263,447
24060,"Repentigny/Repentigny"," 156","Repentigny",4,13,1,11,63,90,1,7,190,394
