Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Richard Cannings,Connie Denesiuk,Carolina Hopkins,Tara Howse,Helena Konanz,Sean Taylor,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
59029,"South Okanagan--West Kootenay/Okanagan-Sud--Kootenay-Ouest"," 123","Grand Forks",59,16,0,11,66,3,0,155,329
59029,"South Okanagan--West Kootenay/Okanagan-Sud--Kootenay-Ouest"," 124","Grand Forks",71,37,0,15,85,2,1,211,514
59029,"South Okanagan--West Kootenay/Okanagan-Sud--Kootenay-Ouest"," 125","Grand Forks",46,17,4,12,42,7,0,128,310
59029,"South Okanagan--West Kootenay/Okanagan-Sud--Kootenay-Ouest"," 126","Grand Forks",75,29,2,26,65,7,1,205,518
59029,"South Okanagan--West Kootenay/Okanagan-Sud--Kootenay-Ouest"," 127","Grand Forks",63,17,1,10,67,2,0,160,404
59029,"South Okanagan--West Kootenay/Okanagan-Sud--Kootenay-Ouest"," 128","Grand Forks",35,20,0,6,61,2,0,124,309
59029,"South Okanagan--West Kootenay/Okanagan-Sud--Kootenay-Ouest"," 129","Grand Forks",96,26,2,19,75,8,0,226,515
59029,"South Okanagan--West Kootenay/Okanagan-Sud--Kootenay-Ouest"," 130","Grand Forks",53,18,2,14,76,6,3,172,376
59029,"South Okanagan--West Kootenay/Okanagan-Sud--Kootenay-Ouest"," 131","Grand Forks",57,18,1,11,54,6,5,152,366
59029,"South Okanagan--West Kootenay/Okanagan-Sud--Kootenay-Ouest"," 132","Grand Forks",41,12,0,17,71,5,0,146,301
59029,"South Okanagan--West Kootenay/Okanagan-Sud--Kootenay-Ouest"," 133","Vallican",123,8,0,32,22,5,0,190,375
59029,"South Okanagan--West Kootenay/Okanagan-Sud--Kootenay-Ouest"," 134","Appledale",156,8,1,38,33,12,1,249,432
59029,"South Okanagan--West Kootenay/Okanagan-Sud--Kootenay-Ouest"," 135","Vallican",123,18,1,38,30,10,1,221,426
59029,"South Okanagan--West Kootenay/Okanagan-Sud--Kootenay-Ouest"," 136","Winlaw",113,12,1,31,25,4,1,187,310
59029,"South Okanagan--West Kootenay/Okanagan-Sud--Kootenay-Ouest"," 137","Slocan Park",83,13,0,22,31,4,0,153,441
59029,"South Okanagan--West Kootenay/Okanagan-Sud--Kootenay-Ouest"," 138","Deer Park",77,21,1,15,89,4,0,207,428
59029,"South Okanagan--West Kootenay/Okanagan-Sud--Kootenay-Ouest"," 139","Pass Creek",90,16,0,31,59,8,1,205,429
59029,"South Okanagan--West Kootenay/Okanagan-Sud--Kootenay-Ouest"," 140","Thrums",52,11,0,23,28,5,0,119,315
59029,"South Okanagan--West Kootenay/Okanagan-Sud--Kootenay-Ouest"," 141","Robson",107,14,0,21,74,2,1,219,365
59029,"South Okanagan--West Kootenay/Okanagan-Sud--Kootenay-Ouest"," 142","Thrums",70,15,0,19,52,5,0,161,420
59029,"South Okanagan--West Kootenay/Okanagan-Sud--Kootenay-Ouest"," 143","Robson",95,11,2,23,68,15,3,217,383
59029,"South Okanagan--West Kootenay/Okanagan-Sud--Kootenay-Ouest"," 144","Raspberry",80,22,0,14,59,7,0,182,352
59029,"South Okanagan--West Kootenay/Okanagan-Sud--Kootenay-Ouest"," 145","Osoyoos",22,23,1,5,51,1,4,107,232
59029,"South Okanagan--West Kootenay/Okanagan-Sud--Kootenay-Ouest"," 146","Osoyoos",20,39,2,7,52,1,0,121,381
59029,"South Okanagan--West Kootenay/Okanagan-Sud--Kootenay-Ouest"," 147","Osoyoos",43,41,1,8,56,1,0,150,389
59029,"South Okanagan--West Kootenay/Okanagan-Sud--Kootenay-Ouest"," 148","Osoyoos",24,29,2,6,61,3,2,127,330
59029,"South Okanagan--West Kootenay/Okanagan-Sud--Kootenay-Ouest"," 149","Osoyoos",64,38,2,11,100,4,3,222,652
59029,"South Okanagan--West Kootenay/Okanagan-Sud--Kootenay-Ouest"," 150","Osoyoos",50,38,1,23,67,4,1,184,560
59029,"South Okanagan--West Kootenay/Okanagan-Sud--Kootenay-Ouest"," 151","Osoyoos",36,40,0,13,103,0,0,192,486
