Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Theodore Antony,Hal Berman,Helena Jaczek,Jeremy Lin,Roy Long,Jane Philpott,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35054,"Markham--Stouffville/Markham--Stouffville"," 207","Markham",87,16,89,1,9,47,3,252,427
35054,"Markham--Stouffville/Markham--Stouffville"," 208","Markham",64,19,61,1,3,49,0,197,414
35054,"Markham--Stouffville/Markham--Stouffville"," 400","Whitchurch-Stouffville",31,8,27,0,6,11,7,90,169
35054,"Markham--Stouffville/Markham--Stouffville"," 401","Markham",20,2,36,1,3,9,13,84,122
35054,"Markham--Stouffville/Markham--Stouffville"," 500","Mobile poll/Bureau itinérant",11,2,14,0,0,6,5,38,172
35054,"Markham--Stouffville/Markham--Stouffville"," 501","Mobile poll/Bureau itinérant",38,4,32,0,1,39,8,122,178
35054,"Markham--Stouffville/Markham--Stouffville"," 502","Mobile poll/Bureau itinérant",25,2,50,0,1,16,5,99,184
35054,"Markham--Stouffville/Markham--Stouffville"," 503","Mobile poll/Bureau itinérant",16,4,32,1,2,9,0,64,254
35054,"Markham--Stouffville/Markham--Stouffville"," 600","Whitchurch-Stouffville",286,26,178,6,16,190,1,703,
35054,"Markham--Stouffville/Markham--Stouffville"," 601","Whitchurch-Stouffville",265,29,192,3,32,157,3,681,
35054,"Markham--Stouffville/Markham--Stouffville"," 602","Whitchurch-Stouffville",260,29,256,5,21,352,3,926,
35054,"Markham--Stouffville/Markham--Stouffville"," 603","Whitchurch-Stouffville",342,70,398,13,19,389,1,1232,
35054,"Markham--Stouffville/Markham--Stouffville"," 604","Whitchurch-Stouffville",258,44,315,14,13,463,3,1110,
35054,"Markham--Stouffville/Markham--Stouffville"," 605","Whitchurch-Stouffville",293,58,389,7,33,377,3,1160,
35054,"Markham--Stouffville/Markham--Stouffville"," 606","Whitchurch-Stouffville",321,88,407,12,27,328,5,1188,
35054,"Markham--Stouffville/Markham--Stouffville"," 607","Markham",288,45,354,3,13,96,3,802,
35054,"Markham--Stouffville/Markham--Stouffville"," 608","Markham",331,58,458,15,14,163,9,1048,
35054,"Markham--Stouffville/Markham--Stouffville"," 609","Markham",347,53,423,3,25,135,14,1000,
35054,"Markham--Stouffville/Markham--Stouffville"," 610","Markham",281,54,363,1,22,134,7,862,
35054,"Markham--Stouffville/Markham--Stouffville"," 611","Markham",278,58,474,7,35,315,6,1173,
35054,"Markham--Stouffville/Markham--Stouffville"," 612","Markham",221,33,294,4,26,208,8,794,
35054,"Markham--Stouffville/Markham--Stouffville"," 613","Markham",299,44,414,8,30,306,2,1103,
35054,"Markham--Stouffville/Markham--Stouffville"," 614","Markham",411,85,561,13,43,235,12,1360,
35054,"Markham--Stouffville/Markham--Stouffville"," 615","Markham",317,64,463,13,22,159,12,1050,
35054,"Markham--Stouffville/Markham--Stouffville"," 616","Markham",285,62,525,9,12,85,2,980,
35054,"Markham--Stouffville/Markham--Stouffville"," 617","Markham",281,51,545,3,12,117,14,1023,
35054,"Markham--Stouffville/Markham--Stouffville",,Group 1/Groupe 1, 26,14,56,2,6,27,10,141,226
35054,"Markham--Stouffville/Markham--Stouffville",,Group 2/Groupe 2, 304,128,539,9,50,329,36,1395,
