Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Ryan Dyck,Leah Gazan,Stephanie Hein,Yogi Henderson,Robert-Falcon Ouellette,Andrea Shalay,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
46011,"Winnipeg Centre/Winnipeg-Centre"," 128","Winnipeg",13,115,0,1,68,21,0,218,377
46011,"Winnipeg Centre/Winnipeg-Centre"," 129","Winnipeg",15,121,3,2,67,16,0,224,379
46011,"Winnipeg Centre/Winnipeg-Centre"," 130","Winnipeg",17,91,0,3,32,9,1,153,365
46011,"Winnipeg Centre/Winnipeg-Centre"," 131","Winnipeg",18,131,2,3,35,15,0,204,454
46011,"Winnipeg Centre/Winnipeg-Centre"," 132","Winnipeg",13,110,0,2,57,17,4,203,455
46011,"Winnipeg Centre/Winnipeg-Centre"," 133","Winnipeg",15,86,0,1,23,10,1,136,376
46011,"Winnipeg Centre/Winnipeg-Centre"," 134","Winnipeg",35,58,0,0,56,14,0,163,320
46011,"Winnipeg Centre/Winnipeg-Centre"," 135","Winnipeg",17,137,1,1,63,13,0,232,411
46011,"Winnipeg Centre/Winnipeg-Centre"," 136","Winnipeg",20,93,1,3,57,15,0,189,376
46011,"Winnipeg Centre/Winnipeg-Centre"," 400","Winnipeg",15,24,1,1,24,4,0,69,123
46011,"Winnipeg Centre/Winnipeg-Centre"," 401","Winnipeg",22,36,1,0,67,5,0,131,176
46011,"Winnipeg Centre/Winnipeg-Centre"," 402","Winnipeg",10,15,0,0,16,0,0,41,111
46011,"Winnipeg Centre/Winnipeg-Centre"," 403","Winnipeg",34,28,0,1,57,2,1,123,156
46011,"Winnipeg Centre/Winnipeg-Centre"," 404","Winnipeg",5,17,0,0,14,2,0,38,53
46011,"Winnipeg Centre/Winnipeg-Centre"," 405","Winnipeg",9,37,0,5,20,3,2,76,198
46011,"Winnipeg Centre/Winnipeg-Centre"," 406","Winnipeg",8,16,1,1,30,2,0,58,170
46011,"Winnipeg Centre/Winnipeg-Centre"," 407","Winnipeg",29,47,3,3,73,11,2,168,245
46011,"Winnipeg Centre/Winnipeg-Centre"," 408A","Winnipeg",30,26,1,1,36,12,0,106,186
46011,"Winnipeg Centre/Winnipeg-Centre"," 408B","Winnipeg",4,4,0,1,7,0,2,18,26
46011,"Winnipeg Centre/Winnipeg-Centre"," 409","Winnipeg",21,30,1,2,63,16,0,133,221
46011,"Winnipeg Centre/Winnipeg-Centre"," 410","Winnipeg",49,38,2,10,110,12,5,226,336
46011,"Winnipeg Centre/Winnipeg-Centre"," 411","Winnipeg",36,48,1,4,84,10,2,185,320
46011,"Winnipeg Centre/Winnipeg-Centre"," 412","Winnipeg",23,33,0,3,35,3,0,97,199
46011,"Winnipeg Centre/Winnipeg-Centre"," 413","Winnipeg",30,25,1,1,33,6,3,99,177
46011,"Winnipeg Centre/Winnipeg-Centre"," 414","Winnipeg",12,44,2,0,32,3,0,93,205
46011,"Winnipeg Centre/Winnipeg-Centre"," 415","Winnipeg",20,22,2,0,43,2,1,90,108
46011,"Winnipeg Centre/Winnipeg-Centre"," 416","Winnipeg",Merged with No./Fusionné avec le n°105,,,,,,,,10
46011,"Winnipeg Centre/Winnipeg-Centre"," 417","Winnipeg",Merged with No./Fusionné avec le n°418,,,,,,,,136
46011,"Winnipeg Centre/Winnipeg-Centre"," 418","Winnipeg",56,48,0,1,79,10,1,195,138
46011,"Winnipeg Centre/Winnipeg-Centre"," 500","Mobile poll/Bureau itinérant",18,16,2,0,52,8,1,97,205
46011,"Winnipeg Centre/Winnipeg-Centre"," 501A","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°502B,,,,,,,,104
46011,"Winnipeg Centre/Winnipeg-Centre"," 501B","Mobile poll/Bureau itinérant",30,24,3,1,53,7,2,120,233
46011,"Winnipeg Centre/Winnipeg-Centre"," 501C","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°503A,,,,,,,,86
46011,"Winnipeg Centre/Winnipeg-Centre"," 502A","Mobile poll/Bureau itinérant",17,37,2,3,68,6,3,136,141
46011,"Winnipeg Centre/Winnipeg-Centre"," 502B","Mobile poll/Bureau itinérant",23,33,1,1,41,1,1,101,70
46011,"Winnipeg Centre/Winnipeg-Centre"," 503A","Mobile poll/Bureau itinérant",20,40,0,2,34,6,0,102,112
46011,"Winnipeg Centre/Winnipeg-Centre"," 503B","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°501B,,,,,,,,99
46011,"Winnipeg Centre/Winnipeg-Centre"," 504A","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°502B,,,,,,,,70
46011,"Winnipeg Centre/Winnipeg-Centre"," 504B","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°502A,,,,,,,,45
46011,"Winnipeg Centre/Winnipeg-Centre"," 600","Winnipeg",104,113,3,1,103,10,6,340,
46011,"Winnipeg Centre/Winnipeg-Centre"," 601","Winnipeg",60,109,0,3,58,6,3,239,
46011,"Winnipeg Centre/Winnipeg-Centre"," 602","Winnipeg",76,173,4,4,106,19,2,384,
46011,"Winnipeg Centre/Winnipeg-Centre"," 603","Winnipeg",202,134,4,10,169,36,3,558,
46011,"Winnipeg Centre/Winnipeg-Centre"," 604","Winnipeg",82,258,2,9,171,33,2,557,
46011,"Winnipeg Centre/Winnipeg-Centre"," 605","Winnipeg",65,232,2,6,134,21,3,463,
46011,"Winnipeg Centre/Winnipeg-Centre"," 606","Winnipeg",30,81,0,3,51,8,2,175,
46011,"Winnipeg Centre/Winnipeg-Centre"," 607","Winnipeg",19,68,5,1,79,12,1,185,
46011,"Winnipeg Centre/Winnipeg-Centre"," 608","Winnipeg",70,143,1,5,145,23,1,388,
46011,"Winnipeg Centre/Winnipeg-Centre"," 609","Winnipeg",34,55,0,7,57,18,1,172,
46011,"Winnipeg Centre/Winnipeg-Centre"," 610","Winnipeg",41,89,0,4,125,15,0,274,
46011,"Winnipeg Centre/Winnipeg-Centre"," 611","Winnipeg",36,244,1,3,116,29,1,430,
46011,"Winnipeg Centre/Winnipeg-Centre"," 612","Winnipeg",33,256,0,7,87,30,5,418,
46011,"Winnipeg Centre/Winnipeg-Centre"," 613","Winnipeg",33,510,0,2,177,39,0,761,
46011,"Winnipeg Centre/Winnipeg-Centre",,Group 1/Groupe 1, 36,92,7,6,197,19,19,376,377
46011,"Winnipeg Centre/Winnipeg-Centre",,Group 2/Groupe 2, 198,504,13,17,384,84,44,1244,
