Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Bryton Cherrier,Marc Dalton,Ariane Jaschke,John Mogk,Steve Ranta,Dan Ruimy,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
59022,"Pitt Meadows--Maple Ridge/Pitt Meadows--Maple Ridge"," 57","Maple Ridge",4,63,30,88,3,73,0,261,507
59022,"Pitt Meadows--Maple Ridge/Pitt Meadows--Maple Ridge"," 58","Maple Ridge",4,76,19,68,2,75,0,244,526
59022,"Pitt Meadows--Maple Ridge/Pitt Meadows--Maple Ridge"," 59","Maple Ridge",4,90,15,73,2,75,0,259,513
59022,"Pitt Meadows--Maple Ridge/Pitt Meadows--Maple Ridge"," 60","Maple Ridge",7,74,20,63,4,78,0,246,501
59022,"Pitt Meadows--Maple Ridge/Pitt Meadows--Maple Ridge"," 61","Maple Ridge",1,81,22,95,8,74,0,281,495
59022,"Pitt Meadows--Maple Ridge/Pitt Meadows--Maple Ridge"," 62","Maple Ridge",4,77,19,69,1,66,2,238,503
59022,"Pitt Meadows--Maple Ridge/Pitt Meadows--Maple Ridge"," 63","Maple Ridge",4,81,28,66,5,60,1,245,493
59022,"Pitt Meadows--Maple Ridge/Pitt Meadows--Maple Ridge"," 64","Maple Ridge",7,72,19,92,4,65,1,260,528
59022,"Pitt Meadows--Maple Ridge/Pitt Meadows--Maple Ridge"," 65","Maple Ridge",3,143,31,66,0,102,2,347,695
59022,"Pitt Meadows--Maple Ridge/Pitt Meadows--Maple Ridge"," 66","Maple Ridge",5,104,23,53,1,57,3,246,457
59022,"Pitt Meadows--Maple Ridge/Pitt Meadows--Maple Ridge"," 67","Maple Ridge",4,103,20,39,4,66,0,236,530
59022,"Pitt Meadows--Maple Ridge/Pitt Meadows--Maple Ridge"," 68","Maple Ridge",7,96,22,42,2,64,2,235,498
59022,"Pitt Meadows--Maple Ridge/Pitt Meadows--Maple Ridge"," 69","Maple Ridge",4,97,26,46,3,75,1,252,512
59022,"Pitt Meadows--Maple Ridge/Pitt Meadows--Maple Ridge"," 70","Pitt Meadows",5,83,12,57,2,88,1,248,432
59022,"Pitt Meadows--Maple Ridge/Pitt Meadows--Maple Ridge"," 71","Pitt Meadows",0,86,20,41,0,76,0,223,477
59022,"Pitt Meadows--Maple Ridge/Pitt Meadows--Maple Ridge"," 72","Pitt Meadows",0,73,31,90,1,106,1,302,451
59022,"Pitt Meadows--Maple Ridge/Pitt Meadows--Maple Ridge"," 73","Pitt Meadows",Merged with No./Fusionné avec le n°72,,,,,,,,168
59022,"Pitt Meadows--Maple Ridge/Pitt Meadows--Maple Ridge"," 74","Maple Ridge",8,69,10,64,1,53,1,206,448
59022,"Pitt Meadows--Maple Ridge/Pitt Meadows--Maple Ridge"," 75","Maple Ridge",2,83,8,44,3,87,3,230,483
59022,"Pitt Meadows--Maple Ridge/Pitt Meadows--Maple Ridge"," 76","Maple Ridge",1,75,13,72,2,62,0,225,476
59022,"Pitt Meadows--Maple Ridge/Pitt Meadows--Maple Ridge"," 77","Maple Ridge",4,80,23,80,2,76,1,266,586
59022,"Pitt Meadows--Maple Ridge/Pitt Meadows--Maple Ridge"," 78","Maple Ridge",3,94,29,75,1,83,3,288,589
59022,"Pitt Meadows--Maple Ridge/Pitt Meadows--Maple Ridge"," 79","Maple Ridge",2,76,10,51,3,61,3,206,473
59022,"Pitt Meadows--Maple Ridge/Pitt Meadows--Maple Ridge"," 80","Maple Ridge",5,77,22,82,2,85,9,282,551
59022,"Pitt Meadows--Maple Ridge/Pitt Meadows--Maple Ridge"," 81","Maple Ridge",1,90,16,65,2,69,2,245,528
59022,"Pitt Meadows--Maple Ridge/Pitt Meadows--Maple Ridge"," 82","Maple Ridge",5,67,19,61,4,55,0,211,455
59022,"Pitt Meadows--Maple Ridge/Pitt Meadows--Maple Ridge"," 83","Maple Ridge",3,45,9,56,2,56,0,171,438
59022,"Pitt Meadows--Maple Ridge/Pitt Meadows--Maple Ridge"," 84","Maple Ridge",6,81,19,86,4,62,2,260,481
59022,"Pitt Meadows--Maple Ridge/Pitt Meadows--Maple Ridge"," 85","Maple Ridge",7,95,13,54,1,68,1,239,484
59022,"Pitt Meadows--Maple Ridge/Pitt Meadows--Maple Ridge"," 86","Maple Ridge",4,67,17,63,0,56,3,210,537
59022,"Pitt Meadows--Maple Ridge/Pitt Meadows--Maple Ridge"," 87","Maple Ridge",3,65,27,79,1,65,0,240,513
59022,"Pitt Meadows--Maple Ridge/Pitt Meadows--Maple Ridge"," 88","Maple Ridge",1,62,21,70,2,42,0,198,505
59022,"Pitt Meadows--Maple Ridge/Pitt Meadows--Maple Ridge"," 89","Maple Ridge",4,59,16,66,1,60,2,208,549
59022,"Pitt Meadows--Maple Ridge/Pitt Meadows--Maple Ridge"," 90","Maple Ridge",3,70,17,66,3,47,7,213,511
59022,"Pitt Meadows--Maple Ridge/Pitt Meadows--Maple Ridge"," 91","Maple Ridge",6,47,14,84,3,60,1,215,550
59022,"Pitt Meadows--Maple Ridge/Pitt Meadows--Maple Ridge"," 92","Maple Ridge",0,44,20,39,2,53,1,159,453
59022,"Pitt Meadows--Maple Ridge/Pitt Meadows--Maple Ridge"," 93","Maple Ridge",3,32,12,41,1,41,2,132,483
59022,"Pitt Meadows--Maple Ridge/Pitt Meadows--Maple Ridge"," 94","Maple Ridge",5,44,12,53,2,45,2,163,495
59022,"Pitt Meadows--Maple Ridge/Pitt Meadows--Maple Ridge"," 95","Maple Ridge",1,89,15,88,4,56,0,253,573
59022,"Pitt Meadows--Maple Ridge/Pitt Meadows--Maple Ridge"," 96","Maple Ridge",6,82,26,89,3,60,2,268,523
59022,"Pitt Meadows--Maple Ridge/Pitt Meadows--Maple Ridge"," 97","Maple Ridge",1,91,9,58,2,57,2,220,464
59022,"Pitt Meadows--Maple Ridge/Pitt Meadows--Maple Ridge"," 98","Maple Ridge",4,101,29,62,3,68,0,267,530
59022,"Pitt Meadows--Maple Ridge/Pitt Meadows--Maple Ridge"," 99","Maple Ridge",5,96,19,68,2,87,2,279,516
59022,"Pitt Meadows--Maple Ridge/Pitt Meadows--Maple Ridge"," 100","Maple Ridge",4,79,17,86,4,81,1,272,534
59022,"Pitt Meadows--Maple Ridge/Pitt Meadows--Maple Ridge"," 101","Maple Ridge",1,111,14,71,3,80,0,280,505
59022,"Pitt Meadows--Maple Ridge/Pitt Meadows--Maple Ridge"," 102","Maple Ridge",3,93,18,78,1,86,0,279,547
59022,"Pitt Meadows--Maple Ridge/Pitt Meadows--Maple Ridge"," 103","Maple Ridge",1,76,24,57,0,58,0,216,473
59022,"Pitt Meadows--Maple Ridge/Pitt Meadows--Maple Ridge"," 104","Maple Ridge",3,50,16,51,1,44,1,166,553
59022,"Pitt Meadows--Maple Ridge/Pitt Meadows--Maple Ridge"," 105","Maple Ridge",4,53,16,70,5,58,0,206,480
59022,"Pitt Meadows--Maple Ridge/Pitt Meadows--Maple Ridge"," 106","Maple Ridge",4,58,18,47,0,51,1,179,536
59022,"Pitt Meadows--Maple Ridge/Pitt Meadows--Maple Ridge"," 107","Maple Ridge",3,67,15,49,2,60,16,212,458
59022,"Pitt Meadows--Maple Ridge/Pitt Meadows--Maple Ridge"," 108","Maple Ridge",5,71,4,58,2,80,0,220,500
59022,"Pitt Meadows--Maple Ridge/Pitt Meadows--Maple Ridge"," 109","Maple Ridge",5,100,22,72,2,68,0,269,570
59022,"Pitt Meadows--Maple Ridge/Pitt Meadows--Maple Ridge"," 110","Maple Ridge",4,85,5,46,3,76,1,220,445
59022,"Pitt Meadows--Maple Ridge/Pitt Meadows--Maple Ridge"," 111","Maple Ridge",3,142,15,45,4,68,2,279,530
59022,"Pitt Meadows--Maple Ridge/Pitt Meadows--Maple Ridge"," 112","Maple Ridge",0,52,23,65,2,52,1,195,287
59022,"Pitt Meadows--Maple Ridge/Pitt Meadows--Maple Ridge"," 113","Maple Ridge",2,87,25,41,3,78,0,236,436
59022,"Pitt Meadows--Maple Ridge/Pitt Meadows--Maple Ridge"," 114","Maple Ridge",4,105,16,65,1,75,1,267,525
59022,"Pitt Meadows--Maple Ridge/Pitt Meadows--Maple Ridge"," 115","Maple Ridge",8,88,23,72,2,71,1,265,494
59022,"Pitt Meadows--Maple Ridge/Pitt Meadows--Maple Ridge"," 116","Maple Ridge",3,101,30,71,2,78,1,286,491
59022,"Pitt Meadows--Maple Ridge/Pitt Meadows--Maple Ridge"," 117A","Maple Ridge",Merged with No./Fusionné avec le n°112,,,,,,,,166
59022,"Pitt Meadows--Maple Ridge/Pitt Meadows--Maple Ridge"," 117B","Maple Ridge",1,105,20,52,3,91,1,273,582
59022,"Pitt Meadows--Maple Ridge/Pitt Meadows--Maple Ridge"," 118","Maple Ridge",2,63,22,64,0,78,0,229,437
59022,"Pitt Meadows--Maple Ridge/Pitt Meadows--Maple Ridge"," 119","Maple Ridge",4,71,24,68,1,78,6,252,532
59022,"Pitt Meadows--Maple Ridge/Pitt Meadows--Maple Ridge"," 120","Maple Ridge",7,71,16,62,3,42,0,201,457
59022,"Pitt Meadows--Maple Ridge/Pitt Meadows--Maple Ridge"," 121","Maple Ridge",3,93,25,91,1,70,0,283,553
59022,"Pitt Meadows--Maple Ridge/Pitt Meadows--Maple Ridge"," 122","Maple Ridge",3,84,23,77,4,83,2,276,522
59022,"Pitt Meadows--Maple Ridge/Pitt Meadows--Maple Ridge"," 123","Maple Ridge",11,75,18,62,1,53,0,220,431
59022,"Pitt Meadows--Maple Ridge/Pitt Meadows--Maple Ridge"," 124","Maple Ridge",2,57,15,39,3,37,0,153,288
59022,"Pitt Meadows--Maple Ridge/Pitt Meadows--Maple Ridge"," 125","Maple Ridge",5,56,18,51,1,60,0,191,478
59022,"Pitt Meadows--Maple Ridge/Pitt Meadows--Maple Ridge"," 126","Maple Ridge",4,62,13,59,1,45,0,184,421
