Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Shaun Chen,Yan Chen,Jude Guerrier,David Kong,Janet Robinson,Avery Velez,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35096,"Scarborough North/Scarborough-Nord"," 60","Scarborough",114,19,1,9,0,0,3,146,365
35096,"Scarborough North/Scarborough-Nord"," 61","Scarborough",136,25,2,32,0,3,2,200,438
35096,"Scarborough North/Scarborough-Nord"," 62","Scarborough",186,34,0,49,2,3,4,278,573
35096,"Scarborough North/Scarborough-Nord"," 63","Scarborough",59,19,0,51,1,4,0,134,299
35096,"Scarborough North/Scarborough-Nord"," 64","Scarborough",73,24,4,58,0,5,1,165,365
35096,"Scarborough North/Scarborough-Nord"," 65","Scarborough",89,24,1,60,0,5,3,182,470
35096,"Scarborough North/Scarborough-Nord"," 66","Scarborough",75,35,1,87,0,4,1,203,422
35096,"Scarborough North/Scarborough-Nord"," 67","Scarborough",60,22,1,77,0,3,0,163,498
35096,"Scarborough North/Scarborough-Nord"," 68","Scarborough",61,13,1,32,0,0,0,107,353
35096,"Scarborough North/Scarborough-Nord"," 69","Scarborough",114,38,2,85,2,5,3,249,544
35096,"Scarborough North/Scarborough-Nord"," 70","Scarborough",95,32,2,75,0,0,5,209,413
35096,"Scarborough North/Scarborough-Nord"," 71","Scarborough",59,26,4,65,0,4,2,160,334
35096,"Scarborough North/Scarborough-Nord"," 72","Scarborough",82,29,0,73,2,3,2,191,403
35096,"Scarborough North/Scarborough-Nord"," 73","Scarborough",90,26,1,66,2,7,1,193,405
35096,"Scarborough North/Scarborough-Nord"," 74","Scarborough",83,26,4,72,2,5,3,195,378
35096,"Scarborough North/Scarborough-Nord"," 75","Scarborough",104,20,1,91,0,5,6,227,481
35096,"Scarborough North/Scarborough-Nord"," 76","Scarborough",79,19,1,96,0,5,1,201,376
35096,"Scarborough North/Scarborough-Nord"," 77","Scarborough",119,28,1,74,0,3,3,228,499
35096,"Scarborough North/Scarborough-Nord"," 78","Scarborough",73,27,3,35,1,1,2,142,357
35096,"Scarborough North/Scarborough-Nord"," 79","Scarborough",102,29,0,87,0,4,0,222,547
35096,"Scarborough North/Scarborough-Nord"," 80","Scarborough",90,28,0,65,0,6,1,190,448
35096,"Scarborough North/Scarborough-Nord"," 81","Scarborough",77,31,3,71,1,5,1,189,462
35096,"Scarborough North/Scarborough-Nord"," 82","Scarborough",123,32,0,68,1,3,0,227,531
35096,"Scarborough North/Scarborough-Nord"," 83","Scarborough",66,19,3,55,1,4,0,148,408
35096,"Scarborough North/Scarborough-Nord"," 84","Scarborough",93,16,1,27,1,0,1,139,325
35096,"Scarborough North/Scarborough-Nord"," 85","Scarborough",165,42,5,46,0,4,4,266,492
35096,"Scarborough North/Scarborough-Nord"," 86","Scarborough",143,30,2,27,1,2,2,207,474
35096,"Scarborough North/Scarborough-Nord"," 87","Scarborough",160,30,3,50,2,3,5,253,594
35096,"Scarborough North/Scarborough-Nord"," 88","Scarborough",150,46,3,60,1,4,1,265,501
35096,"Scarborough North/Scarborough-Nord"," 89","Scarborough",94,21,0,23,1,3,1,143,328
35096,"Scarborough North/Scarborough-Nord"," 90","Scarborough",153,48,2,60,0,10,2,275,549
35096,"Scarborough North/Scarborough-Nord"," 91","Scarborough",116,25,1,34,0,3,4,183,513
35096,"Scarborough North/Scarborough-Nord"," 92","Scarborough",88,36,0,24,1,4,1,154,432
35096,"Scarborough North/Scarborough-Nord"," 93","Scarborough",90,18,1,36,0,2,1,148,445
35096,"Scarborough North/Scarborough-Nord"," 94","Scarborough",144,15,2,43,0,1,0,205,472
35096,"Scarborough North/Scarborough-Nord"," 95","Scarborough",135,10,0,10,0,6,0,161,401
35096,"Scarborough North/Scarborough-Nord"," 96","Scarborough",130,11,0,14,0,1,1,157,479
35096,"Scarborough North/Scarborough-Nord"," 97","Scarborough",132,24,5,30,0,2,1,194,463
35096,"Scarborough North/Scarborough-Nord"," 98","Scarborough",126,25,0,22,0,3,2,178,427
35096,"Scarborough North/Scarborough-Nord"," 99","Scarborough",78,20,4,20,2,2,4,130,481
35096,"Scarborough North/Scarborough-Nord"," 100","Scarborough",77,25,1,72,0,2,0,177,547
35096,"Scarborough North/Scarborough-Nord"," 101","Scarborough",55,22,0,54,0,2,0,133,397
35096,"Scarborough North/Scarborough-Nord"," 102","Scarborough",76,19,0,61,0,2,4,162,367
35096,"Scarborough North/Scarborough-Nord"," 103","Scarborough",75,17,2,46,0,5,1,146,417
35096,"Scarborough North/Scarborough-Nord"," 104","Scarborough",47,17,1,45,0,3,1,114,379
35096,"Scarborough North/Scarborough-Nord"," 105","Scarborough",83,29,1,43,1,10,0,167,408
35096,"Scarborough North/Scarborough-Nord"," 106","Scarborough",70,20,0,53,0,3,0,146,382
35096,"Scarborough North/Scarborough-Nord"," 107","Scarborough",92,21,1,42,1,0,0,157,397
35096,"Scarborough North/Scarborough-Nord"," 108","Scarborough",85,23,2,66,0,1,0,177,396
35096,"Scarborough North/Scarborough-Nord"," 109","Scarborough",105,32,7,53,0,9,0,206,428
35096,"Scarborough North/Scarborough-Nord"," 110","Scarborough",112,36,2,36,1,6,1,194,535
35096,"Scarborough North/Scarborough-Nord"," 111","Scarborough",80,25,2,46,0,6,1,160,408
35096,"Scarborough North/Scarborough-Nord"," 112","Scarborough",64,16,4,54,0,3,1,142,369
35096,"Scarborough North/Scarborough-Nord"," 113","Scarborough",58,21,0,40,0,0,1,120,333
35096,"Scarborough North/Scarborough-Nord"," 114","Scarborough",70,11,0,70,0,5,2,158,448
