Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Normand Chouinard,Victoria Hernandez,Barbara Joannette,Isabelle Lapointe,Jean-Claude Poissant,Alain Therrien,Gregory Yablunovsky,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24034,"La Prairie/La Prairie"," 92","Candiac",0,16,11,41,140,69,2,3,282,555
24034,"La Prairie/La Prairie"," 93","Candiac",0,20,7,38,166,76,3,2,312,538
24034,"La Prairie/La Prairie"," 94","Candiac",0,27,18,27,131,83,2,0,288,539
24034,"La Prairie/La Prairie"," 95","Candiac",0,19,12,23,178,81,0,2,315,545
24034,"La Prairie/La Prairie"," 96","Candiac",0,36,12,24,140,75,5,0,292,476
24034,"La Prairie/La Prairie"," 97","Candiac",0,17,11,37,138,71,2,1,277,513
24034,"La Prairie/La Prairie"," 98","Candiac",0,14,7,34,130,86,3,6,280,527
24034,"La Prairie/La Prairie"," 99","Candiac",0,12,13,31,110,74,3,5,248,461
24034,"La Prairie/La Prairie"," 100","Candiac",1,14,9,31,134,73,3,1,266,490
24034,"La Prairie/La Prairie"," 101","Candiac",1,20,9,15,107,52,2,3,209,417
24034,"La Prairie/La Prairie"," 102","Candiac",1,20,3,29,149,77,0,0,279,493
24034,"La Prairie/La Prairie"," 103","Candiac",0,17,7,42,117,56,4,2,245,469
24034,"La Prairie/La Prairie"," 104","Candiac",0,25,15,24,93,69,1,0,227,534
24034,"La Prairie/La Prairie"," 105","Candiac",0,17,11,19,110,65,1,1,224,440
24034,"La Prairie/La Prairie"," 106","Candiac",1,28,14,29,99,64,0,3,238,466
24034,"La Prairie/La Prairie"," 107","Candiac",0,21,4,25,119,49,0,1,219,500
24034,"La Prairie/La Prairie"," 108","Candiac",0,16,15,30,132,35,0,3,231,444
24034,"La Prairie/La Prairie"," 109","Candiac",1,17,6,30,110,72,4,2,242,486
24034,"La Prairie/La Prairie"," 110","Candiac",0,22,10,18,50,105,3,6,214,478
24034,"La Prairie/La Prairie"," 111","Delson",1,35,14,20,113,153,2,0,338,768
24034,"La Prairie/La Prairie"," 112","Delson",2,19,4,17,64,83,0,6,195,418
24034,"La Prairie/La Prairie"," 113","Delson",2,33,14,15,87,89,3,11,254,576
24034,"La Prairie/La Prairie"," 114","Delson",1,19,12,17,57,88,0,6,200,416
24034,"La Prairie/La Prairie"," 115","Delson",0,15,8,16,58,102,4,0,203,400
24034,"La Prairie/La Prairie"," 116","Delson",0,20,8,29,69,64,2,6,198,440
24034,"La Prairie/La Prairie"," 117","Delson",0,21,14,17,107,107,5,2,273,506
24034,"La Prairie/La Prairie"," 118","Delson",0,17,10,24,86,93,1,2,233,457
24034,"La Prairie/La Prairie"," 119","Delson",0,23,11,15,81,93,0,0,223,450
24034,"La Prairie/La Prairie"," 120","Saint-Constant",2,13,7,19,62,108,1,0,212,574
24034,"La Prairie/La Prairie"," 121","Saint-Constant",0,11,8,9,66,118,3,4,219,429
24034,"La Prairie/La Prairie"," 122","Saint-Constant",2,24,7,24,72,165,4,2,300,562
24034,"La Prairie/La Prairie"," 123","Saint-Constant",0,22,10,15,46,105,2,2,202,504
24034,"La Prairie/La Prairie"," 124","Saint-Constant",2,19,11,26,58,137,0,0,253,523
24034,"La Prairie/La Prairie"," 125","Saint-Constant",0,17,9,13,55,112,2,3,211,478
24034,"La Prairie/La Prairie"," 126","Saint-Constant",1,20,7,22,59,157,3,3,272,524
