Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Nahed AlShawa,Luc Bertrand,Claude Debellefeuille,Marc Faubert,Joan Gottman,Cynthia Larivière,Alain Savard,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24071,"Salaberry--Suroît/Salaberry--Suroît"," 82","Salaberry-de-Valleyfield",5,0,84,31,7,19,0,3,149,373
24071,"Salaberry--Suroît/Salaberry--Suroît"," 83","Salaberry-de-Valleyfield",1,0,84,30,15,14,1,5,150,351
24071,"Salaberry--Suroît/Salaberry--Suroît"," 84","Salaberry-de-Valleyfield",3,2,57,51,16,10,6,3,148,351
24071,"Salaberry--Suroît/Salaberry--Suroît"," 85","Salaberry-de-Valleyfield",3,0,73,44,5,6,1,11,143,382
24071,"Salaberry--Suroît/Salaberry--Suroît"," 86","Saint-Polycarpe",8,1,78,48,24,30,2,3,194,382
24071,"Salaberry--Suroît/Salaberry--Suroît"," 87","Saint-Polycarpe",6,0,77,39,18,28,6,5,179,356
24071,"Salaberry--Suroît/Salaberry--Suroît"," 88","Saint-Polycarpe",5,0,90,43,24,14,0,4,180,358
24071,"Salaberry--Suroît/Salaberry--Suroît"," 89","Saint-Polycarpe",9,1,78,45,15,20,1,3,172,390
24071,"Salaberry--Suroît/Salaberry--Suroît"," 90","Saint-Polycarpe",1,0,80,47,9,11,1,2,151,306
24071,"Salaberry--Suroît/Salaberry--Suroît"," 91","Salaberry-de-Valleyfield",1,1,71,43,12,20,3,6,157,424
24071,"Salaberry--Suroît/Salaberry--Suroît"," 92","Salaberry-de-Valleyfield",8,0,85,46,10,19,4,4,176,421
24071,"Salaberry--Suroît/Salaberry--Suroît"," 93","Salaberry-de-Valleyfield",0,1,76,24,6,7,0,0,114,396
24071,"Salaberry--Suroît/Salaberry--Suroît"," 94","Salaberry-de-Valleyfield",2,2,78,20,8,12,2,2,126,448
24071,"Salaberry--Suroît/Salaberry--Suroît"," 95","Salaberry-de-Valleyfield",2,0,31,15,4,3,0,0,55,166
24071,"Salaberry--Suroît/Salaberry--Suroît"," 96","Salaberry-de-Valleyfield",4,1,55,17,4,9,1,2,93,348
24071,"Salaberry--Suroît/Salaberry--Suroît"," 97","Salaberry-de-Valleyfield",9,3,75,30,16,3,0,0,136,461
24071,"Salaberry--Suroît/Salaberry--Suroît"," 98","Salaberry-de-Valleyfield",5,1,41,33,18,2,1,1,102,360
24071,"Salaberry--Suroît/Salaberry--Suroît"," 99","Salaberry-de-Valleyfield",2,4,53,20,13,3,2,1,98,312
24071,"Salaberry--Suroît/Salaberry--Suroît"," 100","Salaberry-de-Valleyfield",8,0,64,21,14,5,1,2,115,320
24071,"Salaberry--Suroît/Salaberry--Suroît"," 101","Salaberry-de-Valleyfield",2,1,51,19,13,4,3,0,93,321
24071,"Salaberry--Suroît/Salaberry--Suroît"," 102","Salaberry-de-Valleyfield",6,0,73,23,9,8,0,5,124,379
24071,"Salaberry--Suroît/Salaberry--Suroît"," 103","Salaberry-de-Valleyfield",7,1,87,41,12,15,1,3,167,423
24071,"Salaberry--Suroît/Salaberry--Suroît"," 104","Salaberry-de-Valleyfield",1,2,72,32,8,12,2,3,132,414
24071,"Salaberry--Suroît/Salaberry--Suroît"," 105","Salaberry-de-Valleyfield",1,0,53,31,6,8,0,5,104,328
24071,"Salaberry--Suroît/Salaberry--Suroît"," 106","Salaberry-de-Valleyfield",4,1,104,62,24,6,0,3,204,439
24071,"Salaberry--Suroît/Salaberry--Suroît"," 107","Salaberry-de-Valleyfield",4,0,115,39,14,9,2,1,184,442
24071,"Salaberry--Suroît/Salaberry--Suroît"," 108","Salaberry-de-Valleyfield",5,0,51,23,10,6,2,2,99,395
24071,"Salaberry--Suroît/Salaberry--Suroît"," 109","Salaberry-de-Valleyfield",5,2,56,28,7,11,1,5,115,394
24071,"Salaberry--Suroît/Salaberry--Suroît"," 110","Salaberry-de-Valleyfield",5,1,60,27,3,7,1,2,106,392
24071,"Salaberry--Suroît/Salaberry--Suroît"," 111","Salaberry-de-Valleyfield",2,1,66,25,8,7,2,3,114,352
24071,"Salaberry--Suroît/Salaberry--Suroît"," 112","Salaberry-de-Valleyfield",3,1,58,32,9,7,0,1,111,335
24071,"Salaberry--Suroît/Salaberry--Suroît"," 113","Salaberry-de-Valleyfield",8,0,42,12,6,7,3,3,81,357
24071,"Salaberry--Suroît/Salaberry--Suroît"," 114","Salaberry-de-Valleyfield",3,1,79,34,12,4,0,4,137,380
24071,"Salaberry--Suroît/Salaberry--Suroît"," 115","Salaberry-de-Valleyfield",5,1,66,31,5,13,3,3,127,350
24071,"Salaberry--Suroît/Salaberry--Suroît"," 116","Salaberry-de-Valleyfield",4,0,51,36,9,4,1,2,107,367
24071,"Salaberry--Suroît/Salaberry--Suroît"," 117","Les Coteaux",10,1,96,51,24,14,3,6,205,407
24071,"Salaberry--Suroît/Salaberry--Suroît"," 118","Les Coteaux",10,1,89,40,19,9,2,11,181,404
24071,"Salaberry--Suroît/Salaberry--Suroît"," 119","Les Coteaux",6,0,89,57,17,9,1,4,183,353
