Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Tyler Beauchamp,Ronald Brochu,Ernest Chauvet,Guy Desforges,Dane Lloyd,Cass Romyn,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
48033,"Sturgeon River--Parkland/Sturgeon River--Parkland"," 52","Calahoo South",7,22,0,15,176,2,0,222,377
48033,"Sturgeon River--Parkland/Sturgeon River--Parkland"," 53","Cardiff",6,7,2,15,169,6,0,205,398
48033,"Sturgeon River--Parkland/Sturgeon River--Parkland"," 54","Cardiff",2,6,3,7,68,2,0,88,148
48033,"Sturgeon River--Parkland/Sturgeon River--Parkland"," 55","Cardiff",4,15,0,32,121,4,0,176,328
48033,"Sturgeon River--Parkland/Sturgeon River--Parkland"," 56","Coronado",1,8,4,21,147,5,2,188,389
48033,"Sturgeon River--Parkland/Sturgeon River--Parkland"," 57","Coronado",7,24,0,21,138,5,0,195,372
48033,"Sturgeon River--Parkland/Sturgeon River--Parkland"," 58","Gibbons",7,9,2,18,144,9,0,189,481
48033,"Sturgeon River--Parkland/Sturgeon River--Parkland"," 59","Gibbons",9,10,2,12,160,12,0,205,385
48033,"Sturgeon River--Parkland/Sturgeon River--Parkland"," 60","Gibbons",3,8,1,13,96,7,0,128,348
48033,"Sturgeon River--Parkland/Sturgeon River--Parkland"," 61","Gibbons",7,7,2,34,135,7,1,193,401
48033,"Sturgeon River--Parkland/Sturgeon River--Parkland"," 62","Gibbons",7,4,0,24,157,9,0,201,416
48033,"Sturgeon River--Parkland/Sturgeon River--Parkland"," 63","Gibbons",3,9,0,23,151,5,0,191,398
48033,"Sturgeon River--Parkland/Sturgeon River--Parkland"," 64","New Lunnon",9,8,3,14,178,6,0,218,438
48033,"Sturgeon River--Parkland/Sturgeon River--Parkland"," 65","Gibbons",1,5,3,8,156,9,0,182,299
48033,"Sturgeon River--Parkland/Sturgeon River--Parkland"," 66","Lamoureux",5,11,2,28,145,11,1,203,431
48033,"Sturgeon River--Parkland/Sturgeon River--Parkland"," 67A","Carbondale",11,19,6,18,195,10,0,259,288
48033,"Sturgeon River--Parkland/Sturgeon River--Parkland"," 67B","Carbondale",Merged with No./Fusionné avec le n°68B,,,,,,,,244
48033,"Sturgeon River--Parkland/Sturgeon River--Parkland"," 68A","Excelsior",Merged with No./Fusionné avec le n°67A,,,,,,,,182
48033,"Sturgeon River--Parkland/Sturgeon River--Parkland"," 68B","Excelsior",7,14,0,21,189,14,0,245,221
48033,"Sturgeon River--Parkland/Sturgeon River--Parkland"," 69A","Excelsior",9,15,0,29,129,1,0,183,146
48033,"Sturgeon River--Parkland/Sturgeon River--Parkland"," 69B","Excelsior",Merged with No./Fusionné avec le n°71B,,,,,,,,151
48033,"Sturgeon River--Parkland/Sturgeon River--Parkland"," 70A","Lancaster Park",4,9,0,18,119,6,0,156,388
48033,"Sturgeon River--Parkland/Sturgeon River--Parkland"," 70B","Lancaster Park",5,12,0,18,142,1,1,179,375
48033,"Sturgeon River--Parkland/Sturgeon River--Parkland"," 71A","Lancaster Park",Merged with No./Fusionné avec le n°69A,,,,,,,,284
48033,"Sturgeon River--Parkland/Sturgeon River--Parkland"," 71B","Lancaster Park",13,16,2,46,152,4,1,234,287
48033,"Sturgeon River--Parkland/Sturgeon River--Parkland"," 72","Muir Lake",4,21,0,23,171,5,0,224,383
48033,"Sturgeon River--Parkland/Sturgeon River--Parkland"," 73","Muir Lake",3,23,0,14,158,12,0,210,341
48033,"Sturgeon River--Parkland/Sturgeon River--Parkland"," 74","Parkland County",6,12,0,29,206,4,0,257,401
48033,"Sturgeon River--Parkland/Sturgeon River--Parkland"," 75","Muir Lake",3,12,0,18,185,10,0,228,400
48033,"Sturgeon River--Parkland/Sturgeon River--Parkland"," 76","Spruce Grove",4,19,3,34,198,11,3,272,448
48033,"Sturgeon River--Parkland/Sturgeon River--Parkland"," 77","Stony Plain",7,14,1,29,227,8,2,288,491
48033,"Sturgeon River--Parkland/Sturgeon River--Parkland"," 78","Spruce Grove",1,4,1,8,82,8,2,106,217
48033,"Sturgeon River--Parkland/Sturgeon River--Parkland"," 79","Beach Corner",13,8,0,15,175,3,1,215,388
48033,"Sturgeon River--Parkland/Sturgeon River--Parkland"," 80A","Beach Corner",3,11,0,15,203,5,0,237,309
48033,"Sturgeon River--Parkland/Sturgeon River--Parkland"," 80B","Beach Corner",Merged with No./Fusionné avec le n°84B,,,,,,,,335
48033,"Sturgeon River--Parkland/Sturgeon River--Parkland"," 81","Beach Corner",2,9,3,19,151,6,0,190,331
48033,"Sturgeon River--Parkland/Sturgeon River--Parkland"," 82","Parkland County",3,10,1,19,161,5,0,199,358
48033,"Sturgeon River--Parkland/Sturgeon River--Parkland"," 83","Beach Corner",0,11,2,23,161,4,1,202,344
48033,"Sturgeon River--Parkland/Sturgeon River--Parkland"," 84A","Beach Corner",Merged with No./Fusionné avec le n°80A,,,,,,,,83
48033,"Sturgeon River--Parkland/Sturgeon River--Parkland"," 84B","Beach Corner",6,15,1,15,201,13,0,251,53
48033,"Sturgeon River--Parkland/Sturgeon River--Parkland"," 85","Stony Plain",8,21,4,23,177,5,1,239,430
48033,"Sturgeon River--Parkland/Sturgeon River--Parkland"," 86","Volmer",3,15,0,10,187,1,0,216,459
48033,"Sturgeon River--Parkland/Sturgeon River--Parkland"," 87","Villeneuve",2,22,4,29,228,10,2,297,445
48033,"Sturgeon River--Parkland/Sturgeon River--Parkland"," 88","Villeneuve",6,36,0,31,196,3,0,272,430
48033,"Sturgeon River--Parkland/Sturgeon River--Parkland"," 89A","Big Lake",2,12,1,12,142,3,1,173,279
48033,"Sturgeon River--Parkland/Sturgeon River--Parkland"," 89B","Big Lake",Merged with No./Fusionné avec le n°90B,,,,,,,,332
48033,"Sturgeon River--Parkland/Sturgeon River--Parkland"," 90A","Acheson",Merged with No./Fusionné avec le n°89A,,,,,,,,166
48033,"Sturgeon River--Parkland/Sturgeon River--Parkland"," 90B","Acheson",4,27,0,10,160,1,0,202,176
48033,"Sturgeon River--Parkland/Sturgeon River--Parkland"," 91","Acheson",5,20,0,26,173,1,0,225,532
48033,"Sturgeon River--Parkland/Sturgeon River--Parkland"," 92A","Sturgeon No. 90",4,27,1,22,198,4,2,258,111
48033,"Sturgeon River--Parkland/Sturgeon River--Parkland"," 92B","Sturgeon No. 90",Merged with No./Fusionné avec le n°93B,,,,,,,,119
48033,"Sturgeon River--Parkland/Sturgeon River--Parkland"," 93A","Sturgeon No. 90",Merged with No./Fusionné avec le n°92A,,,,,,,,307
48033,"Sturgeon River--Parkland/Sturgeon River--Parkland"," 93B","Sturgeon No. 90",9,26,0,17,186,3,1,242,264
48033,"Sturgeon River--Parkland/Sturgeon River--Parkland"," 94","Sturgeon No. 90",1,32,1,28,223,8,2,295,515
48033,"Sturgeon River--Parkland/Sturgeon River--Parkland"," 95A","Sturgeon No. 90",1,25,0,21,194,7,2,250,96
48033,"Sturgeon River--Parkland/Sturgeon River--Parkland"," 95B","Sturgeon No. 90",Merged with No./Fusionné avec le n°98B,,,,,,,,92
48033,"Sturgeon River--Parkland/Sturgeon River--Parkland"," 96","Sturgeon No. 90",4,24,1,18,184,3,3,237,438
48033,"Sturgeon River--Parkland/Sturgeon River--Parkland"," 97","St. Albert Settlement",3,29,0,20,199,7,1,259,427
48033,"Sturgeon River--Parkland/Sturgeon River--Parkland"," 98A","St. Albert Settlement",Merged with No./Fusionné avec le n°95A,,,,,,,,318
48033,"Sturgeon River--Parkland/Sturgeon River--Parkland"," 98B","St. Albert Settlement",2,25,0,13,215,11,1,267,349
48033,"Sturgeon River--Parkland/Sturgeon River--Parkland"," 99","Spruce Grove",4,11,1,3,146,0,0,165,288
48033,"Sturgeon River--Parkland/Sturgeon River--Parkland"," 100","Spruce Grove",2,15,4,14,203,1,0,239,513
