Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Ron Broda,David Busch,Elizabeth May,Sabina Singh,Ryan Windsor,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
59027,"Saanich--Gulf Islands/Saanich--Gulf Islands"," 206","Saanich",5,24,84,66,43,1,223,477
59027,"Saanich--Gulf Islands/Saanich--Gulf Islands"," 500","Mobile poll/Bureau itinérant",1,6,40,11,11,3,72,138
59027,"Saanich--Gulf Islands/Saanich--Gulf Islands"," 501","Mobile poll/Bureau itinérant",1,17,26,8,16,2,70,191
59027,"Saanich--Gulf Islands/Saanich--Gulf Islands"," 502","Mobile poll/Bureau itinérant",2,27,47,6,23,2,107,145
59027,"Saanich--Gulf Islands/Saanich--Gulf Islands"," 503","Mobile poll/Bureau itinérant",2,41,51,25,28,3,150,267
59027,"Saanich--Gulf Islands/Saanich--Gulf Islands"," 504","Mobile poll/Bureau itinérant",1,37,62,10,42,0,152,198
59027,"Saanich--Gulf Islands/Saanich--Gulf Islands"," 505","Mobile poll/Bureau itinérant",1,28,42,13,34,3,121,168
59027,"Saanich--Gulf Islands/Saanich--Gulf Islands"," 506","Mobile poll/Bureau itinérant",1,15,36,18,30,8,108,154
59027,"Saanich--Gulf Islands/Saanich--Gulf Islands"," 600","Ganges",16,127,622,74,79,5,923,
59027,"Saanich--Gulf Islands/Saanich--Gulf Islands"," 601","Ganges",23,116,683,88,85,4,999,
59027,"Saanich--Gulf Islands/Saanich--Gulf Islands"," 602","North Galiano",6,27,276,27,21,0,357,
59027,"Saanich--Gulf Islands/Saanich--Gulf Islands"," 603","North Saanich",33,369,818,67,231,3,1521,
59027,"Saanich--Gulf Islands/Saanich--Gulf Islands"," 604","Mayne",2,23,288,32,42,1,388,
59027,"Saanich--Gulf Islands/Saanich--Gulf Islands"," 605","North Galiano",10,52,489,67,70,2,690,
59027,"Saanich--Gulf Islands/Saanich--Gulf Islands"," 606","Ganges",11,89,636,49,67,0,852,
59027,"Saanich--Gulf Islands/Saanich--Gulf Islands"," 607","North Saanich",26,417,772,134,289,10,1648,
59027,"Saanich--Gulf Islands/Saanich--Gulf Islands"," 608","Sidney",21,376,766,111,293,4,1571,
59027,"Saanich--Gulf Islands/Saanich--Gulf Islands"," 609","Sidney",28,494,724,78,249,4,1577,
59027,"Saanich--Gulf Islands/Saanich--Gulf Islands"," 610","Central Saanich",12,194,344,111,147,3,811,
59027,"Saanich--Gulf Islands/Saanich--Gulf Islands"," 611","Central Saanich",13,287,642,111,197,8,1258,
59027,"Saanich--Gulf Islands/Saanich--Gulf Islands"," 612","Sidney",15,250,671,83,238,10,1267,
59027,"Saanich--Gulf Islands/Saanich--Gulf Islands"," 613","Sidney",11,272,462,114,192,6,1057,
59027,"Saanich--Gulf Islands/Saanich--Gulf Islands"," 614","Central Saanich",12,386,645,106,258,3,1410,
59027,"Saanich--Gulf Islands/Saanich--Gulf Islands"," 615","Saanich",11,276,363,52,206,4,912,
59027,"Saanich--Gulf Islands/Saanich--Gulf Islands"," 616","Saanich",8,287,524,120,220,1,1160,
59027,"Saanich--Gulf Islands/Saanich--Gulf Islands"," 617","Saanich",24,192,532,170,176,9,1103,
59027,"Saanich--Gulf Islands/Saanich--Gulf Islands"," 618","Saanich",12,240,629,138,231,4,1254,
59027,"Saanich--Gulf Islands/Saanich--Gulf Islands"," 619","Saanich",10,204,479,138,186,9,1026,
59027,"Saanich--Gulf Islands/Saanich--Gulf Islands"," 620","Saanich",5,194,537,133,183,2,1054,
59027,"Saanich--Gulf Islands/Saanich--Gulf Islands"," 621","Saanich",13,213,597,150,203,2,1178,
