Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Gwyneth Midgley,Austin Mullins,Blake Richards,Nadine Wellwood,Anne Wilson,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
48001,"Banff--Airdrie/Banff--Airdrie"," 63","Cochrane",23,8,110,6,32,1,180,376
48001,"Banff--Airdrie/Banff--Airdrie"," 64","Cochrane",17,3,108,7,15,0,150,369
48001,"Banff--Airdrie/Banff--Airdrie"," 65","Cochrane",23,9,176,9,27,3,247,503
48001,"Banff--Airdrie/Banff--Airdrie"," 66A","Cochrane",26,12,214,4,37,0,293,538
48001,"Banff--Airdrie/Banff--Airdrie"," 66B","Cochrane",24,1,179,15,41,1,261,487
48001,"Banff--Airdrie/Banff--Airdrie"," 67A","Cochrane",9,7,128,6,17,0,167,409
48001,"Banff--Airdrie/Banff--Airdrie"," 67B","Cochrane",8,9,117,9,11,1,155,320
48001,"Banff--Airdrie/Banff--Airdrie"," 68","Cochrane",6,5,185,19,27,2,244,483
48001,"Banff--Airdrie/Banff--Airdrie"," 69A","Cochrane",15,6,97,5,29,0,152,326
48001,"Banff--Airdrie/Banff--Airdrie"," 69B","Cochrane",22,9,105,4,11,0,151,292
48001,"Banff--Airdrie/Banff--Airdrie"," 70","Cochrane",6,7,149,9,21,7,199,391
48001,"Banff--Airdrie/Banff--Airdrie"," 71","Cochrane",21,3,145,7,22,0,198,446
48001,"Banff--Airdrie/Banff--Airdrie"," 72","Airdrie",34,9,150,5,24,0,222,554
48001,"Banff--Airdrie/Banff--Airdrie"," 73","Airdrie",27,7,158,3,26,3,224,546
48001,"Banff--Airdrie/Banff--Airdrie"," 74","Airdrie",28,9,150,5,16,0,208,526
48001,"Banff--Airdrie/Banff--Airdrie"," 75","Airdrie",11,9,131,9,9,2,171,467
48001,"Banff--Airdrie/Banff--Airdrie"," 76A","Airdrie",13,3,75,3,16,1,111,306
48001,"Banff--Airdrie/Banff--Airdrie"," 76B","Airdrie",7,2,82,5,5,1,102,309
48001,"Banff--Airdrie/Banff--Airdrie"," 77","Airdrie",16,5,151,5,17,1,195,479
48001,"Banff--Airdrie/Banff--Airdrie"," 78","Airdrie",12,5,135,13,16,1,182,446
48001,"Banff--Airdrie/Banff--Airdrie"," 79","Airdrie",22,9,156,11,12,3,213,499
48001,"Banff--Airdrie/Banff--Airdrie"," 80","Airdrie",14,2,150,2,16,1,185,469
48001,"Banff--Airdrie/Banff--Airdrie"," 81","Airdrie",12,2,74,5,11,0,104,279
48001,"Banff--Airdrie/Banff--Airdrie"," 82","Airdrie",25,6,106,10,16,2,165,361
48001,"Banff--Airdrie/Banff--Airdrie"," 83","Airdrie",17,4,102,4,16,1,144,370
48001,"Banff--Airdrie/Banff--Airdrie"," 84","Airdrie",11,3,140,6,27,0,187,423
48001,"Banff--Airdrie/Banff--Airdrie"," 85","Airdrie",15,1,67,4,7,0,94,264
48001,"Banff--Airdrie/Banff--Airdrie"," 86","Airdrie",20,6,168,9,22,0,225,515
48001,"Banff--Airdrie/Banff--Airdrie"," 87","Airdrie",12,5,175,8,13,0,213,525
