Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Susan Jonah,Karen Ludwig,Douglas Mullin,Meryl Sarty,Abe Scott,John Williamson,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
13008,"New Brunswick Southwest/Nouveau-Brunswick-Sud-Ouest"," 145","Campobello",9,26,3,1,1,65,0,105,284
13008,"New Brunswick Southwest/Nouveau-Brunswick-Sud-Ouest"," 146A","Campobello",Merged with No./Fusionné avec le n°145,,,,,,,,96
13008,"New Brunswick Southwest/Nouveau-Brunswick-Sud-Ouest"," 146B","Campobello",Merged with No./Fusionné avec le n°144,,,,,,,,162
13008,"New Brunswick Southwest/Nouveau-Brunswick-Sud-Ouest"," 147","Castalia",24,35,28,16,0,65,0,168,384
13008,"New Brunswick Southwest/Nouveau-Brunswick-Sud-Ouest"," 148","North Head",29,38,20,22,0,62,1,172,366
13008,"New Brunswick Southwest/Nouveau-Brunswick-Sud-Ouest"," 149","Woodwards Cove",18,33,12,19,0,68,3,153,417
13008,"New Brunswick Southwest/Nouveau-Brunswick-Sud-Ouest"," 150","Ingalls Head",18,48,34,28,0,70,0,198,395
13008,"New Brunswick Southwest/Nouveau-Brunswick-Sud-Ouest"," 151","Seal Cove",19,27,25,28,0,76,1,176,404
13008,"New Brunswick Southwest/Nouveau-Brunswick-Sud-Ouest"," 152","White Head Island",3,7,6,7,0,50,2,75,111
13008,"New Brunswick Southwest/Nouveau-Brunswick-Sud-Ouest"," 500","Mobile poll/Bureau itinérant",4,21,4,4,0,28,2,63,86
13008,"New Brunswick Southwest/Nouveau-Brunswick-Sud-Ouest"," 501","Mobile poll/Bureau itinérant",5,20,3,1,1,25,3,58,63
13008,"New Brunswick Southwest/Nouveau-Brunswick-Sud-Ouest"," 502","Mobile poll/Bureau itinérant",12,33,8,2,0,30,1,86,144
13008,"New Brunswick Southwest/Nouveau-Brunswick-Sud-Ouest"," 503","Mobile poll/Bureau itinérant",4,21,1,2,2,24,2,56,146
13008,"New Brunswick Southwest/Nouveau-Brunswick-Sud-Ouest"," 504","Mobile poll/Bureau itinérant",9,12,0,0,1,15,4,41,83
13008,"New Brunswick Southwest/Nouveau-Brunswick-Sud-Ouest"," 600","Studholm",92,108,54,9,3,373,5,644,
13008,"New Brunswick Southwest/Nouveau-Brunswick-Sud-Ouest"," 601","Hampstead",64,66,21,11,0,165,2,329,
13008,"New Brunswick Southwest/Nouveau-Brunswick-Sud-Ouest"," 602","Hampstead",55,55,36,9,1,317,1,474,
13008,"New Brunswick Southwest/Nouveau-Brunswick-Sud-Ouest"," 603","Hampstead",48,57,7,1,2,115,0,230,
13008,"New Brunswick Southwest/Nouveau-Brunswick-Sud-Ouest"," 604","Nasonworth",203,192,94,42,26,409,6,972,
13008,"New Brunswick Southwest/Nouveau-Brunswick-Sud-Ouest"," 605","Nasonworth",137,181,54,27,4,260,1,664,
13008,"New Brunswick Southwest/Nouveau-Brunswick-Sud-Ouest"," 606","Hanwell",164,379,52,9,2,365,3,974,
13008,"New Brunswick Southwest/Nouveau-Brunswick-Sud-Ouest"," 607","Kingsclear",141,269,59,23,0,372,2,866,
13008,"New Brunswick Southwest/Nouveau-Brunswick-Sud-Ouest"," 608","McAdam",18,37,13,9,1,293,1,372,
13008,"New Brunswick Southwest/Nouveau-Brunswick-Sud-Ouest"," 609","Harvey Station",64,91,21,5,1,200,1,383,
13008,"New Brunswick Southwest/Nouveau-Brunswick-Sud-Ouest"," 610","Fredericton Junction--Tracy",48,68,24,17,1,262,11,431,
13008,"New Brunswick Southwest/Nouveau-Brunswick-Sud-Ouest"," 611","Keirsteadville",75,74,41,12,0,254,6,462,
13008,"New Brunswick Southwest/Nouveau-Brunswick-Sud-Ouest"," 612","Grand Bay--Westfield",113,283,108,18,1,405,4,932,
13008,"New Brunswick Southwest/Nouveau-Brunswick-Sud-Ouest"," 613","Lepreau",23,51,17,6,2,193,2,294,
13008,"New Brunswick Southwest/Nouveau-Brunswick-Sud-Ouest"," 614","Pennfield",49,99,33,18,4,419,5,627,
13008,"New Brunswick Southwest/Nouveau-Brunswick-Sud-Ouest"," 615","St. George",39,140,44,24,1,520,14,782,
13008,"New Brunswick Southwest/Nouveau-Brunswick-Sud-Ouest"," 616","Saint Stephen",70,180,45,7,2,364,2,670,
13008,"New Brunswick Southwest/Nouveau-Brunswick-Sud-Ouest"," 617","Saint Stephen",83,254,44,7,0,376,8,772,
13008,"New Brunswick Southwest/Nouveau-Brunswick-Sud-Ouest"," 618","Saint Andrews",72,466,31,2,2,229,4,806,
13008,"New Brunswick Southwest/Nouveau-Brunswick-Sud-Ouest"," 619","Deer Island",9,41,9,1,0,143,0,203,
13008,"New Brunswick Southwest/Nouveau-Brunswick-Sud-Ouest"," 620","Campobello",15,53,4,1,1,144,1,219,
13008,"New Brunswick Southwest/Nouveau-Brunswick-Sud-Ouest"," 621","Grand Manan",41,101,24,26,0,164,1,357,
13008,"New Brunswick Southwest/Nouveau-Brunswick-Sud-Ouest",,Group 1/Groupe 1, 39,43,11,13,1,133,14,254,96
13008,"New Brunswick Southwest/Nouveau-Brunswick-Sud-Ouest",,Group 2/Groupe 2, 186,375,72,20,8,545,26,1232,
