Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Sonia Baudelot,Ali Faour,Emilio Migliozzi,Lizabel Nitoi,Elias Progakis,Yves Robillard,Bao Tran Le,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24065,"Marc-Aurèle-Fortin/Marc-Aurèle-Fortin"," 111","Laval",27,26,1,107,1,104,3,7,276,525
24065,"Marc-Aurèle-Fortin/Marc-Aurèle-Fortin"," 112","Laval",21,19,0,91,0,100,14,5,250,502
24065,"Marc-Aurèle-Fortin/Marc-Aurèle-Fortin"," 113","Laval",20,46,1,100,1,104,9,4,285,498
24065,"Marc-Aurèle-Fortin/Marc-Aurèle-Fortin"," 114","Laval",54,21,4,17,2,137,3,3,241,553
24065,"Marc-Aurèle-Fortin/Marc-Aurèle-Fortin"," 115","Laval",33,22,8,22,0,141,8,3,237,439
24065,"Marc-Aurèle-Fortin/Marc-Aurèle-Fortin"," 116A","Laval",27,22,7,41,1,139,12,0,249,567
24065,"Marc-Aurèle-Fortin/Marc-Aurèle-Fortin"," 116B","Laval",Merged with No./Fusionné avec le n°115,,,,,,,,,69
24065,"Marc-Aurèle-Fortin/Marc-Aurèle-Fortin"," 117","Laval",44,22,0,30,0,140,7,3,246,591
24065,"Marc-Aurèle-Fortin/Marc-Aurèle-Fortin"," 118A","Laval",15,10,1,29,0,95,5,3,158,353
24065,"Marc-Aurèle-Fortin/Marc-Aurèle-Fortin"," 118B","Laval",21,16,3,39,2,84,7,1,173,404
24065,"Marc-Aurèle-Fortin/Marc-Aurèle-Fortin"," 119","Laval",34,19,4,14,1,102,16,2,192,468
24065,"Marc-Aurèle-Fortin/Marc-Aurèle-Fortin"," 120A","Laval",44,22,6,45,1,107,13,2,240,550
24065,"Marc-Aurèle-Fortin/Marc-Aurèle-Fortin"," 120B","Laval",18,14,3,35,0,93,5,3,171,450
24065,"Marc-Aurèle-Fortin/Marc-Aurèle-Fortin"," 121","Laval",33,28,0,87,1,132,14,5,300,516
24065,"Marc-Aurèle-Fortin/Marc-Aurèle-Fortin"," 122","Laval",29,22,6,102,3,146,9,11,328,553
24065,"Marc-Aurèle-Fortin/Marc-Aurèle-Fortin"," 123","Laval",36,21,4,115,1,99,8,4,288,552
24065,"Marc-Aurèle-Fortin/Marc-Aurèle-Fortin"," 124","Laval",31,21,2,132,0,119,10,7,322,517
24065,"Marc-Aurèle-Fortin/Marc-Aurèle-Fortin"," 125","Laval",36,29,1,90,2,143,8,2,311,511
24065,"Marc-Aurèle-Fortin/Marc-Aurèle-Fortin"," 126","Laval",49,21,0,85,0,150,14,6,325,559
24065,"Marc-Aurèle-Fortin/Marc-Aurèle-Fortin"," 127","Laval",37,20,0,147,0,125,9,3,341,528
24065,"Marc-Aurèle-Fortin/Marc-Aurèle-Fortin"," 128","Laval",31,28,3,111,2,108,16,4,303,511
24065,"Marc-Aurèle-Fortin/Marc-Aurèle-Fortin"," 129","Laval",29,31,6,100,0,125,9,6,306,548
24065,"Marc-Aurèle-Fortin/Marc-Aurèle-Fortin"," 130","Laval",26,23,3,98,1,123,6,7,287,509
24065,"Marc-Aurèle-Fortin/Marc-Aurèle-Fortin"," 131","Laval",33,40,6,140,1,146,9,3,378,576
24065,"Marc-Aurèle-Fortin/Marc-Aurèle-Fortin"," 132","Laval",35,17,2,137,0,145,11,7,354,562
24065,"Marc-Aurèle-Fortin/Marc-Aurèle-Fortin"," 133","Laval",22,22,9,85,0,136,9,3,286,559
24065,"Marc-Aurèle-Fortin/Marc-Aurèle-Fortin"," 134","Laval",54,19,2,109,1,134,6,8,333,524
24065,"Marc-Aurèle-Fortin/Marc-Aurèle-Fortin"," 135","Laval",15,21,4,88,1,109,12,1,251,551
24065,"Marc-Aurèle-Fortin/Marc-Aurèle-Fortin"," 136","Laval",25,23,3,85,0,101,9,0,246,487
24065,"Marc-Aurèle-Fortin/Marc-Aurèle-Fortin"," 137","Laval",51,30,4,78,2,146,12,2,325,551
24065,"Marc-Aurèle-Fortin/Marc-Aurèle-Fortin"," 138","Laval",27,13,2,110,1,137,17,7,314,529
24065,"Marc-Aurèle-Fortin/Marc-Aurèle-Fortin"," 139","Laval",29,41,4,92,0,155,17,7,345,579
24065,"Marc-Aurèle-Fortin/Marc-Aurèle-Fortin"," 140","Laval",31,32,2,99,0,124,12,5,305,545
24065,"Marc-Aurèle-Fortin/Marc-Aurèle-Fortin"," 141","Laval",34,40,5,109,0,159,16,1,364,548
24065,"Marc-Aurèle-Fortin/Marc-Aurèle-Fortin"," 142","Laval",42,38,1,62,0,145,14,8,310,536
24065,"Marc-Aurèle-Fortin/Marc-Aurèle-Fortin"," 143","Laval",47,32,5,64,3,194,13,5,363,580
24065,"Marc-Aurèle-Fortin/Marc-Aurèle-Fortin"," 144","Laval",47,28,2,46,1,174,4,10,312,509
24065,"Marc-Aurèle-Fortin/Marc-Aurèle-Fortin"," 145","Laval",36,30,1,97,3,182,14,5,368,558
24065,"Marc-Aurèle-Fortin/Marc-Aurèle-Fortin"," 400","Laval",16,6,2,83,0,159,7,4,277,263
24065,"Marc-Aurèle-Fortin/Marc-Aurèle-Fortin"," 401","Laval",23,3,0,59,0,64,1,10,160,198
24065,"Marc-Aurèle-Fortin/Marc-Aurèle-Fortin"," 402","Laval",8,1,1,57,0,59,1,9,136,162
24065,"Marc-Aurèle-Fortin/Marc-Aurèle-Fortin"," 403","Laval",Void/Supprimé,,,,,,,,,
24065,"Marc-Aurèle-Fortin/Marc-Aurèle-Fortin"," 404","Laval",6,4,0,15,0,46,4,2,77,138
