Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Brogan Anderson,Kody Blois,Stacey Dodge,Martha MacQuarrie,Stephen Schneider,Matthew Southall,Nicholas Tan,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
12007,"Kings--Hants/Kings--Hants"," 181","Coldbrook",11,84,0,38,37,1,0,2,173,379
12007,"Kings--Hants/Kings--Hants"," 182","White Rock",39,54,0,50,30,4,0,1,178,300
12007,"Kings--Hants/Kings--Hants"," 183","White Rock",22,60,0,38,22,4,0,1,147,240
12007,"Kings--Hants/Kings--Hants"," 184","Kinsmans Corner",29,88,1,77,40,2,0,0,237,455
12007,"Kings--Hants/Kings--Hants"," 185","Cambridge",15,89,1,44,59,4,0,0,212,461
12007,"Kings--Hants/Kings--Hants"," 186","Cambridge",12,81,0,65,34,6,1,1,200,402
12007,"Kings--Hants/Kings--Hants"," 187","Cambridge",10,40,2,46,28,3,1,4,134,269
12007,"Kings--Hants/Kings--Hants"," 188","Upper Vaughan",32,94,1,78,25,5,0,0,235,431
12007,"Kings--Hants/Kings--Hants"," 189","Upper Vaughan",23,82,0,73,37,8,0,0,223,419
12007,"Kings--Hants/Kings--Hants"," 190","North Alton",12,84,2,70,38,6,0,3,215,366
12007,"Kings--Hants/Kings--Hants"," 191","North Alton",34,86,0,74,37,8,1,1,241,487
12007,"Kings--Hants/Kings--Hants"," 192","North Alton",19,69,0,59,24,2,3,3,179,302
12007,"Kings--Hants/Kings--Hants"," 193","North Alton",29,98,2,94,37,0,0,3,263,481
12007,"Kings--Hants/Kings--Hants"," 194","South Alton",15,89,3,71,32,4,1,2,217,391
12007,"Kings--Hants/Kings--Hants"," 500","Mobile poll/Bureau itinérant",8,21,1,16,2,1,0,2,51,119
12007,"Kings--Hants/Kings--Hants"," 501A","Mobile poll/Bureau itinérant",4,41,0,27,4,1,1,1,79,220
12007,"Kings--Hants/Kings--Hants"," 501B","Mobile poll/Bureau itinérant",2,21,3,14,5,3,1,3,52,21
12007,"Kings--Hants/Kings--Hants"," 502","Mobile poll/Bureau itinérant",0,19,1,22,5,1,1,5,54,149
12007,"Kings--Hants/Kings--Hants"," 503","Mobile poll/Bureau itinérant",1,33,3,26,2,0,0,1,66,75
12007,"Kings--Hants/Kings--Hants"," 600","Canada Creek",67,167,0,119,55,6,1,0,415,
12007,"Kings--Hants/Kings--Hants"," 601","Canning",81,151,0,103,66,3,3,4,411,
12007,"Kings--Hants/Kings--Hants"," 602","Wolfville",113,362,1,121,91,10,4,5,707,
12007,"Kings--Hants/Kings--Hants"," 603","Wolfville",116,288,0,93,123,4,1,4,629,
12007,"Kings--Hants/Kings--Hants"," 604","Summerville",92,208,2,148,80,14,0,2,546,
12007,"Kings--Hants/Kings--Hants"," 605","Kennetcook",55,237,1,129,39,4,0,3,468,
12007,"Kings--Hants/Kings--Hants"," 606","Shubenacadie",44,145,1,99,63,7,1,3,363,
12007,"Kings--Hants/Kings--Hants"," 607","Elmsdale",52,380,4,120,60,14,2,1,633,
12007,"Kings--Hants/Kings--Hants"," 608","Elmsdale",51,354,1,119,95,6,1,7,634,
12007,"Kings--Hants/Kings--Hants"," 609","Elmsdale",66,354,0,140,85,8,0,3,656,
12007,"Kings--Hants/Kings--Hants"," 610","Mount Uniacke",107,269,3,177,98,12,2,3,671,
12007,"Kings--Hants/Kings--Hants"," 611","Upper Vaughan",70,220,2,154,60,20,2,0,528,
12007,"Kings--Hants/Kings--Hants"," 612","Windsor",48,228,3,98,63,11,4,2,457,
12007,"Kings--Hants/Kings--Hants"," 613","Hantsport",64,217,2,105,62,7,1,2,460,
12007,"Kings--Hants/Kings--Hants"," 614","Falmouth",74,205,0,129,66,4,1,1,480,
12007,"Kings--Hants/Kings--Hants"," 615","New Minas",85,240,3,158,68,12,1,3,570,
12007,"Kings--Hants/Kings--Hants"," 616","New Minas",71,318,3,174,79,7,2,0,654,
12007,"Kings--Hants/Kings--Hants"," 617","Centreville",130,335,1,183,107,9,1,9,775,
12007,"Kings--Hants/Kings--Hants"," 618","Kentville",86,377,2,209,104,13,2,8,801,
12007,"Kings--Hants/Kings--Hants"," 619","Centreville",41,133,1,123,60,4,3,3,368,
12007,"Kings--Hants/Kings--Hants"," 620","Kentville",91,283,0,192,87,6,0,12,671,
12007,"Kings--Hants/Kings--Hants",,Group 1/Groupe 1, 25,82,1,50,24,2,1,7,192,135
12007,"Kings--Hants/Kings--Hants",,Group 2/Groupe 2, 267,712,1,412,253,27,4,10,1686,
