Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Mavis Erickson,Catharine Kendall,Marcia Luccock,Ron Vaillant,Bob Zimmer,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
59024,"Prince George--Peace River--Northern Rockies/Prince George--Peace River--Northern Rockies"," 172","Prince George",36,15,23,11,58,0,143,424
59024,"Prince George--Peace River--Northern Rockies/Prince George--Peace River--Northern Rockies"," 173","Prince George",40,32,51,5,63,1,192,437
59024,"Prince George--Peace River--Northern Rockies/Prince George--Peace River--Northern Rockies"," 174","Prince George",45,26,30,8,52,4,165,362
59024,"Prince George--Peace River--Northern Rockies/Prince George--Peace River--Northern Rockies"," 175","Prince George",35,32,29,5,59,1,161,414
59024,"Prince George--Peace River--Northern Rockies/Prince George--Peace River--Northern Rockies"," 176","Prince George",38,21,40,3,62,0,164,361
59024,"Prince George--Peace River--Northern Rockies/Prince George--Peace River--Northern Rockies"," 177","Prince George",40,22,27,2,23,1,115,549
59024,"Prince George--Peace River--Northern Rockies/Prince George--Peace River--Northern Rockies"," 178","Shelley",35,21,28,11,151,0,246,441
59024,"Prince George--Peace River--Northern Rockies/Prince George--Peace River--Northern Rockies"," 179","Prince George",36,16,33,6,96,0,187,362
59024,"Prince George--Peace River--Northern Rockies/Prince George--Peace River--Northern Rockies"," 180","Tabor Lake",29,19,35,7,131,0,221,363
59024,"Prince George--Peace River--Northern Rockies/Prince George--Peace River--Northern Rockies"," 181","Prince George",37,10,28,8,151,0,234,437
59024,"Prince George--Peace River--Northern Rockies/Prince George--Peace River--Northern Rockies"," 182","Shelley",29,10,14,6,91,1,151,273
59024,"Prince George--Peace River--Northern Rockies/Prince George--Peace River--Northern Rockies"," 183","Tabor Lake",28,20,26,8,124,2,208,393
59024,"Prince George--Peace River--Northern Rockies/Prince George--Peace River--Northern Rockies"," 184","Prince George",35,7,23,8,74,1,148,303
